Date,ODA/IDN_LE_Value,ODA/IDN_LP_Value,ODA/IDN_PPPGDP_Value,ODA/IDN_BCA_NGDPD_Value,ODA/IDN_TX_RPCH_Value,ODA/IDN_TXG_RPCH_Value,ODA/IDN_TM_RPCH_Value,ODA/IDN_TMG_RPCH_Value,ODA/IDN_GGXWDG_NGDP_Value,ODA/IDN_GGXCNL_NGDP_Value,ODA/IDN_GGXONLB_NGDP_Value,ODA/IDN_GGR_NGDP_Value,ODA/IDN_GGSB_NPGDP_Value,ODA/IDN_GGX_NGDP_Value,ODA/IDN_NGSD_NGDP_Value,ODA/IDN_PPPEX_Value,ODA/IDN_PCPIPCH_Value,ODA/IDN_PCPIEPCH_Value,ODA/IDN_PCPI_Value,ODA/IDN_PCPIE_Value,ODA/IDN_PPPSH_Value,ODA/IDN_NID_NGDP_Value,ODA/IDN_LUR_Value
1991-12-31,,0.016584996014026,0.10510227149863999,0.22751510842517,9.5,48.75,-0.46014492753623,-0.25700934579439005,,,,,,,0.035222816399287,0.07269630452768801,0.19456840494709,0.0,0.093635571054926,0.099346076458752,0.046426708398539004,0.041771224267727,0.083333333333333
1992-12-31,,0.016583129517312,0.08886793795360799,-0.35099913119027004,-0.14965986394558,-0.23618090452260998,-0.5906040268456401,-0.44654088050314,,,,,,,-0.04549211378194099,0.037512864300012,-0.19884726224783997,-0.49270109735226,0.075095663265306,0.050407992068939006,-0.042871385842473006,-0.077464188267394,0.076923076923077
1993-12-31,,0.016582334473346002,0.10565446531551,-0.35029004908523,-0.632,-0.78289473684211,-0.22950819672130998,-0.38636363636363996,,,,,,,0.016019049680701,0.06227163723566599,0.29070077271516,1.0200436594562,0.09691531959068699,0.10178597357339998,0.058333333333333,-0.31886870927491995,0.010714285714286
1994-12-31,,0.016587778320209,0.09828735902220899,0.16483516483516,1.4782608695652,3.1515151515152002,2.2978723404255,2.7592592592592995,,-1.0084388185654,0.44117647058824006,0.0017772874915732,,-0.040460391097539,0.048364759774155996,0.055304721875616,-0.12076796036334,-0.053443363788191,0.08517542080713901,0.09640221402214,0.042814960629920996,0.05356537078499201,0.5795053003533599
1995-12-31,,0.016583323763688998,0.10477041238459,0.98349056603774,-0.28070175438596995,-0.43795620437955995,0.30774193548386997,-0.12246305418719002,,128.0,0.33853541416566996,-0.07249479995105801,,-0.11952264381885001,-0.021644141855501998,0.076373169043118,0.10730218361118,-0.067566165023352,0.09431258954712501,0.089789049822706,0.043888626710712995,0.028045207199665002,0.6599552572706899
1996-12-31,,0.011547842160663,0.09785944266112,-0.045481569560047994,-0.89024390243902,-0.28571428571429,-0.53458312777504,-0.40367126978781,,0.50258397932817,0.07533632286995501,-0.0062001187256777,,-0.033502467505387004,-0.038221852928956995,0.06728469115638401,-0.11164122137405001,-0.28305877114871003,0.08379347640462201,0.06441294876744098,0.038426763110306995,-0.038743422701077,-0.32641509433961996
1997-12-31,,0.011553064912388,0.064924923659169,-0.4515727187792,13.888888888889001,3.3272727272727,-0.9285562857748599,-0.93382283723995,,-2.0739466895959,-0.7727272727272699,0.13997477931904,,0.32506292700467,0.085565154787617,0.10676372254433,-0.26077097505669,0.5941623971433,0.06192552129838701,0.10268897984559999,0.0047888550282976,0.034537812387997004,-0.045618247298919994
1998-12-31,,0.011546567643516999,-0.12184063444581,-3.3798977853492005,0.13432835820896002,-0.62605042016807,-19.545994065282,-37.431009957326005,,0.8318654923939099,0.97981651376147,-0.072484862598975,,-0.011180461329715001,-0.31796929402792,0.7339004853218101,8.3671294801421,6.551421893260599,0.58017608072015,0.7754076023117,-0.15207972270364,-0.47167018361626,0.14465408805031
1999-12-31,,0.011548707467469999,0.023336357867643997,-0.019804342638988,-2.6915131578947,-2.0562921348315,0.92824,0.28511186599508004,,-0.49344405594406,1.5338276181650001,0.075513150461365,,0.0040616938361051,-0.2665791520809,0.12440323496927999,-0.64236470182696,-0.97414171116098,0.20752472768247998,0.020060339808395,-0.02657128257537,-0.32238450074516,0.16483516483516
2000-12-31,,0.011554173675511998,0.065696933169522,0.17867575462511998,-1.6942942709346003,-2.8988405488777995,-2.0577521470356004,-1.7746179321241,,0.7549611734253701,-0.42574981711778,-0.14730944321233,,-0.090143770841305,0.7956910838581399,0.18583016184216,-0.8181686746988,3.6613466334165,0.037715796567992003,0.09345163968451699,-0.0062992125984252,0.95706870766253,-0.044025157232704004
2001-12-31,,0.014258356967978,0.060055771744780995,-0.11193721602644,-1.5733012156182,-1.5733012156182,-1.3632476956266,-1.3632476956266,-0.157087276551,-0.05703048180924299,1.1496815286624,0.32101300479124,,0.27481374669551,-0.0091553455404608,0.11748901590007002,2.0485025178903,0.34271346030387,0.11503010016736001,0.12549233616476,0.012150026413101003,0.013170907129372,0.33223684210526
2002-12-31,,0.014263453247039,0.061037406084657006,-0.07023255813953501,-0.9455735782685201,-0.9455735782685201,-1.2082928409459,-1.2082928409459,-0.15417721834807002,-0.6720542231491099,0.23940740740740998,-0.07844559585492199,,-0.13210481666510002,-0.053576751117735,0.042949212829645,0.024169709615718998,-0.21451908518607002,0.11779201577132002,0.098555918625487,0.015135699373695001,-0.05035715870269301,0.11851851851852
2003-12-31,,0.014260803996418003,0.068696436669687,-0.13656828414207,3.6912028725313997,3.6912028725313997,-0.50959046137895,-0.50959046137895,-0.10741571045102,0.86168521462639,-0.50418360028688,0.04559766108175,,0.073472712462666,0.14365010629084,0.034251742559318996,-0.42504244482173,-0.47641270163336,0.067740901074234,0.051621569756285006,0.0056555269922879,0.19594468323678,0.048565121412803
