Date,ODA/AFG_LE_Value,ODA/AFG_LP_Value,ODA/AFG_PPPGDP_Value,ODA/AFG_BCA_NGDPD_Value,ODA/AFG_TX_RPCH_Value,ODA/AFG_TXG_RPCH_Value,ODA/AFG_TM_RPCH_Value,ODA/AFG_TMG_RPCH_Value,ODA/AFG_GGXCNL_NGDP_Value,ODA/AFG_GGXONLB_NGDP_Value,ODA/AFG_GGR_NGDP_Value,ODA/AFG_GGX_NGDP_Value,ODA/AFG_NGSD_NGDP_Value,ODA/AFG_PPPEX_Value,ODA/AFG_PCPIPCH_Value,ODA/AFG_PCPIEPCH_Value,ODA/AFG_PCPI_Value,ODA/AFG_PCPIE_Value,ODA/AFG_PPPSH_Value,ODA/AFG_NID_NGDP_Value
2003-12-31,,0.04384736960939299,0.10605496783797,3.0580396801895,,,,,20.448979591837002,,0.4355003652301,0.71784531182486,-0.31154010589666997,0.095297286099026,,,0.24826781416381002,0.17928108476889004,0.05714285714285701,0.13955783655744
2004-12-31,,0.039063851877486996,0.034413150052869,-0.97467892586106,-1.6376331059109,-1.6701819060857002,-0.9505148972630401,-0.93293849987361,0.13843958135109,,0.29004681457358,0.26343590173556,1.0072131460782,0.08189899754113901,-0.34112055423531,-0.2601226993865,0.16357970591099,0.13266320756423,-0.054054054054054,0.22310756972112
2005-12-31,,0.035055580998375996,0.15426075643528,-9.953890489913501,-1.06105,-1.0646106677488,2.953283240771,2.1725901992461,-0.59674049310489,-0.6167989970748,0.1622751656674,0.0417413232464,0.055784288060163,0.07298951048951101,-0.35389411908546003,-0.2038293381577,0.10568425281199999,0.10563279117652001,0.08571428571428599,-0.026200254921398998
2006-12-31,,0.030972205462371005,0.08598341518396299,-1.3640167364017002,-5.387387387387401,-5.817864619679001,-0.75820180150401,-0.6846303997284201,-1.6663212435233,-1.7459105779716,0.28595669585284994,0.16594470633202,-0.15109438045218,0.04431771894093701,-0.35802819566657,-0.59430032190873,0.067849465621121,0.042847449797166995,0.0,-0.059748885010665005
2007-12-31,,0.028012953064647995,0.16354066276225002,-6.2652519893899,-0.29830128803434997,-0.23088064889919002,0.95317840054682,1.0427879440258,-4.8755832037325,-4.5994152046784,0.0021112635912593,0.17346883024641,0.11781731279873,0.06240736406896,0.27943994104643,2.7554259043174,0.086801814573292,0.16091476667082,0.052631578947367995,-0.068289036116625
2008-12-31,,0.025921287335382997,0.058999681427206,-0.12661628883291,-7.4322958233572995,-4.3357815442561,0.11583552055993,-0.32788828876301,0.5577849117175,0.5694557270511801,-0.10270725797955998,-0.026073191172362998,-0.046131553317339,0.14310889198913002,2.0433129823753,0.16915237385036,0.26419524412037,0.18814466796246,0.025,-0.032870344751259
2009-12-31,,0.02500739863865,0.21502917995307003,-0.64026148817535,-0.46953968319615996,-0.32422514537345,1.242276932727,2.015484123873,-0.54173106646059,-0.54425465838509,0.13823667527589,0.012047040826083,-0.20806873365707998,-0.034301130524152,-1.2578068814111,-1.5228021685979,-0.068120144040777,-0.09835506177300099,0.19512195121951004,-0.14376037077302
2010-12-31,,0.024902555218709,0.097623174052983,0.6429716729021899,-0.99992203336972,-1.2284043441938002,-1.0682565214351,-1.0999675008125,-1.5182686902754,-1.5298126064736,0.12021040688979,-0.017430325932924,-0.08248427672956,0.067912731142743,-1.3199236529144,-2.0416836112241,0.021790400265737,0.1024610692461,0.040816326530612,-0.12786929065455002
2011-12-31,,0.024896119445031003,0.0867750885345,0.021795705920625,-8391.0,2.3068763716167004,7.810450819672099,5.5877763328999,-1.7006507592191002,-1.6141479099678,-0.021038578399779,0.053314744483437995,-0.08465572197278701,0.081033945811274,4.4171638366223,-0.09115752488776101,0.11803907545268,0.093120229392997,0.019607843137255002,-0.09719561719408501
2012-12-31,,0.024738017522762005,0.16014943960149,0.25183062718879,-1.2825983313468001,-1.0785311359363,-2.4657518316083,-2.256711409396,-1.2817337461299998,-1.4485165794066,0.18551610627792,0.14235508900045998,-0.15587673643614003,0.065395252362295,-0.45433751270756,-0.36909364261168,0.06441420485384201,0.05875289792827,0.09615384615384599,-0.21018459579885002
2013-12-31,,0.024375523889355,0.05139902676399,0.09257375381485301,4.7494727962885,10.288732394365999,-1.1808949539829,-1.0202623105317,-4.3626373626374,-3.0583657587549,-0.06057120190400599,-0.029325981861041003,-0.011000709723208,0.056513979773944005,0.14671634839310999,0.23251063829787,0.073855875871865,0.072408137627805,0.017543859649123,-0.032935740382549
2014-12-31,,0.02382822728463,0.049686058976671,0.11336126629423,-1.2009242957746,-1.5106674984403998,0.31622807017544,7.639534883720899,-0.23366013071895,-0.23629489603025,0.16779968753959001,0.15768676682445001,-0.052700035880875996,0.036087223587224,-0.17275927430273,-0.44731390691892997,0.061094011006249005,0.040015293505141,0.0,-0.092282904605811
2015-12-31,,0.02324168797954,0.06417675760670499,-0.9832740957558,3.3059510770353997,3.0886880039091005,-2.0663112295901,-2.16644235083,0.71855010660981,0.8490099009900999,0.059623241855588,0.070610822726303,-0.13200132569481,0.037399337977373,-0.10769230769230999,0.5984507746126899,0.054523805718487,0.063974907506629,0.0,0.11721140898519
2016-12-31,,0.022869997188115002,0.07010114550329,-29.325,-1.3888417839578997,-1.2308933373170001,-0.445,-0.24115384615385,-0.81141439205955,-0.90227576974565,0.09810277758820697,0.07375797024442099,-0.028527791414389,0.034812839318029996,0.0088041085840059,-0.21838361732062,0.054993520812967,0.04999779453927901,0.017241379310345,0.099873993316167
