Date,ODA/CAN_LE_Value,ODA/CAN_LP_Value,ODA/CAN_PPPGDP_Value,ODA/CAN_BCA_NGDPD_Value,ODA/CAN_TX_RPCH_Value,ODA/CAN_TXG_RPCH_Value,ODA/CAN_TM_RPCH_Value,ODA/CAN_TMG_RPCH_Value,ODA/CAN_GGXWDG_NGDP_Value,ODA/CAN_GGXWDN_NGDP_Value,ODA/CAN_GGXCNL_NGDP_Value,ODA/CAN_GGXONLB_NGDP_Value,ODA/CAN_GGR_NGDP_Value,ODA/CAN_GGSB_NPGDP_Value,ODA/CAN_GGX_NGDP_Value,ODA/CAN_NGSD_NGDP_Value,ODA/CAN_PPPEX_Value,ODA/CAN_PCPIPCH_Value,ODA/CAN_PCPIEPCH_Value,ODA/CAN_PCPI_Value,ODA/CAN_PCPIE_Value,ODA/CAN_NGAP_NPGDP_Value,ODA/CAN_PPPSH_Value,ODA/CAN_NID_NGDP_Value,ODA/CAN_LUR_Value
1991-12-31,-0.017502292876796,0.012847423277358999,0.011666424550246,0.098950524737631,-0.6164060826729499,-0.5896842105263199,0.22599704579025,9.7106598984772,0.09508449152429901,0.15637043881989998,0.48521862276509004,4.248772504091701,0.029606239138727997,,0.078319295921264,-0.151493724589,-0.0032154340836013,0.17838405036726002,-0.16392109009559,0.056146217564998,0.041118730333839,2.1131412508784,-0.042340627973359,-0.10046922439966999,0.26588957055215
1992-12-31,-0.0097238428626993,0.012041304891557,0.031748592418204,-0.031923601637108,3.0044667783361,2.712673165726,0.8746987951807199,1.645971563981,0.09584707137315801,0.17015222094451002,0.10011918951132001,0.24883068288120003,0.0070600827449932,,0.020764221648851004,-0.10166666666667,-0.0096774193548387,-0.73410507569012,-0.56506932619801,0.014924832020109,0.017868968921962,0.07471783295711099,-0.092896174863388,-0.052009818962872004,0.087234661238732
1993-12-31,0.0052631578947369,0.011544979522666,0.04773220480518,0.067080045095829,0.5111544896821,0.54408512990603,0.5751928020565601,0.5611678309152801,0.067519883189717,0.08498092842747001,-0.047778981581799,-0.10861423220974001,-0.016085516903078002,,-0.0211156200564,0.041048237476808996,-0.008957654723126998,0.24916275954454,0.014541387024609,0.01865853803746,0.018146759253781997,-0.10144927536232,0.0027382256297918,0.00032367697038357,0.014085762681644
1994-12-31,0.020629835117606004,0.010784963875605999,0.07034866844764599,-0.36397253037507,0.17226425539767,0.13487872549897,0.094791241670067,0.19343735658558997,0.017003947900152,0.05784553032745401,-0.24906132665832,-0.5739495798319301,-0.010365815658821,,-0.047217537942664,0.28009207692879,-0.009860312243221,-0.9270777479892801,-0.97850055126792,0.0013676212741088,0.00038342221757469,-0.50888265544647,0.016384489350082,0.059537291700371996,-0.08641758241758199
1995-12-31,0.018069060561978,0.01046270718232,0.048811504671551,-0.64285714285714,-0.30177095631641,-0.28186119873816995,-0.27590062111801,-0.31282445683522,0.026398907771936004,0.040808626119262004,-0.21136363636364003,-1.2504930966469,0.0014903442485306,-0.2174792636051,-0.024410029498525002,0.081559255177214,0.0016597510373444,15.095588235294,51.615384615385,0.02188707436936,0.020522648083624,-0.10090433127082002,-0.0091348737238044,-0.0072275665496004,-0.08901077752117001
1996-12-31,0.0091750018801233,0.010491063800704,0.035354081328557,-1.45,-0.35430052981626003,-0.42587305073578,-0.08011665808886599,-0.25461667599328003,0.00089339779032936,-0.0061350548669111,-0.47588856868396,5.4829396325459,-0.0054494770597975,-0.76835573940021,-0.05174238415602099,0.041727004558862996,-0.0008285004142503,-0.27820922795797,-0.0014619883040936,0.015798131182746998,0.020485506504147998,0.47961884595023996,-0.020607375271150002,-0.024045116636759997,0.014893841766135
1997-12-31,0.021313063566584998,0.01007778153534,0.060383811675200995,-4.5658914728682,0.50104748603352,0.70696250956389,1.6820216337187999,2.1364489489488996,-0.049291374505350996,-0.064787665371287,-1.091275659824,0.9967611336032399,-0.007523550610103001,-2.4330357142857,-0.066423532225278,0.02795654636256,-0.0058043117744609,0.020253164556961998,-0.51000488042948,0.016114703401742998,0.010037137408411,-0.39856887298748,0.0,0.12134902290397,-0.053705245628643
1998-12-31,0.024954396205764,0.0085710459354493,0.052680601813104,0.01231884057971,0.10676901605024,-0.024540564769162006,-0.62867672623601,-0.6273113518042,-0.022835623154842,-0.056794827560343,-0.12449799196787,-0.013584752635848001,0.0096827621353038,-0.47429906542056,0.010395986764863,-0.011770009015325999,-0.012510425354462,-0.3877171215880901,0.13645418326692998,0.0098718431129507,0.011405920478761999,-0.5288518738845901,0.016611295681063,-0.010212686217558001,-0.08798944126704801
1999-12-31,0.025699437602335,0.0080666578143674,0.066043078167661,-1.0837508947745,0.13839848675914002,0.33957495692130996,0.51029962546816,0.38310854206808,-0.044453934023699994,-0.092962226640159,7.2247706422018005,0.21192189105857998,0.0051104100946373,0.80592592592593,-0.028120510436914,0.060513912117987,0.0033783783783784,0.76697061803445,1.0727432077124999,0.017446575342466,0.023657205240175,-2.1022727272727,0.014161220043573,-0.015145778114351001,-0.08743367100820099
2000-12-31,0.024847307051638,0.0092205354496657,0.07514868954003501,20.470085470085,-0.16412812701929,-0.22047851813738,0.05381277123372599,0.025423728813558998,-0.094853976269747,-0.16550938102753002,0.63692136084774,0.008989145183174998,-0.024585190299835,0.055783429040196994,-0.050390208908502,0.1121146953405,0.019360269360268995,0.56995412844037,0.32262156448203,0.027369078649749003,0.03127966128808601,2.1660939289805,0.0026852846401718,-0.002354863514033,-0.097000132152769
