Date,ODA/WSM_LE_Value,ODA/WSM_LP_Value,ODA/WSM_PPPGDP_Value,ODA/WSM_BCA_NGDPD_Value,ODA/WSM_GGXCNL_NGDP_Value,ODA/WSM_GGR_NGDP_Value,ODA/WSM_PPPEX_Value,ODA/WSM_PCPIPCH_Value,ODA/WSM_PCPIEPCH_Value,ODA/WSM_PCPI_Value,ODA/WSM_PCPIE_Value,ODA/WSM_PPPSH_Value
1991-12-31,,,0.0090361445783133,-3.4380431735352004,,,-0.0023659305993692,-1.2145467405399,-0.93219935767813,-0.018204209900485997,0.0057066083078243,0.0
1992-12-31,,,0.062686567164179,-0.2436612430288,,,0.056126482213439,-5.963736263736299,10.887719298246,0.090358579523336,0.067760195017147,0.0
1993-12-31,,,0.042134831460674,0.33348536678069,,,0.027694610778443,-0.81082576931592,-0.35492916174734,0.017084523431714998,0.043699776857692,0.0
1994-12-31,,,0.086253369272237,-1.1371565385931002,,,-0.27676620538965996,6.072557050907,0.41157629832990006,0.12087212023506001,0.06170520409802599,0.0
1995-12-31,,,0.086848635235732,0.66583541147132,,,0.37462235649546993,-1.2420782659055,-0.7228525121555899,-0.029264728057254,0.017099289954604,0.0
1996-12-31,,,0.09360730593607301,0.09231536926147699,,,-0.027838827838828,-2.8516746411482994,2.3432748538012,0.05418807503883401,0.057176209386695,0.0
1997-12-31,,,0.025052192066806,-1.7160804020101001,,,0.10097965335343,0.27353266888151,-0.33216722057022996,0.068994049305752,0.038181326116372996,0.0
1998-12-31,,,0.022403258655804,-1.2870813397129,,,0.07597535934291601,-0.21739130434783,-0.43818753273965,0.054001611671897994,0.021448979166231997,0.0
1999-12-31,,0.0057803468208093,0.0079681274900398,-10.117777777778,-0.83302752293578,0.14493338716189,-0.010814249363868,-0.85185185185185,-1.2797202797203,0.0079975856345254,-0.0060025112547087,0.0
2000-12-31,,0.0057471264367816,0.07707509881422901,-0.7989276139410201,-3.2527472527473,-0.12661612599906,-0.0032154340836012,-1.25,-5.5,-0.001996007984032,0.02699982541003,0.0
2001-12-31,,0.0057142857142857,0.099082568807339,1.410303030303,2.1821138211382,-0.05685832520270501,0.0083870967741935,-10.5,-0.5925925925925899,0.019,0.011000000000000001,0.0
2002-12-31,,0.0056818181818182,0.075125208681135,0.9104852904199101,-0.09555442003065899,0.033531908821746004,-0.0019193857965450001,2.8947368421052997,7.9090909090909,0.07400392541707598,0.09800197823936699,0.0
2003-12-31,,0.0056497175141243,0.065217391304348,-0.076730718610161,-0.71073446327684,-0.031408552790529,0.010897435897436,-0.41891891891892,-0.8367346938775501,0.043000338081705995,0.015998846929951002,0.0
2004-12-31,,0.0056179775280899,0.056851311953352995,0.016250890947969,0.453125,-0.051455653351388,0.043753963221306,0.8246511627906999,8.65375,0.078460231105504,0.15446339906370002,0.0
2005-12-31,,0.005586592178771,0.10896551724138001,0.14041240005611,-1.3104838709676998,0.15579097637026001,0.0024301336573512,-0.0038236043843997,-0.93584099443222,0.07815406610724299,0.0099074536308129,0.0
2006-12-31,,0.0055555555555556,0.050995024875622,0.07761377613776099,-2.9220779220779,-0.11428199960996,0.021818181818181997,-0.5545035823950899,1.5822401614531,0.034824146348814,0.025590326628389,0.0
2007-12-31,,0.005524861878452999,0.037869822485207004,0.53772400410912,-2.2364864864864997,0.16766972477064002,0.034400948991696004,0.35496840896036996,2.1402891754591997,0.047180114455463,0.080357407682041,0.0
2008-12-31,,0.0054945054945055,0.04903078677309,-0.5936757719715,-3.3169398907103997,-0.15695024985072,0.056766055045872,0.32725731242052003,0.10191637630662,0.062610376427072,0.08854677858844001,0.0
2009-12-31,,0.010928961748634001,-0.056521739130435,-0.028863719400804,1.8624213836478,0.10419384902144,0.039066739012480006,1.3382305972533002,0.12682100508187,0.14642317330907997,0.09978057730866699,0.0
2010-12-31,,0.0054054054054054,-0.0057603686635945,0.26824680210685,0.59406756385608,0.14101958136394,-0.012532637075718,-1.013727632837,-1.0296652635799,-0.0020090292165357,-0.0029583254501986,0.0
2011-12-31,,0.0053763440860215,0.073001158748552,-0.48368436665678,-0.087525844245348,-0.08707873479894701,0.0047593865679534,-15.303482587065,-10.689189189189,0.02874920649445,0.028681996699385,0.0
2012-12-31,,0.010695187165774998,0.033477321814255,1.2459063487503999,0.35007552870090997,-0.063524988656252,0.015263157894737,1.1533913043478,0.91108786610879,0.061912121144738,0.054808686659772,0.0
2013-12-31,,0.0052910052910053,0.0031347962382445,-0.74840112560757,-0.4413986013986,0.14899287049214002,-0.010368066355625,-1.0334356323696,-1.3160007297938001,-0.0020730705001020004,-0.017318494965554,0.0
2014-12-31,,0.010526315789474001,0.036458333333333,1.7330960854093,-0.34802203304957,0.16708334588391,-0.029334730225249003,4.7971014492754005,-1.1154734411085,-0.011997377049179999,0.0020007334224945,0.0
2015-12-31,,0.0052083333333333,0.041206030150754,-0.031808035714286,-0.32603686635945,-0.21847416507509998,0.015650296815974,-3.9166666666667003,13.0,0.035000902632500996,0.027997395090499,0.0
2016-12-31,,0.010362694300518,0.013513513513513998,0.35696445725264,-0.20113960113960003,-0.052607245467455,0.0037194473963869,-0.31428571428571,-0.28571428571429,0.023998358385061,0.019999476453496,0.0
2017-12-31,,0.0051282051282051,0.019047619047619,-0.16296191420076,-0.0,0.0,-0.0010587612493383,-0.16666666666667002,0.0,0.019999198428921002,0.020002566405749,0.0
2018-12-31,,0.010204081632653,0.032710280373832,-0.11231393775372,-0.0,0.0,0.0037095919448859997,0.25,0.5,0.025,0.030001710932860998,0.0
