Date,ODA/TGO_LE_Value,ODA/TGO_LP_Value,ODA/TGO_PPPGDP_Value,ODA/TGO_BCA_NGDPD_Value,ODA/TGO_TX_RPCH_Value,ODA/TGO_TXG_RPCH_Value,ODA/TGO_TM_RPCH_Value,ODA/TGO_TMG_RPCH_Value,ODA/TGO_GGXWDG_NGDP_Value,ODA/TGO_GGXCNL_NGDP_Value,ODA/TGO_GGXONLB_NGDP_Value,ODA/TGO_GGR_NGDP_Value,ODA/TGO_GGX_NGDP_Value,ODA/TGO_NGSD_NGDP_Value,ODA/TGO_PPPEX_Value,ODA/TGO_PCPIPCH_Value,ODA/TGO_PCPIEPCH_Value,ODA/TGO_PCPI_Value,ODA/TGO_PCPIE_Value,ODA/TGO_PPPSH_Value,ODA/TGO_NID_NGDP_Value
1991-12-31,,0.026808154146886,0.035542490646713,0.6911983032873801,-0.51409260857061,-1.1562580645161002,0.87597911227154,1.8002721088435,,1.1382145653876001,-7.2024096385542,-0.27138192765975,-0.133603703562,1.1278801843318,-0.011460568721107999,-0.78938053097345,2.2822685788787003,0.0023918540285655,0.050356999787921,0.0,-0.20843136008139004
1992-12-31,,0.024748436225184,-0.010580645161290002,-0.060697266114873,1.4430304823912001,-11.521882741536,13.224077940153,0.45000485861432,,-0.35414759201610996,-0.6146076146076099,-0.062969213757784,-0.13327445352175,-0.9447753113156501,-0.0053921149072913,5.8151260504202,-1.4188679245283002,0.016225797654759,-0.021088526943958002,-0.14285714285714002,-0.07663266125793201
1993-12-31,,0.024416135881103997,-0.14345331246739998,-0.22002670226969,2.7640218049667,1.3853398210641998,0.69461839530333,1.3653665728455,,2.7204423022398996,8.5120967741935,-0.39041053350724,0.16864523360677,-64.32352941176501,-0.048142816910223,-1.0548705302096,-2.1147463252726,-0.0008944943870478599,0.02351377366274,-0.16666666666667002,-0.69482383645063
1994-12-31,,0.026165803108808,0.16352009744214002,-0.11811023622047,-1.2119593202883998,-1.4994406790814,-0.75694324152665,-0.7279011786038101,,-0.3648071940253,-0.5139889783806699,0.23596535914417002,-0.10772986877098,-1.13159931878,0.30604730673768,-397.16853932584,19.628668651638,0.35258964143426,0.48497536945813,0.1,2.4301596351197
1995-12-31,,0.029790456955313998,0.090028788275321,0.6389751552795,-1.9778317643486003,-1.6266798418972,-4.4848556835729,-4.5310287380258,,-0.44739052189562,-0.58853030963803,0.24400296760366,-0.037574513827812,4.2611764705882,0.08933246073298401,-0.55197254601662,-0.8681801311394302,0.15796528271913002,0.063918334112396,0.0,0.15050278401064002
1996-12-31,,0.0333415052709,0.09627851140456199,0.15442918048318,-5.536801242236001,-3.9133816882161003,0.05337605235352299,0.025153338051427002,,0.09748154580981301,0.33333333333333,-0.062421310714995994,-0.025029192262781,-1.4762969588551,0.021789865286411,-0.70905868202823,-0.23259815423119,0.045957957614644995,0.049066016610447995,0.09090909090909101,-0.065804680728113
1997-12-31,,0.036298932384342,0.055847568988173,-0.25410340582684,-0.90029777184516,-0.70773949125023,-0.7287170360783001,-0.54178052639149,,-0.69831849653808,-1.2535771065183001,0.053926072513959006,-0.14403249323057998,0.6868544600938999,0.10047489823609,0.15469973890339003,-0.3819812474521,0.053078846337764995,0.030316130775465997,0.0,-0.11157504059383
1998-12-31,,0.037087912087912,-0.012238124870359,0.26640077018292,-4.3199450738071,-2.1516049382716,-1.2071803435115,-1.0593848085374,,2.3075409836066,-5.4843260188088,-0.0099248927038628,0.20501277527679998,-3.6284441970497996,-0.031440724986129,-0.8155266628980601,-1.4647097625330001,0.0097822984509197,-0.014095772579461001,-0.083333333333333,0.28102697998259
1999-12-31,,0.03598233995585,0.041789164216716,-0.09437445699391801,0.28125323131009994,0.40480274442539,18.144502014968,39.799154334038,,-0.45955590800952,-0.82838168472562,0.06698726632348999,-0.06709410339256901,-0.35747564591275,0.0035590775040841,-1.0612870275792,-4.2114975159688,-0.00060386473429948,0.045259279947865,0.0,-0.35681771859501005
2000-12-31,,0.033240997229917,0.012900624874017,0.29547907422952,-0.23831813412960998,-0.2506105006105,-1.0908762855596,-1.2467872318375,,0.96294937637564,5.5417515274949,-0.16644448676443,0.00016234644731858,0.076137112722479,-0.031912813221778,-32.1,-1.5509392265193,0.018666838079321,-0.024926201140064996,-0.09090909090909101,0.60547163832259
2001-12-31,,0.030521757063311998,0.0061691542288557,0.17652503934092,-1.4418308963764,-1.1593686354378998,3.4437458636663996,0.38456692913386004,,-0.79928985236404,-1.2378580323786001,0.15916533394257998,-0.11833134942106,0.089433384379786,0.053394480386537005,1.1007502679528,-3.7496991576414,0.039186238752098,0.068547492594574,0.0,0.028488716362918998
2002-12-31,,0.028216930158095,0.0059335443037975,-0.25444531864673,3.289448441247,9.2517571884984,-0.43815622905652,-0.57787382468911,-0.021648128214328,-0.59404096834264,0.68848167539267,-0.16786019315418998,-0.19594967781528,0.14787742479618,0.046106403379200994,-0.21938775510204003,-0.77359591539023,0.030604065968764,0.015521578780254999,0.0,0.032433469805527
2003-12-31,,0.0266640716232,0.070389303971687,0.022266779231742997,0.20512103762508999,0.69639740713039,1.6141815772033998,2.1431650799353,0.015450441978558998,-6.605504587156,2.3193798449612,0.38780988473078004,0.15501450160281,-0.15356355620867002,-0.11586843109179999,-1.3039215686274999,-2.1166237113402,-0.0092974476208433,-0.017328667460346,0.0,-0.10490117107627
