Date,ODA/ISR_LE_Value,ODA/ISR_LP_Value,ODA/ISR_PPPGDP_Value,ODA/ISR_BCA_NGDPD_Value,ODA/ISR_TX_RPCH_Value,ODA/ISR_TXG_RPCH_Value,ODA/ISR_TM_RPCH_Value,ODA/ISR_TMG_RPCH_Value,ODA/ISR_GGXWDG_NGDP_Value,ODA/ISR_GGXWDN_NGDP_Value,ODA/ISR_GGXCNL_NGDP_Value,ODA/ISR_GGXONLB_NGDP_Value,ODA/ISR_GGR_NGDP_Value,ODA/ISR_GGSB_NPGDP_Value,ODA/ISR_GGX_NGDP_Value,ODA/ISR_NGSD_NGDP_Value,ODA/ISR_PPPEX_Value,ODA/ISR_PCPIPCH_Value,ODA/ISR_PCPIEPCH_Value,ODA/ISR_PCPI_Value,ODA/ISR_PCPIE_Value,ODA/ISR_PPPSH_Value,ODA/ISR_NID_NGDP_Value,ODA/ISR_LUR_Value
1991-12-31,0.060991957104557994,0.031784841075794996,0.080989781268474,-7.6394557823129,-2.2178877259752996,-2.0702767749699,0.8032971996386601,-0.054545454545455,,,,,,,,0.17130837637787,0.18590398365679,0.10673732021196,0.024131274131274,0.19004817485207998,0.18036529680365,0.022421524663677,0.29960727573377,0.1064074422494
1992-12-31,0.042324699936829004,0.035545023696682,0.095984375,-0.38831967213115,-6.500390625,-4.036204182595,-0.45003130870382,-0.31414237935977,,,,,,,,0.03582469539916299,0.10034453057708999,-0.37135641376406997,-0.48051228031269,0.11948814084277,0.093708642980759,-0.035087719298246,0.0,0.05384978743504901
1993-12-31,0.061212121212120996,0.037237362180154,0.062386838316011994,1.8366834170853998,-0.29401320928910996,-0.015108872759591002,0.60195832858932,1.2368512713339999,,,,,,,,-0.086990870786517,0.088845401174168,-0.084030800133914,0.20042689434365002,0.109428467419,0.11246334993252,0.018181818181818,0.0083101391650101,-0.10219632451815
1994-12-31,0.068532267275842,0.035699959887686004,0.092889061849998,0.20372010628874998,0.331757368474,0.16506241540081,-0.062117981520967,-0.018841482404235,,,,,,,,-0.063311220074993,0.11107117181884,0.12774122807017999,0.28485064011379996,0.12344139650873,0.14451858514443,0.035714285714286004,-0.025000985843290004,-0.21837244133798997
1995-12-31,0.047568145376804004,0.032532920216886,0.11941159858057002,0.18297767966642,-0.26792053780497,-0.55392758019751,-0.29008790542589,-0.19790509442945997,,,,,,,,0.032794457274827,0.061468780329989994,-0.18627450980392002,-0.43924716302241995,0.10041474385186,0.081036625484319,0.060344827586206996,0.008978766430738002,-0.12327542156362
1996-12-31,0.10459183673469,0.028882220555138997,0.07723274027598,-0.017623885548413997,-0.34203466776722996,0.15540442772392002,-0.33411614005123996,-0.31885635140483004,,,,,,,,0.0011429139336116,0.081377628771716,0.12287165189684,0.30639190523197996,0.11276851753548,0.10588334742180999,0.016260162601626,-0.0024852687697919,0.21302637330613003
1997-12-31,0.013394919168591,0.026248632883703996,0.056513283167188,-0.39067116926973,0.7508232711306301,0.5815904821540401,-0.9217697980121801,-0.83805374001452,,,,,,,,0.048692112969673,0.06228861330326901,-0.20182672696639,-0.33994521583073994,0.090018604799084,0.06987907602464301,-0.004,-0.034960819770946,0.14414414414414
1998-12-31,0.015496809480401,0.023801065719360998,0.05462763958094401,-0.7024593003117401,-0.7912225705329201,-0.52157732203658,-5.0737704918033,-0.59372197309417,,,,,,,,0.011075350246118998,0.059432210135314,-0.39617820242195,0.23382942186606,0.054341483340141,0.08621970736168301,0.020080321285141003,-0.07470331043098101,0.12073490813648001
1999-12-31,0.03096947935368,0.022033310201249,0.052519990861320996,0.90221187427241,0.34834834834835,0.30850711684873,-3.953722334004,30.582781456954002,,,,,,,,-0.0079580563617638,0.046581517655898,-0.044342226310947995,-0.8441196938065401,0.051955778783225,0.013431029493015,0.0,0.027226497457360003,0.037470725995316
2000-12-31,0.041358293426208004,0.020879307418095003,0.11401208627097,-0.04161566707466299,13.172764874324,2.2203389830508,1.4867166212533998,-0.042496679946879,,,,,,,,-0.035437901094753,-0.00047858339315642,-0.78340392760878,-1.0,0.011245856789603997,0.0,0.039370078740158,-0.035880136686235,-0.015801354401806002
