Date,ODA/MRT_LE_Value,ODA/MRT_LP_Value,ODA/MRT_PPPGDP_Value,ODA/MRT_BCA_NGDPD_Value,ODA/MRT_TX_RPCH_Value,ODA/MRT_TXG_RPCH_Value,ODA/MRT_TM_RPCH_Value,ODA/MRT_TMG_RPCH_Value,ODA/MRT_GGXWDG_NGDP_Value,ODA/MRT_GGXCNL_NGDP_Value,ODA/MRT_GGXONLB_NGDP_Value,ODA/MRT_GGR_NGDP_Value,ODA/MRT_GGX_NGDP_Value,ODA/MRT_NGSD_NGDP_Value,ODA/MRT_PPPEX_Value,ODA/MRT_PCPIPCH_Value,ODA/MRT_PCPIEPCH_Value,ODA/MRT_PCPI_Value,ODA/MRT_PCPIE_Value,ODA/MRT_PPPSH_Value,ODA/MRT_NID_NGDP_Value
1991-12-31,,0.027054108216433,0.033241842025008,-0.44069691605329,,,,,,,,-0.13662661326213,,0.29181109185441995,0.12709108585605,,,0.05628398638003799,0.03603647534988,0.0,0.14303959131545002
1992-12-31,,0.028292682926828995,0.041027154663517994,-0.17391304347826,2.0869565217391,2.0869565217391,-2.68,-2.68,,,,-0.074587628865979,,0.13726312258929999,0.07471743010113001,0.80174098418902,3.8702163061564,0.10142173254108,0.17563306034077,-0.083333333333333,0.15486033519553
1993-12-31,,0.027988614800759,0.083924014743408,0.5345835854002801,-2.7464788732393997,-2.7464788732393997,-2.5357142857143,-2.5357142857143,,,,0.18615273213390998,,-0.49553933495539004,0.093130742831839,-0.07611910865707,-0.9149869035417401,0.09372065086818801,0.014933440096086999,0.0,-0.30693691950464
1994-12-31,,0.028149515459159998,-0.0099398378236986,-0.77240473061761,-2.5322580645161,-2.5322580645161,-0.32558139534884,-0.32558139534884,,,,-0.08710965015261798,,5.533615901783099,0.08777881864445401,-0.55944503735326,0.8077695914266599,0.041277258566977997,0.026981716336956,0.0,2.4270258951629997
1995-12-31,,0.028725314183124,0.12100396301189,-1.2961893764434,-1.5446315789473999,-1.5446315789473999,-2.9701149425287,-2.9701149425287,,,,-0.011471193415638,,-0.5781714873722099,0.0074015454799366,0.58527131782946,2.3349388662468,0.065435437163186,0.090015172175383,0.0,-0.58498136418257
1996-12-31,,0.028795811518325,0.077539476785293,-1.4502923976608,-1.0082141476614,-1.0082141476614,-0.8418903150525101,-0.8418903150525101,,,,0.25430608315554,,-0.28085061250464,0.00032346009888643997,-0.28468826405868,-0.50238862348628,0.046818468184682,0.044788216223835,0.09090909090909101,-0.13505422780586002
1997-12-31,,0.028413910093299,-0.024059492563430002,8.813852813852801,142.56470588235,142.56470588235,0.33062730627306,0.33062730627306,,,,-0.13163790242283,,-0.27933043285893,0.10190317812269001,-0.011963255714591002,0.23532038401429,0.046254900612147,0.05533070255320599,-0.083333333333333,-0.14099290780142001
1998-12-31,,0.028865979381442995,0.038995965934559,-0.36479929422144003,-0.49889371466033006,-0.49889371466033006,-1.1810870770937,-1.1810870770937,,,,-0.016912713200516,,0.9161976875064001,0.041691120985998,0.7366486486486501,0.49105367793240995,0.08030108799263701,0.082503715303856,0.0,0.25627476882431
1999-12-31,,0.029258517034067996,0.08304572907678999,0.75277777777778,-2.0099754701554002,-2.0099754701554002,6.2036753445635995,6.2036753445635995,,,,0.05972687952568401,,-0.33838842313238005,0.0030585347204055,-0.49277888446215,-0.76642424242424,0.040756404795229,0.019264267367364,0.0,-0.34058885383807
2000-12-31,,0.029205607476634997,0.041625174268074,2.5772583201268,-1.2859455958549,-1.2859455958549,-3.5803571428571,-3.5803571428571,,,,0.13266990736495,,-0.39273607748184003,-0.0092078075788882,-0.2012763868434,1.8946549039958,0.032538626829019,0.055773603487480006,0.0,0.5448094402806599
2001-12-31,,0.029133560348089,0.052390057361377,0.29039760770849,1.0237825594564,1.0237825594564,-1.2784643269072,-1.2784643269072,-0.045591014441077,,,-0.0010526741973361,,0.7185007974481701,0.05462644259971701,0.44898586355255,-0.68949444245249,0.047142432436259006,0.017325578205163002,0.0,0.26869677419355
2002-12-31,,0.029411764705882002,0.026526162790698,-1.2611792979143002,1.5948517067711,1.5948517067711,1.8272189349111998,1.8272189349111998,-0.12028513360033,,,0.40854375227982,,1.584686774942,0.061530486868377005,-0.17370095440085,3.8510392609699995,0.038963321481201005,0.084019902644247,0.0,0.23579187177087998
2003-12-31,,0.029285714285714002,0.07699115044247799,-5.4834045349984,0.20056070735389,0.20056070735389,-1.8517161992465,-1.8517161992465,-0.080898466033601,,,0.018760970275946996,,-0.38043087971275,0.0047022227045014,0.3223819301848,-0.71459176386575,0.051516610495908,0.023970046770822998,0.0,0.13075682259604
2004-12-31,,0.028799444829979,0.08069022185702499,1.5358792054533001,-2.55757140291,-2.55757140291,1.1212679690379999,1.1212679690379999,-0.032700456059773,,,-0.07148707809631401,,-0.17294504008499997,0.085503933180926,1.0124223602484,5.7322768974145,0.10367785367785001,0.16144510987743,0.0,0.5057789164167801
2005-12-31,,0.027655986509275005,0.088351581508516,0.36448246957829,-0.46874639603275003,-0.46874639603275003,-0.15922386330727,-0.15922386330727,-0.13029396872104,,,-0.19027194743565998,,-0.16286131386861,0.14294479544965,0.16956018518519,-0.64042368681863,0.12125221447312,0.058059387714545996,0.0,0.18988051506129
2006-12-31,,0.026911716442402,0.14880536537655,-0.9720380452051601,2.9368283946597002,2.9368283946597002,-0.53968035271425,-0.53968035271425,-0.52349697362495,,,1.4145910815583,,0.65311104910714,0.27944227616324996,-0.48532079828468,0.53092161929371,0.06241,0.08886911822854901,0.0,-0.59345498269503
