Date,ODA/CPV_LE_Value,ODA/CPV_LP_Value,ODA/CPV_PPPGDP_Value,ODA/CPV_BCA_NGDPD_Value,ODA/CPV_TX_RPCH_Value,ODA/CPV_TXG_RPCH_Value,ODA/CPV_TM_RPCH_Value,ODA/CPV_TMG_RPCH_Value,ODA/CPV_GGXWDG_NGDP_Value,ODA/CPV_GGXWDN_NGDP_Value,ODA/CPV_GGXCNL_NGDP_Value,ODA/CPV_GGXONLB_NGDP_Value,ODA/CPV_GGR_NGDP_Value,ODA/CPV_GGX_NGDP_Value,ODA/CPV_NGSD_NGDP_Value,ODA/CPV_PPPEX_Value,ODA/CPV_PCPIPCH_Value,ODA/CPV_PCPIEPCH_Value,ODA/CPV_PCPI_Value,ODA/CPV_PCPIE_Value,ODA/CPV_PPPSH_Value,ODA/CPV_NID_NGDP_Value,ODA/CPV_LUR_Value
1991-12-31,,0.022727272727273,0.046632124352332,-0.09878163074039399,-16.375,3.3095238095238,-0.47560975609756,-0.91666666666667,,,,,,,-0.23585975906217999,0.014427763696627,-0.31716317163172,-0.044730447304472995,0.075870492644846,0.10614426275925999,0.0,-0.05035036930819,
1992-12-31,,0.025,0.054455445544555,0.07425124792013299,-0.21138211382114,-2.2320441988949997,-3.0,-8.3333333333333,,,,,,,0.63633792859668,0.0088410532385161,0.7700013180440201,0.31053325796118,0.13429422314362,0.13909064729786,0.0,-0.042364672364672,
1993-12-31,,0.02710027100271,0.098591549295775,0.6079380445304899,-2.6494845360825,-2.4663677130045,-0.6976744186046501,-0.13636363636364,,,,,,,-0.14814654799965,0.08558773099638001,-0.5660138506217901,-0.68562185478073,0.058268904393739995,0.043735955056180005,0.0,0.08130782732871202,
1994-12-31,,0.029023746701846997,0.092592592592593,0.06646598434677901,2.025,12.825688073394,7.730769230769201,5.508771929824599,,,,,,,0.11583912359892,0.048523669547668,-0.42621825669183,-0.09764463754859401,0.033444816053512,0.039467664235541,0.0,0.097809937819843,
1995-12-31,,0.023076923076922995,0.09647979139504599,0.13796996725754002,-0.48140495867769,-0.9486839194868399,-0.24669603524229,-0.56873315363881,,,,,,,-0.19899095495659,0.024708146784384,1.5149521531099999,0.44602128737962,0.08410260491272702,0.05705075925278599,0.0,-0.11107491040325002,
1996-12-31,,0.025062656641604,0.086801426872771,-0.37087012600456,-0.51792828685259,-0.41810344827585993,-1.3859649122806998,-2.25625,,,,,,,0.50774555977983,0.019314400049001,-0.28537455410226004,0.5958640028040699,0.060107417693334005,0.09106718593087901,0.0,-0.03087202909583,
1997-12-31,,0.022004889975549998,0.09518599562363197,-0.1315249960574,-1.0,,-2.8589393939393997,-1.0,,,,,,,0.1864438673742,0.0064496745117677,0.42662229617304,-0.26015813749176,0.085747259088286,0.06737007520484901,0.0,0.029353581195089,
1998-12-31,,0.019138755980861,0.09590409590409599,0.8318503722535001,,,-0.10758823049963001,,,,,,,,-0.41563838223632,0.023265070551476003,-0.48693725215769,0.24402553065163002,0.043983843537415,0.08381357001640499,0.5,-0.18845208150807,
1999-12-31,,0.018779342723005,0.13582497721057002,0.24484536082474,,-2.9235555555556,0.93013060553475,3.0629130966952003,,,,,,,0.17945934209098,0.053874280379648,-0.01159354398727,-1.1899534661735,0.043484900934656,-0.015922454444897,0.0,0.09493296186662,
2000-12-31,,0.018433179723502,0.09711075441412499,-0.20863194776238003,1.8570696721311,-1.9709257547751,-1.3153362040411,-1.3510272940893,,,,,,,-0.16430412371134,-0.047503045066991004,-1.5586476540938001,-0.33542713567839,-0.024285533081599,-0.010569803097978002,0.0,-0.11383225724373,
2001-12-31,,0.020361990950226002,0.08558888076078999,-0.022841618031797,0.26561472715319,-0.8793479554198199,-2.9765906362545,-2.4497082046001,,,,,,,0.061075008260821996,-0.0094551654653956,-2.5125566076575,-5.3119092627599,0.036739999999999995,0.045610818244327,0.0,0.040341684014069,0.05
2002-12-31,,0.017738359201774,0.068733153638814,0.048604675110699005,0.042455726092089995,3.0069033530572002,0.773914363802,1.6019417475728,,,,,,,0.17091399802772,-0.018288866285893,-0.47795318454001,-0.34612012275318,0.019185138028821,0.029830547242819,0.0,0.12961429655696,-0.023809523809523996
2003-12-31,,0.017429193899781998,0.09646910466582598,-0.00019640577432983,-0.4232581317387,0.20502092050209,-0.30236240691603,-0.36134874408446,-0.014451497238105,-0.013597620416427002,-0.42600153100281,-0.5097644141351501,-0.14159787323352,-0.20279470707735997,-0.19556737588652,-0.0021120165773377,-0.38060479666318997,-1.764666443178,0.011877383757796001,-0.022812245502332,0.0,-0.13480743975811998,-0.024390243902439
2004-12-31,,0.014989293361884,0.078205865439908,0.27207543463314,-0.57717382766476,-1.9829793028322,-0.10925710079136002,0.5459209120057,0.029326810801509,0.029153890986494,-0.18270726828184,-0.46221941195068,0.17163814180929002,0.11673955714728,0.25209389464404003,-0.032825509653973996,-2.5917508417507995,-0.8693555458132399,-0.018902336369928,-0.0029832087962042,0.0,0.25927494793321,-0.025
2005-12-31,,0.010548523206750999,0.092266666666667,-0.7591691761254,1.3875162548765,-4.1519601052777,-1.2404269972452,-1.1350878001567,0.019033972177443,-0.0090856488606005,0.6325809083492,1.5690770135215,-0.042014468558708995,0.034475315304202996,0.27615191656031,-0.02510373872293,-1.2295081967213,-6.902684563758401,0.0043280551398037,0.017591853793836997,0.0,-0.09968043953579599,0.09743589743589699
