Date,ODA/LBY_LE_Value,ODA/LBY_LP_Value,ODA/LBY_PPPGDP_Value,ODA/LBY_BCA_NGDPD_Value,ODA/LBY_TX_RPCH_Value,ODA/LBY_TXG_RPCH_Value,ODA/LBY_TM_RPCH_Value,ODA/LBY_TMG_RPCH_Value,ODA/LBY_GGXWDG_NGDP_Value,ODA/LBY_GGXWDN_NGDP_Value,ODA/LBY_GGXCNL_NGDP_Value,ODA/LBY_GGXONLB_NGDP_Value,ODA/LBY_GGR_NGDP_Value,ODA/LBY_GGX_NGDP_Value,ODA/LBY_NGSD_NGDP_Value,ODA/LBY_PPPEX_Value,ODA/LBY_PCPIPCH_Value,ODA/LBY_PCPIEPCH_Value,ODA/LBY_PCPI_Value,ODA/LBY_PCPIE_Value,ODA/LBY_PPPSH_Value,ODA/LBY_NID_NGDP_Value
1991-12-31,,0.023474178403756,0.19505516739054002,-0.81815586640023,-1.9069098793363002,-1.9587107752364998,,-0.32172043010753004,-0.088638776232342,-0.088646063404022,1.5073635576089999,1.0629166666667,0.076091693541358,-0.084022483525003,-0.27387135437475,-0.085470085470086,15.227461858529999,0.07993354255122799,0.11700551659917999,0.11699456673353,0.1326164874552,-0.10827942517257999
1992-12-31,,0.022706422018348,-0.0049436223885146,3.0918367346938997,-0.6412868354035699,-0.63718939235749,,-2.542327203551,-0.032763383857239,-0.027077752874506,-0.9873315674306099,-0.87295495859422,-0.28235865867487,-0.06647857520719501,0.039156350298029,0.074766355140187,-0.19230769230769001,-0.19230769230769001,0.09450549450549399,0.09450073735788,-0.12341772151899001,-0.15029943035201
1993-12-31,,0.022202287508410003,-0.014745749254205002,-1.5238826011893,0.04708780063749599,-0.0038848920863309997,-1.5724070902948002,-2.7619488128276,0.12343487054392001,0.12561571741614,-55.172727272727,-4.8036565977742,-0.050940556809631,0.17812618058179003,-0.20146487822097,-0.0086956521739131,-0.20910052910053,-0.20910052910053,0.074735724507224,0.074736498967728,-0.05776173285198599,0.19333027733211
1994-12-31,,0.021061869240895002,0.04104258527993,-1.1915049432442,-0.075965130759651,-0.05792286580962001,-3.0545763260026,-2.3079570645198997,0.078292059478328,0.10861896838602,-0.53800973317671,-0.6543364681295699,0.05811464362166001,-0.055828122494788995,0.18256160901757001,0.026315789473683997,0.42774953170993,0.42774953170993,0.10671334077828,0.1067153314191,-0.011494252873563,0.0024488619994237
1995-12-31,,0.020197679415557,-0.10569968814278999,17.967495219885002,-4.9176400119796,-5.033425329653499,-0.52390696942269,-0.48316310601668,-0.04464524680422599,-0.037131536291049,-2.4235379585906003,-3.9891172914147996,0.21631949647835003,-0.030464610786578,-0.16535837772171,0.19658119658120002,-0.21825508387217998,-0.21825508387217998,0.083422273106553,0.083425449695331,-0.15503875968992,-0.61958135747473
1996-12-31,,0.018744734625104998,0.045061087203837995,-0.3393145161290301,-1.5926534668603,-1.5875845814643001,-2.3443544387502,-1.9682430100103998,-0.09064834578441801,-0.35428811921314,1.9808624649145001,1.5552184466019,0.33761473541551,0.11202578204365,0.068633488215865,0.092857142857143,-0.52097818269,-0.89798609446176,0.039959163203897,0.0085079472153126,-0.013761467889908001,0.57844371694787
1997-12-31,,0.017986355178830002,0.010945191215448999,-0.08452853219408,-1.183360206385,-1.1824416122145,-0.4950811608460399,-0.32308377896613,-0.07571334262451401,-0.18672299336150003,-1.185927067283,-1.1021926699913,-0.23430124116333,0.11589226649866,-0.22536539368223,0.065359477124183,-0.10260260260260001,2.8225616921269,0.035866214284484,0.032523995852982004,-0.046511627906977,-0.29905871091257
1998-12-31,,0.017262388302193,0.007046127555976999,-0.49966666666667,-3.5135420330637004,-3.6294326241135,-4.1363857769117995,-4.2169848584595,-0.010332677290330999,-0.12374591867023,0.12246777163904,0.20836560805576998,-0.053500541320823006,-0.042711156278228996,-0.2882937715561,0.0,0.037088678192973,0.17307101137412,0.037193139968908995,0.038155699872057997,-0.024390243902439,-0.14373506316148998
1999-12-31,,0.016769814334198,0.019990934343728003,1.7591605596269,-1.3222781975931002,-1.3051921780175,-1.1091784438577,-0.71824990791143,-0.16068192388498,-0.2312591036889,-3.4097621000819998,-5.238461538461499,0.070600196994249,-0.17958774438973002,0.44431774990497996,0.16564417177914,-0.30787846195214,-0.5636792452830199,0.025744399471006003,0.01664508681341,-0.03,-0.08067517278043598
2000-12-31,,0.016296878067936,0.06040406112193599,1.6233248822889998,0.17846287451151002,-0.05037560760053,-4.878733997155,2.0538930854155,-0.25486299537586,-0.9647924561558101,1.396085106383,1.1290078644888,0.23769105208487998,-0.0069731497789441,1.0713815789474,0.11052631578947,-2.1293706293706,-4.9693693693694,-0.029075537010557005,-0.066081018873715,-0.010309278350514999,0.4102934798323
2001-12-31,,0.016035548686244,0.00474962389856,-0.35326061944865994,-2.7505526897568,-3.3690088413215,-2.8814522783534,-2.0806259810684,-0.0039491229869731,-1.0275344180225,-0.9950983874405099,-0.96931164310578,-0.083205447918665,0.38140225142071,0.92072415435922,0.047393364928910005,2.0405916752666,0.55545468300802,-0.08839009786247698,-0.10280381509443,-0.041666666666667,3.7583803177858
2002-12-31,,0.015402167712493002,0.0056148531582213,-0.71742688393937,1.9633761313408,2.2201924965626003,1.4297061546707999,1.2818469935734,-0.20652901498378,205.09090909091,103.5652173913,15.701388888889001,0.29204373071089,0.10536107326276,-0.075189337566557,0.25339366515837,0.11585020929968999,-0.29299610894941996,-0.09862897601370098,-0.07268365487625099,-0.038043478260870005,0.11568787970184
