Date,ODA/COG_LE_Value,ODA/COG_LP_Value,ODA/COG_PPPGDP_Value,ODA/COG_BCA_NGDPD_Value,ODA/COG_TX_RPCH_Value,ODA/COG_TXG_RPCH_Value,ODA/COG_TM_RPCH_Value,ODA/COG_TMG_RPCH_Value,ODA/COG_GGXWDG_NGDP_Value,ODA/COG_GGXWDN_NGDP_Value,ODA/COG_GGXCNL_NGDP_Value,ODA/COG_GGXONLB_NGDP_Value,ODA/COG_GGR_NGDP_Value,ODA/COG_GGX_NGDP_Value,ODA/COG_NGSD_NGDP_Value,ODA/COG_PPPEX_Value,ODA/COG_PCPIPCH_Value,ODA/COG_PCPIEPCH_Value,ODA/COG_PCPI_Value,ODA/COG_PCPIE_Value,ODA/COG_PPPSH_Value,ODA/COG_NID_NGDP_Value
1991-12-31,,0.030465949820788,0.05797458986061401,-0.8149078351347699,-1.424027192938,-1.4252136752137,-7.024057024057,130.46134663342,-0.0083419103622507,-0.0083419103622507,1.8400182315406,-1.6247244361539999,-0.06414914308782001,0.19992413945697,-0.35461494162609003,-0.046544038639530994,26.282798833818998,3.9249832551909,0.093586664783162,0.073521489635789,0.0,0.29058217025022
1992-12-31,,0.030869565217391003,0.049551125102017,2.5180518536467003,-1.9948552285236,-1.9948552285236,-1.8236207661589,-1.7553683891038998,-0.06011845142185201,-0.06011845142185201,0.12381640186166,0.64386536373507,-0.11215246460923,-0.034692587324166,0.46497667815859006,-0.037624690366205,-1.337892712118,-1.3726370189038,-0.03162608452281,-0.02738141990662,-0.096774193548387,0.052221356196415006
1993-12-31,,0.030366933783214,0.013774716729616,-0.8008127281493199,0.33613950691521005,0.33613950691521005,-3.0371733860106005,-3.1914866901055,0.31637514961968,0.31637514961968,-0.10960371295966001,-0.16809775429326002,0.072390795459565,0.0028653295128939,-0.10326974722445,-0.034284057971014,0.29664769133459995,-1.0,-0.040995998221431997,0.0,-0.035714285714286004,0.36555555555556
1994-12-31,,0.029881293491609,-0.034845496383958,-11.899377593361,-1.6704770477048,-1.6704770477048,0.76814468735308,0.17113390248095,0.58498568612728,0.58498568612728,0.066559743384122,-0.7864231838031,-0.06935749588138401,-0.023265306122449,-0.29096298125907,0.33902008572149,-12.317560975610002,,0.46402077151335,0.1943516005294,-0.074074074074074,0.84723352318959
1995-12-31,,0.029411764705882002,0.061534968210718,0.52419022239142,-1.0053698483018,-1.0053698483018,-0.8148603621195399,-0.7701445219620501,-0.027292612784667998,-0.027292612784667998,-0.38112781954887004,-6.5855018587361,0.053106744556559005,-0.1077587407717,-1.4994992379708,0.012839479606566999,-0.86362656782035,0.48037248546586,0.063291740562452,0.28773735514528004,0.0,-0.32876335205373997
1996-12-31,,0.0,0.06192513368984,-0.32717925235201,307.625,307.625,-2.8543602172253997,-2.8193776339875,-0.19253906829675,-0.19253906829675,-2.2356943263273,0.8207986688851899,0.16591023701462,-0.45130670996346994,-1.0406241827215998,0.15876880040367003,0.16545512010114002,-0.8088204629179101,0.07373155221969,0.055015095605501003,0.0,-0.10343696169305
1997-12-31,,0.028957528957528997,0.010776513244033002,-0.80563031709203,0.21093560145808,0.21093560145808,-1.0254616743713,-1.2615175834718,0.036666855160973996,0.036666855160973996,-0.64762560220234,-0.57269487343507,0.035214821222607,0.43043305070278004,33.227467811159,0.031979098229156004,0.7204067796610201,1.9089256498818001,0.1268932038835,0.16001935439276,-0.04,-0.32195791399817
1998-12-31,,0.028893058161351,0.04862495017935401,3.5374820945408,-0.64653154057128,-0.64653154057128,3.2357414448668997,-0.77963675404849,0.20207374005064002,0.20207374005064002,-2.9140625,-2.2506415739949,-0.20824483827165,0.1775470422087,-1.1144200626959,-0.19099967427675002,-0.82377049180328,-1.1547931508561002,0.022351044320546003,-0.024776546299607002,0.0,0.20019790401655
1999-12-31,,0.029175784099197997,-0.010927404028886,-0.6455856045459301,0.6021953065859201,0.6021953065859201,-0.37320466786354994,1.2143727161998001,-0.12407588780947,-0.12407588780947,-0.19110787172012,-2.0297537619699,0.17550571679859,0.090540540540541,-10.688767123287999,0.27405909427816,0.34749552772809006,-2.5268469923294,0.030145067116113998,0.03782185235424201,-0.041666666666667,0.04077349722680201
2000-12-31,,0.029057406094967996,0.10029781919492999,-1.5889746634996,-0.97236002834869,-0.97236002834869,0.42857142857143,-0.6912357902456899,-0.29533484147268,-0.29533484147268,-1.2034600828978002,0.33859182995682,-0.0055740525981071,-0.21149318463445,1.0457527429024,0.43768359512471994,-0.8310653833388599,-1.8270756213643997,0.005083616730358,-0.031274285848857004,0.043478260869565,-0.18529454126458
2001-12-31,,0.028925619834711,0.06164323757967401,-1.8023861535876,-57.564102564103,-57.564102564103,1.1293233082707,-10.773159144893,0.19948781728065,0.19948781728065,4.630646589902599,-0.16499193648431,0.160409299526,-0.03783443994814,-0.3983910651591,-0.1584329554935,0.65815324165029,-3.664641943734,0.0084414678387052,0.08334751428224099,0.0,0.16489878900379998
2002-12-31,,0.029116465863453997,0.061847191380870005,-0.0025130890052357,-1.2868691447567,-1.2868691447567,-0.26824387947269,-3.1386559727792003,-0.07914334164180901,-0.07914334164180901,-1.0531697341513,-0.94874461447036,-0.11375867211308001,0.13005308289098,0.10472383053028,-0.032245234745546004,2.5367298578199,-1.3426514697061003,0.029851262538913997,-0.028565978884064,0.0,-0.11188678529423
