Date,ODA/TTO_LE_Value,ODA/TTO_LP_Value,ODA/TTO_PPPGDP_Value,ODA/TTO_BCA_NGDPD_Value,ODA/TTO_TX_RPCH_Value,ODA/TTO_TXG_RPCH_Value,ODA/TTO_TM_RPCH_Value,ODA/TTO_TMG_RPCH_Value,ODA/TTO_GGXWDG_NGDP_Value,ODA/TTO_GGXWDN_NGDP_Value,ODA/TTO_GGXCNL_NGDP_Value,ODA/TTO_GGXONLB_NGDP_Value,ODA/TTO_GGR_NGDP_Value,ODA/TTO_GGX_NGDP_Value,ODA/TTO_NGSD_NGDP_Value,ODA/TTO_PPPEX_Value,ODA/TTO_PCPIPCH_Value,ODA/TTO_PCPIEPCH_Value,ODA/TTO_PCPI_Value,ODA/TTO_PCPIE_Value,ODA/TTO_PPPSH_Value,ODA/TTO_NID_NGDP_Value,ODA/TTO_LUR_Value
1991-12-31,,,0.06102738272129099,-1.0099381625441999,0.064516129032258,-0.53658536585366,-15.153846153845999,-4.4444444444444,,,,,,,-0.27620588621157,-0.032370953630796,-0.6565437454808399,,0.038006086266208,,0.0,0.20489094514210002,-0.0765
1992-12-31,,,0.0059017705311593,-30.022222222222,-0.15151515151515,0.7631578947368399,-0.8967391304347799,-1.0107526881720001,,,,,,,0.01021086339194,0.01627486437613,0.71289473684211,,0.065087154647717,0.08498392616405702,-0.11111111111111001,-0.15219113792893,0.05955603681645901
1993-12-31,,,0.0089498806682579,-0.054747320061256,-2.0357142857143,-1.8507462686567,-4.1578947368421,-21.0,,,,,,,0.0053827751196172,0.074733096085409,1.014287909049,0.97681807484114,0.1311053600012,0.16799681401832,-0.0625,0.016534867002157,0.0086867654573326
1994-12-31,,,0.05765819041987,0.78331308221952,-1.8965517241379,-2.280701754386,-0.53333333333333,-2.6166666666667004,,,,,,,0.46371207614515,0.13038079470199,-0.7152772481122701,-0.6702779927376601,0.037335837378159,0.055386587744303,0.03333333333333299,0.40869872701556,-0.067831813576494
1995-12-31,,,0.061224489795918,0.25210084033613,3.1153846153846003,2.013698630137,-7.75,-4.0515463917526,,,,,,,0.068685226579963,0.019040644452581,0.42057326547013,-0.31846903773244,0.053025473646632994,0.037760719547181,0.0,0.028666097695667005,-0.066409434269877
1996-12-31,,,0.09000702493853201,-0.66878287683657,-1.0981308411215,-1.1136363636364,-1.005291005291,-0.8277027027026999,,,,,,,-0.0074158585282373,0.0010779734099893,-0.37261927211013,0.1517880794702,0.033271584758998995,0.043472305240087994,0.032258064516129,0.16808199121523001,-0.053961231736422005
1997-12-31,,,0.095303311044872,-6.8565169769989005,-3.9047619047618998,-0.56,-373.0,9.137254901960802,,,,,,,-0.25593869731801,-0.053122756640345,0.17974150886684997,-0.20630174793008,0.039254285747765,0.034512799093025,0.03125,0.24057825687307,-0.076482894412995
1998-12-31,,,0.092894969108561,-0.0043014774639986,0.7452459016393399,-11.818181818182001,-0.5941129032258101,-0.8239845261121899,,,,,,,0.17070030895984,-0.028809704321456003,0.3543949044586,0.62967255867864,0.053162102129867,0.056236805980134995,0.03030303030303,0.10854775697157001,-0.05270171230595
1999-12-31,,,0.0967763644929,-1.0423553719008,-0.85064813075333,-0.2809243697479,-1.6445459964236,-2.1987912087912,,,,,,,-0.05603694743787099,0.027322404371584997,-0.35308502633559,-0.39118065433855,0.034387512579492005,0.034239094820996,0.058823529411765,-0.370651678566,-0.07617105078070098
2000-12-31,,,0.10007976928269001,13.793791574279,0.11761006289308,0.10459273109735001,-1.599671187834,-1.3854615455128998,-0.022593232720987996,,-1.0757420675537,5.316219369895,0.10126882485474,-0.056219399459034,0.09300591771119698,0.08852583586626099,0.017737714451876,0.63551401869159,0.035003829514169,0.055999662080108,0.027777777777778,-0.18966932174752998,-0.07643700038066199
2001-12-31,,0.0031545741324921,0.065428380187416,-0.24490407673860998,3.9960607765897995,-0.17371984765129,1.5589444825223002,2.8834720570748997,0.030370978032996,0.013805986172543,-6.7398648648649,-0.5181969333087,0.012275223430601999,0.08478142572102298,0.35358315215074004,0.0052356020942407,0.57142857142857,-0.42857142857143,0.055,0.032,0.027027027027027,0.59138567854164,-0.10971890198664999
2002-12-31,,0.0047169811320755,0.095911208837234,-0.83108376339817,-1.8681009236314,-2.2130601792574,-0.90980313378867,-0.9060012247397401,0.045257514905964004,0.07003833365101599,0.9505591524426099,-0.72277607361963,-0.17455589830869,-0.11059460905625,-0.26059021763094,-0.066319444444444,-0.23636363636364002,0.34375,0.042,0.043003875968992,0.026315789473683997,-0.15299666828885,-0.037037037037037
2003-12-31,,0.0046948356807512,0.16724788611284,9.2467685076381,-3.1244323342416,-3.0634367743297006,-4.6956198960653,-3.8807817589577,-0.099375412583151,-0.11721162219935,-1.5298732649366,6.7427385892116,0.14145189003435998,-0.066854671930814,0.44430719427525,0.08330234287839301,-0.09357142857142899,-0.31069767441859997,0.038078431015819,0.029627083372043,0.10256410256410001,0.11323256430655,0.0096153846153846
2004-12-31,,0.0046728971962617,0.1091511827781,0.4230504587156,-0.66304281438954,-0.7237710368816801,-1.9686621132984998,-2.5117593848937,-0.15093594948128,-0.22371194116856002,0.014236902050113999,-0.15737763486960002,0.045873631129342,0.048112181166136,-0.04824820101451,0.059732234809475,-0.022327291830837998,0.89811066126856,0.037224953337363996,0.056258853889395,0.023255813953488,-0.21141019533111,-0.2
