Date,ODA/BLR_LE_Value,ODA/BLR_LP_Value,ODA/BLR_PPPGDP_Value,ODA/BLR_BCA_NGDPD_Value,ODA/BLR_TX_RPCH_Value,ODA/BLR_TXG_RPCH_Value,ODA/BLR_TM_RPCH_Value,ODA/BLR_TMG_RPCH_Value,ODA/BLR_GGXWDG_NGDP_Value,ODA/BLR_GGXCNL_NGDP_Value,ODA/BLR_GGXONLB_NGDP_Value,ODA/BLR_GGR_NGDP_Value,ODA/BLR_GGX_NGDP_Value,ODA/BLR_NGSD_NGDP_Value,ODA/BLR_PPPEX_Value,ODA/BLR_PCPIPCH_Value,ODA/BLR_PCPIEPCH_Value,ODA/BLR_PCPI_Value,ODA/BLR_PCPIE_Value,ODA/BLR_PPPSH_Value,ODA/BLR_NID_NGDP_Value,ODA/BLR_LUR_Value
1992-12-31,,,,,,,,,,,,,,,,,,,,,,4.0
1993-12-31,,0.0022511500440442,-0.054006110180349,-3.2040816326531,,,,,,,,,,0.8073994445937499,9.5,,,,,-0.09433962264151,1.162142793156,1.8
1994-12-31,,-0.001171875,-0.098218564433795,-0.23030303030303,,0.32867088607595,-13.400864936793,-13.624482758621,,,,,-0.71599402092676,-0.26779341792228,18.571428571429,0.86580454265926,-0.018492687918174,22.333333333333,20.2,-0.14583333333332998,-0.26165617058889,0.5
1995-12-31,,-0.004986312084474,-0.09230378226011399,0.48118985126859004,-2.7155920060332,-2.7166674605821,-1.9358853985031,-2.0666466362569,,,,,2.3684210526316,-0.49425754191205,1.4136253041363,-0.6806258912502501,-0.87550977086335,7.114285714285701,2.4386792452829997,-0.13821138211382,-0.32739141820358003,0.37904761904762
1996-12-31,,-0.0034391274442369998,0.045461487552818,-0.7373006497342,-0.30166492664432,-0.2946889394528,0.0095164387880873,-0.28465340196154,,,,,-0.1375,-0.22008566074775,3.7086693548387,-0.9257179996531801,-0.8389147579151001,0.52816901408451,0.3923182441700999,-0.009433962264150999,-0.41491698879278993,0.38881215469613
1997-12-31,,-0.0048313942023269,0.13283989092326,0.71304103428893,0.8231174758045501,0.8231174758045501,0.12172406939436,0.5843565419724399,,,,,0.010869565217390999,0.08912533607917199,0.6878612716763001,0.21128150622532998,0.60581694190692,0.63824884792627,0.63054187192118,0.066666666666667,0.19463852844717,-0.3070611636002
1998-12-31,,-0.004755771326662,0.097167297111417,0.095652173913044,-1.3419507984463,-1.3419507984463,-1.2389763580216,-1.2868343161843,,,,,18.578853046595,0.011450181206996,0.74467275494673,0.14412409902852,1.8800133107262,0.7299578059071701,1.8181268882175,0.053571428571428006,0.031869181188828,-0.16074632221026003
1999-12-31,,-0.0025883524141364,0.048561186311190996,-0.76100628930818,-2.1320206992301003,-2.1320206992301003,-2.5018536172016,-1.4385978731783997,,-16.573770491803,1.8457446808511,-0.0090206185567011,-0.10160183066362,0.28431219816171,3.1098509632861,3.0227478156071,0.38210389053035,2.9378048780487998,2.5115780445969,0.0,0.015153267784847,-0.10218041898247
2000-12-31,,-0.0028945004491466,0.081321924973845,1.0350877192982,-0.40907570520682,-0.30131564276954,-0.017067494181536,2.7546695402298997,,-0.35157894736842,-0.13084112149533,0.035203418168308,0.07274579724910901,-0.036066634319908995,1.7914595531654998,-0.42600593055597996,-0.57206723036991,1.6859708888201002,1.0749786298693,0.0084745762711864,0.028866605894865,0.0057142857142857
2001-12-31,,-0.0033033033033033,0.07100775729514,-0.0012315270935961,0.16160377358491,-0.34971674778584994,-0.10475712133171002,-0.51621544054338,,-1.9886363636363997,-0.91541218637993,3.0327501121579,3.3265267356823998,-0.075713087248322,0.75551316823401,-0.63741021702125,-0.57094748592958,0.61132249509973,0.46121704331450003,0.025210084033613,-0.066782339043119,0.068655303030303
2002-12-31,,-0.0057246158481471,0.066574180122921,-0.29500616522811,-0.37025907577357003,0.073006134969325,-0.18746493548129,0.35742535099862,,0.24302134646961998,-2.7627118644068,-0.0095005006118589,-0.0061245993765642,-0.062536873156342,0.42704501727268,-0.30368213567140995,-0.24563647796014998,0.42568872987478,0.34793990897740995,0.016393442622950997,-0.092369160172475,0.17501107665042
2003-12-31,,-0.0069696969696971,0.09106446050999699,0.045474420638391,0.09001805519731801,0.23499142367067002,0.32609982245019,-0.0093961686940054,,-4.237780713342101,-15.230769230769,0.031807358821151,-0.039558255107675,0.11105194365106,0.28213897250398,-0.332879158053,-0.27072315474822,0.2839791206585,0.25373491095972,0.032258064516129,0.10451534170153,0.18212669683257998
2004-12-31,,-0.0069168955345336,0.14501171349755,1.1568381430363999,0.6186701372456199,0.40740740740741,0.40694733710204994,0.57352941176471,,-0.36760505915953,-0.31182432432432,0.0017851700265599,0.022583019041487,0.17110365561413002,0.19404657622892,-0.36284245369392,-0.43089110471760994,0.18093451124489002,0.14438751191611,0.0546875,0.26406755583616,-0.19553429027113
2005-12-31,,-0.006760217146369,0.12926150121065,-1.2796199340702,-1.2317813025364,-1.0789473684211,-1.0487972508591,-0.96728971962617,-0.12007130872483,0.23548387096774,0.11291114383897999,0.029511474269819,0.022331669140467,0.040144355978868,0.15257987125428,-0.42876091522052007,-0.45013850415512,0.10336305057816,0.079406895259119,0.044444444444444,-0.17225447961541002,-0.32434575733545
2006-12-31,,-0.0069093534082704,0.13363422923121002,-3.7177531206657006,-3.5641753390098,-7.9166666666667,-24.449620801732998,30.0,0.32213085448695,-0.37023498694517004,-0.30436700485223,0.03580022797315,0.052904815328097994,0.057731516257109,0.07462487581873599,-0.32352941176471,-0.16624685138539003,0.06992000000000001,0.066204914000174,0.042553191489362,0.26301101221904,-0.16901408450704
