Date,ODA/VNM_LE_Value,ODA/VNM_LP_Value,ODA/VNM_PPPGDP_Value,ODA/VNM_BCA_NGDPD_Value,ODA/VNM_TX_RPCH_Value,ODA/VNM_TXG_RPCH_Value,ODA/VNM_TM_RPCH_Value,ODA/VNM_TMG_RPCH_Value,ODA/VNM_GGXWDG_NGDP_Value,ODA/VNM_GGXWDN_NGDP_Value,ODA/VNM_GGXCNL_NGDP_Value,ODA/VNM_GGXONLB_NGDP_Value,ODA/VNM_GGR_NGDP_Value,ODA/VNM_GGX_NGDP_Value,ODA/VNM_NGSD_NGDP_Value,ODA/VNM_PPPEX_Value,ODA/VNM_PCPIPCH_Value,ODA/VNM_PCPIEPCH_Value,ODA/VNM_PCPI_Value,ODA/VNM_PCPIE_Value,ODA/VNM_PPPSH_Value,ODA/VNM_NID_NGDP_Value,ODA/VNM_LUR_Value
1991-12-31,,0.018555826529529997,0.093297894351514,-0.56371814092954,0.95716634694437,0.0010736855021782,-1.8265936782624,-0.7097225528159801,,,,,,,0.27946713003185997,0.6722780817855899,1.2707390857871999,0.020165124598131,0.81819611131492,0.67588471360817,0.033755274261603,6.2956669498726,-0.15689137665288
1992-12-31,,0.017964962374706,0.11178722722838999,-0.9553264604810999,-0.50968256857611,0.57398951981123,1.0644093142491,-0.9,,,,,,,0.32503395201449,0.29608823479366997,-0.53915445445323,-0.73952862152125,0.37702130112703003,0.17604928596308,-0.020408163265306,0.30662629556306,0.058404695468103
1993-12-31,,0.017457998539080002,0.10649190802911998,134.67948717949,-0.44015763771882,-0.55542792617397,2.371138821338,11.9236,,,,,,,-0.22150096799909,0.14680996015991,-0.77777483092428,-0.70008520306731,0.083792100140247,0.052810839827481,0.058333333333333,1.2388591800356998,-0.036363636363636
1994-12-31,,0.016943068418408,0.11149636116205999,0.08438061041292601,0.96618037135279,0.17867308955551003,-0.28739601559382,-0.43735491658671,,,,,,,0.7490491515506099,0.14520575841597,0.13175796634443,1.7515151515151999,0.09485089616810902,0.14528096209297,0.05511811023622099,0.014171974522293001,-0.028301886792453
1995-12-31,,0.016533709848216997,0.11825140800835,0.10953293830603,-0.42329744454534,-0.49942411294817,-0.29186499816925,-0.12965866270594,,,,,,,0.053276460502655006,0.14649123591557,0.78487820310028,1.0556167400881,0.16924515320973002,0.29863829656581,0.055970149253731,0.06547338671691,-0.43495145631068
1996-12-31,,0.016125895883105,0.11335377115980999,-0.35749626953585,0.28930676143776,1.6849254063683001,-0.37906806983393,-0.38245425528553,,,,,,,-0.23313614166038,0.067485310077253,-0.66956162117452,-0.69166889900884,0.055928546642325994,0.09207726498959698,0.053003533568905,0.035330091364574,0.010309278350514999
1997-12-31,,0.015719616714736998,0.10003420557551,-0.30546387972131,-0.45512909979065,-0.32459777740919,-0.98187607151604,-1.171178547669,,,,,,,0.13730261454828,0.048033770655295,-0.44662971571607,-1.0180278019114,0.030948162542150003,-0.0016561847133069,0.036912751677852004,0.0070099277657189,0.022108843537415
1998-12-31,,0.015462876983326001,0.069131982773364,-0.11246040126716,-1.1773821721311002,-1.1656024885396001,-0.36216216216215996,-1.2576980568012,,,,,,,0.11403468839623,0.07668846030795501,1.6203554119548003,76.379518072289,0.081104304681653,-0.12845339810036,0.032362459546926,0.026501766784452003,0.13976705490849
1999-12-31,,0.015121395250212001,0.06376744152227501,-1.8132064247472,-3.8638989169675,-4.654720711814099,-31.669491525424,-7.3549883990719005,,,11.555555555556,-3.262443438914,-0.028994112117164,0.04277917096917,0.27795031055901004,0.041412379789927,-0.49346485819975006,-0.97609964966913,0.041086583083352994,-0.0030604247272365,0.012539184952978,-0.048881239242685,-0.016058394160584
2000-12-31,,0.013551444573546999,0.09217298583058199,-0.33528407705438,-1.7525526282616999,-1.1255156556435,-0.096435479414203,-1.5980284775465,,,0.28824273072060996,0.243,0.04703184713375799,0.06502569906163,0.046268465818250996,0.011083167654036002,-1.4303797468353998,1.0586319218241,-0.01768233367401,-0.0063268234853685,0.018575851393189,0.07166123778501599,-0.047477744807122
2001-12-31,,0.013537708507761,0.093306046837645,0.037784299339692004,-2.0512562814070003,-4.3820043103448,-1.8478593272171,0.65537240537241,,,0.36604514229637,0.48994368463395,0.050467198754137,0.07894270787213299,0.0037896152318084,-0.0032337274370811,-0.82466063348416,-2.4636075949367,-0.0030962080852397,0.009242979856331998,0.042553191489362,0.052786220871327005,-0.021806853582554
2002-12-31,,0.013229799456066003,0.08724348149632201,-1.6313184870978998,0.51832377310389,0.6742074239286301,2.5819657348962997,3.106767471879,0.090126095981659,0.09760365701224999,-0.15409482758621,-0.26565874730022,0.052490155200370994,0.028889162460502996,-0.05233673314050799,0.023845621956731,-14.158064516129,3.452972972973,0.040778090735338,0.041187596436214995,0.040816326530612,0.065697879575273,-0.042993630573247996
2003-12-31,,0.01470016431071,0.094816148597422,1.7329227323628,-0.051736803442123995,-0.014558949471881001,0.043097371865875006,0.06851959947914299,0.07662138350480299,0.07740613001887202,0.37961783439490004,0.6220588235294101,0.09754379786953099,0.12403780959597999,-0.029332390927198998,0.045830702532765,-0.19024270654571998,-0.25151735858218,0.033030892462336,0.030833950809092004,0.030812324929972,0.066945606694561,-0.038269550748752
