Date,ODA/TUR_LE_Value,ODA/TUR_LP_Value,ODA/TUR_PPPGDP_Value,ODA/TUR_BCA_NGDPD_Value,ODA/TUR_TX_RPCH_Value,ODA/TUR_TXG_RPCH_Value,ODA/TUR_TM_RPCH_Value,ODA/TUR_TMG_RPCH_Value,ODA/TUR_GGXWDG_NGDP_Value,ODA/TUR_GGXWDN_NGDP_Value,ODA/TUR_GGXCNL_NGDP_Value,ODA/TUR_GGXONLB_NGDP_Value,ODA/TUR_GGR_NGDP_Value,ODA/TUR_GGSB_NPGDP_Value,ODA/TUR_GGX_NGDP_Value,ODA/TUR_PPPEX_Value,ODA/TUR_PCPIPCH_Value,ODA/TUR_PCPIEPCH_Value,ODA/TUR_PCPI_Value,ODA/TUR_PCPIE_Value,ODA/TUR_PPPSH_Value,ODA/TUR_NID_NGDP_Value,ODA/TUR_LUR_Value
1991-12-31,,0.020119765046913998,0.042853847969276,-0.97149460708783,-0.92180808594034,-3.6281494352737003,-1.0312760003024999,-1.1275591463238002,,,,,,,,1.0,0.09367176749506802,0.17719486967314999,0.66129032258065,0.7058823529411801,-0.012802275960171002,-0.052373504670922,0.025006251562891
1992-12-31,,0.019741638780356004,0.084006470344682,11.324324324324,1.0185657925273002,-0.080661157024793,-5.0918984280532005,-2.6942111237230004,,,,,,,,0.5,0.06224324283353799,-0.072611482876905,0.6990291262135899,0.66283524904215,-0.047550432276657006,0.027477919528950002,0.035130519638936
1993-12-31,,0.016646195024474,0.10612620606049002,6.0241228070175,-0.11692343067372,0.76555195972672,3.6656323877068995,3.9514940372504004,,,,,,,,1.0,-0.05674082742283001,0.07744781481649901,0.66285714285714,0.70967741935484,0.059001512859303995,0.11305027350873,0.05255715295781299
1994-12-31,,0.016716256424128002,-0.034436387267802,-1.0886668748049,-0.65408149980471,0.17993890020367,-1.7114355385248998,-1.7475171163370002,,,,,,,,1.0,0.58161489931464,0.6278349935280501,1.0446735395189,1.1563342318058998,-0.082857142857143,-0.19003042358998,-0.042767577250335996
1995-12-31,,0.018995424071512,0.09425471184708802,-9.3556338028169,3.5649228453143,-0.29792008285147,-2.46957489428,-2.4839083372552,,,,,,,,0.75,-0.14323703845417998,-0.3409680207433,0.8957983193277299,0.7625,0.033489096573209,0.13059809303669,-0.10783625730994001
1996-12-31,,0.018797973996136003,0.089599048369155,-0.5798567214496401,2.2781762717453997,5.4304855562385,-0.33758405524928997,-0.41310075628202,,0.07560585276634599,,,,,,0.76190476190476,-0.10416899269812,0.05104262295082,0.8023049645390101,0.8014184397163101,0.030143180105501,-0.06491183235369301,-0.13214472994232002
1997-12-31,,0.018570720789982,0.09368869546749302,0.035105315947844,-0.43273559518121,-0.85573099862364,-0.0039325072019753,-0.19877790248160998,,-0.05894105894105901,,,,,,0.78378378378378,0.067513335659804,0.23550697511916,0.85636989670438,0.99015748031496,0.03218727139722,0.01607907442835,0.029909365558912004
1998-12-31,,0.04770211338477,0.042110122373334,-1.7732558139535002,-0.52777654622035,-0.8982377103484801,-0.67470045448285,-0.88083009079118,,0.011225549984188999,,,,,,0.74242424242424,-0.010881113329364001,-0.29673992082088,0.84724430312666,0.69634025717112,0.0063784549964563,-0.0086519926480476,-0.12745673217952
1999-12-31,,0.014408299180328,-0.01886471704559,-1.4636591478696999,-2.2290864707539,-3.8125,-2.7090036692069,-7.312581628210701,,0.39621630073037994,,,,,,0.5130434782608699,-0.23431026545956998,-0.011905103828589,0.6487126156494301,0.6880466472303199,-0.066901408450704,-0.13520846522565,0.11632207093628999
2000-12-31,,0.014014266776087,0.09203879807275801,9.054054054054099,-1.9912917271408002,-4.843055555555599,-2.7650701899257006,-3.114,,-0.07955527115661501,,,,,,0.45977011494253,-0.15161091413595998,-0.43320979579971997,0.55037410823038,0.38998272884283,0.018867924528301997,0.085912988914453,-0.1532901671435
2001-12-31,,0.013711635435473,-0.035482340449227004,-1.5155913978495,-0.69353471526547,1.6625707746055,-2.1546198830409,-1.8085994845528999,0.51153003238882,0.32045466395537,,,,,,0.49606299212598,-0.014336331425456001,0.7562182676034699,0.54245230078563,0.68489065606362,-0.079259259259259,-0.27365531853421,0.28650186733060995
2002-12-31,,0.013434050327791,0.077936107987213,-1.1402502606882,1.0600955494091,-0.28020088679757,-1.7004457050242998,-1.8234083756959998,-0.050502976801478,-0.071076011846002,,,,,,0.35263157894736996,-0.16797551893227,-0.5662807166114301,0.45134884397795,0.29705014749263,0.031375703942076,0.16772739326439,0.2430190765828
