Date,ODA/TCD_LE_Value,ODA/TCD_LP_Value,ODA/TCD_PPPGDP_Value,ODA/TCD_BCA_NGDPD_Value,ODA/TCD_TX_RPCH_Value,ODA/TCD_TXG_RPCH_Value,ODA/TCD_TM_RPCH_Value,ODA/TCD_TMG_RPCH_Value,ODA/TCD_GGXWDG_NGDP_Value,ODA/TCD_GGXCNL_NGDP_Value,ODA/TCD_GGXONLB_NGDP_Value,ODA/TCD_GGR_NGDP_Value,ODA/TCD_GGX_NGDP_Value,ODA/TCD_NGSD_NGDP_Value,ODA/TCD_PPPEX_Value,ODA/TCD_PCPIPCH_Value,ODA/TCD_PCPIEPCH_Value,ODA/TCD_PCPI_Value,ODA/TCD_PCPIE_Value,ODA/TCD_PPPSH_Value,ODA/TCD_NID_NGDP_Value
1991-12-31,,0.024079320113314,0.14062853267013,0.45076060848679,-0.050018057060311,-0.90760471736478,-0.16359196961476002,-0.4346385077848,,,,,,3.4489795918367006,-0.10005071039028998,7.4,-0.38470553765015997,0.041992706157278,0.020993780452208004,0.058823529411765,-0.034186636133148
1992-12-31,,0.023858921161826002,0.047373637264618,0.25386313465784,-1.3630488500285,-3.606514084507,4.1089847551087,-1.2866621222449,,,,,,-1.3610747051113998,-0.066085392014393,-1.9047619047619,-4.2380952380952,-0.038006728057358,-0.067997888810697,-0.055555555555555004,-0.14573630281988
1993-12-31,,0.023978385680512995,0.0024602573807721,0.5574383802816899,-0.37120418848168,2.323201621074,-1.6414195924068,1.100982878884,,,,,,16.896551724138,-0.067490896773647,1.8615789473684,-5.6176470588235,-0.10874057328553001,0.31401604530439,-0.058823529411765,-0.56423473433783
1994-12-31,,0.024076517150396,0.077402303190485,-0.60053695068532,18.931723563697,5.1339430894309,-0.39849549638721005,2.8066852788048,,,,,,-1.9862082953046998,0.47434616781692995,-4.795475446018,-0.51305732484076,0.41272986683576,0.15290547335153,0.0,3.7738853503185
1995-12-31,,0.06215780998389701,0.012966532328719001,2.6834099752387996,-6.2444648675746,,4.3855520816192,-1.0,,,,,,-0.48226221079692,0.08770903267531,-0.8700329521225,-0.34597776324395,0.053638556920833004,0.09999532732115302,0.0,-0.31125512246259
1996-12-31,,0.025015160703457003,0.039785504238021005,0.0373571497167,-1.145903363018,-0.9547533052785,-1.3696528966023,,,-0.08415597235932902,0.12630249447427,-0.0049575665910427,-0.025073653858207996,1.1324726911618999,0.095670885359155,1.1124161073826002,0.05,0.11330475531178,0.10499412372739998,-0.0625,0.11367095613671001
1997-12-31,,0.025292116550806,0.07469638995175501,0.030272171820032997,-1.6330185073974999,-11.549249359209002,-1.9802446685403001,-2.8135783298827004,,-0.098356238210725,-0.29520605550883,0.032595845296403005,0.0013502218221564,-0.20722734469591,0.020356349165332,-0.50825169887918,-0.94095238095238,0.05572362992813299,0.0062021066659834,0.066666666666667,0.067403864074051
1998-12-31,,0.025389497980381,0.081114551083591,-0.3002066672657,-0.28037947391117,-0.8841721624436,-0.76633780251286,-0.22356466726918,,-0.32904961147639,-0.3933969769292,-0.10721295387635,-0.15493771670733,-0.33329417293233005,0.056032872618603,-0.23564249820531,4.6451612903226,0.042588376544677994,0.034996561473217995,0.0,-0.052787801187289006
1999-12-31,,0.025604952166573,0.0083046964490263,0.25115562403698,-0.7453259827420899,-10.209469583458,1.9267412486467002,-0.91711082521595,,1.3514476614699,1.9324590163934,0.04799853439589599,0.27034419876909,-0.12352422907489,-0.08965604072113302,-2.9833294200517004,-0.05714285714285701,-0.084478581594186,0.033001107419712,0.0,0.09099846390169
2000-12-31,,0.025788751714677996,0.013774495881852,0.39511494252874,1.5383529411765,-1.1775348171287001,-0.61652281134402,1.1167775314116999,0.11240929981985999,0.15040727410494,0.15161001788908998,0.060746438248405,0.08906035049943199,-0.10353839967832999,0.029472006533236,-1.4525867171776998,2.9533333333333,0.038233793357144996,0.13046740994854,-0.0625,0.24769092137869
2001-12-31,,0.025006686279753994,0.1420366998179,1.1891275562748,-1.7547274749722002,-2.4092741935484,24.816077170418,40.825768156425,-0.15155275743084,-0.24501893627532,-0.23553398058251998,-0.096489782465392,-0.14597978910369,-1.3002915451895,0.11261947106464999,2.2516348417472996,-0.9461904031887199,0.12430708742414,0.0070175438596491,0.066666666666667,0.73774487677169
2002-12-31,,0.025048923679061003,0.10155770881883999,1.8262038374945,-4.1567182510439995,-2.3030303030302997,1.0371288361897,0.66875088697627,-0.032446220256145,0.15419847328244002,0.15138430276860998,0.14792521659827,0.14977491961415001,34.345780433159,0.0036683954507297,-0.58233448636473,16.88603988604,0.05191676239465701,0.12556110117086,0.0625,0.68455504182035
2003-12-31,,0.094565355733741,0.17013695579557,-0.47926996016884,7.7495136565248,14.852679908174,-1.1953141718178002,-1.2558154658876,-0.17834559297973998,0.057823129251700994,0.11846459298478,0.09199968221180599,0.08188377426030499,-0.7295892494929,-0.018979582483557998,-1.3376348228043,-1.9448869066582,-0.017520971046426,-0.11862862667447999,0.11764705882353,-0.14286375131068
2004-12-31,,0.025,0.37301360738415,-0.65416933053247,1.4162575595873002,0.8973354824086401,-2.5907340741900002,-1.1741596104582,-0.26870694877606,-0.5735977134691,-0.60512820512821,-0.24532557293561,-0.34032983508246006,0.43874042819190995,0.068154610699415,1.7398745008557002,-1.7770566419420002,-0.04803124047096799,0.09218436873747501,0.26315789473684,-0.5338298523035999
