Date,ODA/SYR_LE_Value,ODA/SYR_LP_Value,ODA/SYR_PPPGDP_Value,ODA/SYR_BCA_NGDPD_Value,ODA/SYR_TX_RPCH_Value,ODA/SYR_TXG_RPCH_Value,ODA/SYR_TM_RPCH_Value,ODA/SYR_TMG_RPCH_Value,ODA/SYR_GGXWDG_NGDP_Value,ODA/SYR_GGXWDN_NGDP_Value,ODA/SYR_GGXCNL_NGDP_Value,ODA/SYR_GGR_NGDP_Value,ODA/SYR_GGX_NGDP_Value,ODA/SYR_NGSD_NGDP_Value,ODA/SYR_PPPEX_Value,ODA/SYR_PCPIPCH_Value,ODA/SYR_PCPIEPCH_Value,ODA/SYR_PCPI_Value,ODA/SYR_PCPIE_Value,ODA/SYR_PPPSH_Value,ODA/SYR_NID_NGDP_Value,ODA/SYR_LUR_Value
1991-12-31,,0.029950475591542004,0.14411586541109,-0.068829615032726,-1.6477413540611001,-1.7485432810716999,0.8811869147513101,0.78281832127986,-0.03863889079190799,-0.058177579531094,0.67354740061162,0.13796220213639998,0.21231955844891,-0.13100734863757998,0.014889009204114999,-0.189991899919,,0.089992900309962,0.095726696014596,0.08029197080292,-0.18440616500453,
1992-12-31,,0.029155854068081,0.15828359645745002,-0.6909530647721299,-0.9224347826086999,-0.11026402375411,0.021332988557761,0.16976029502151002,-0.048260929148964994,-0.07175811046778799,0.10522308512258001,-0.028702433388692,-0.0030059827812637,-0.1378110383536,0.029874633235529,0.23333333333332998,-0.13999164229001002,0.11099990468019999,0.08232256881855099,0.02027027027027,0.40455017044611996,
1993-12-31,,0.028255710471669998,0.099628082860645,-1.4294448520421001,-30.154708520179,-1.9588707495265,0.77985948477752,0.32550441361917,-0.0096877681847243,-0.018263664745913,-0.31620281069165,-0.091439616399658,-0.13918974298929002,0.051037236351011,0.012432012432012,0.18918918918919,1.1075072886297,0.13201206869432,0.17347673286192,0.052980132450330994,0.3703899118873,
1994-12-31,,0.027118644067796998,0.07780968936588299,2.2129840546697004,-0.7061447358301899,-1.0745931709152,-0.16842105263157997,0.19181828992746,-0.052099872629245994,-0.079812553786575,0.20874471086037,-0.0074458945301314,0.029006699085252,0.0040878685275415,0.13481708876950999,0.16121212121212,-0.19009741195458,0.15327480578538,0.14051863077626,0.025157232704403,0.15346706194895002,
1995-12-31,,0.025911101748473,0.076207005364468,-1.2220843672457,-1.2693012300445,-5.3392181588903,-1.8194491960315,-1.7003924698996002,-0.063436842331315,-0.09474299492200401,-0.36522753792299,0.06957668686369099,-0.016622604097819,0.17152609285685,0.048354373309288,-0.49621607515658,-0.33520745854388,0.077218808530214,0.09341418402320098,0.012269938650306999,-0.090924263159652,
1996-12-31,,0.024845995893223997,0.048461450748505,-1.1859537110934,-0.04178814382896,-0.01162452775356,-1.5427930278676998,-1.6381422737202,-0.073131903407974,-0.11755637701981,-0.2578781512605,-0.041658638097807,-0.069328225291528,-0.17958438640831,0.15406945489732002,0.14892514892515,-0.47296863290867996,0.08871467935617,0.049236615452870995,-0.0060606060606061,-0.13328437672113003,
1997-12-31,,0.024110064783276004,0.0060282145298613,-11.656652360515,-0.36713995943204997,-0.36401058512202,-2.1384482261321,-2.2510790296175,0.043426939687162006,0.021164698672862,-0.36978060863411,0.093453434132218,0.046183288799017994,-0.0015830908779736,0.072666294019005,-0.78708295761948,-0.67397928092626,0.018893475540281,0.016049564290178998,-0.048780487804878,-0.11662783308621001,
1998-12-31,,0.023998956567106006,0.06699406968124501,-0.6770036246475999,0.9823717948718,-5.755432269995401,-1.0653661008361,-0.8997144896502499,0.024399991871185,0.032602756903455,0.57888826501965,-0.04324801412180101,-0.0050391744037551,-0.084893936147418,-0.0063401076949799,-1.5044997353097,-2.396261682243,-0.0095328010852727,-0.022409394394485,0.025641025641026004,-0.014435066180701998,-0.25988902810095
1999-12-31,,0.024773914151064,-0.01638442611087,1.2506234413965,-4.4518997574778,-2.0963445459848002,13.772609819121001,-7.5599051008304,-0.023322863283187,-0.06632144127265,-0.47581792318634003,0.020679581795818,-0.027751760502307005,-0.036714432893135,0.053491827637444,2.8824763903463,0.65104863900045,-0.037008245648129996,-0.037008245648129996,-0.0625,-0.086905746678994,0.085207577589682
2000-12-31,,0.026101547448884,0.046219723947144,1.8903047091413,0.03583138173302101,-0.11625432295823,-0.97900997026412,-1.1534358047016,0.029763436200896,0.04839234120827599,-0.076662143826323,-0.020637192136778,-0.023548720876297998,0.054788526981039996,0.10520202439227,0.054054054054054,0.054054054054054,-0.038997482173403,-0.038997482173403,-0.026666666666667005,-0.12171596056488,0.0015599465161195
2001-12-31,,0.027254557567682,0.06043685565197799,-0.24132643281579,2.9717386389328997,0.9796307445314101,82.258333333333,-16.429581614614,-0.049995397583074,-0.062773593265396,-2.6936076414401002,0.16488502653234,0.022728103189973,0.082822510024427,0.0057803468208092,-1.8720512820513,-3.1674358974359,0.034010000000000006,0.08453,0.013698630136986,0.1853649657181,-0.39397760142402
2002-12-31,,0.028123341784093,0.075216191840416,0.24355735219807997,-0.12984573347754,-0.050179938162096,-0.70773696326694,-0.78586159486709,-0.083486746487646,-0.09521018096552802,-1.8776572668112999,-0.12685680332739,0.017328236092751,-0.0041287137141398,0.02940737423496,-1.1523081446633001,-1.0609251153436998,-0.0051740311989245,-0.0051450858897403,0.033783783783784,-0.054309991809992006,0.42846652796475
