Date,ODA/ZMB_LE_Value,ODA/ZMB_LP_Value,ODA/ZMB_PPPGDP_Value,ODA/ZMB_BCA_NGDPD_Value,ODA/ZMB_TX_RPCH_Value,ODA/ZMB_TXG_RPCH_Value,ODA/ZMB_TM_RPCH_Value,ODA/ZMB_TMG_RPCH_Value,ODA/ZMB_GGXWDG_NGDP_Value,ODA/ZMB_GGXWDN_NGDP_Value,ODA/ZMB_GGXCNL_NGDP_Value,ODA/ZMB_GGXONLB_NGDP_Value,ODA/ZMB_GGR_NGDP_Value,ODA/ZMB_GGX_NGDP_Value,ODA/ZMB_NGSD_NGDP_Value,ODA/ZMB_PPPEX_Value,ODA/ZMB_PCPIPCH_Value,ODA/ZMB_PCPIEPCH_Value,ODA/ZMB_PCPI_Value,ODA/ZMB_PCPIE_Value,ODA/ZMB_PPPSH_Value,ODA/ZMB_NID_NGDP_Value
1991-12-31,,0.030521351847,0.026455747988544998,-1.1058508262617,,,,,,,,,,,-0.23770861524582998,0.77777777777778,-0.10822577995216999,0.037944754603783,0.97391304347826,0.9939577039274899,-0.018181818181818,-0.38759163725223994
1992-12-31,,0.029871615609507997,0.043775740666931996,-14.582278481013,,,,,,,,,,,-0.26291913214990004,1.5,0.6962467119067399,0.81347904185608,1.6585903083700002,1.8075757575758,-0.092592592592593,0.13001551762358998
1993-12-31,,0.029005183905209002,0.022974607013301,-0.24324324324324,,,,,,,,,,,0.48340915172598,1.575,0.10582591642782001,-0.29112137896688,1.8318144159072,1.2811656772801001,-0.020408163265306,0.25139774399215
1994-12-31,,0.030466594698332995,-0.11440836132885,-1.5201149425287,,,,,,,,,,,0.14386218093262,0.6990291262135899,-0.70199112750528,-0.70059716638695,0.5462258630778201,0.38348710669506,-0.14583333333332998,-0.5810471860793199
1995-12-31,,0.039925503433826004,-0.0079381805409202,-3.9715864246251,,,,,,,,,,,-0.36847500394259997,0.35428571428571,-0.36087816310836,0.19880067787772,0.34891201513718,0.45981532147743004,-0.073170731707317,1.8121608980355
1996-12-31,,0.037273337810611,0.08901005523297001,-0.10996015936255,,,,,,,,,,,0.23673367461605999,0.20675105485231998,0.23463687150838,-0.23423227490213,0.43105624912330004,0.3521143258756,0.026315789473683997,-0.23318475151354
1997-12-31,,0.035070680910759,0.050653488523311,0.64159952253059,,,,,,,,,,,-0.31771832407875,0.23776223776223998,-0.43357698108829,-0.47228060210168,0.24406979023720998,0.18582690808281999,0.0,0.12085719243450001
1998-12-31,,0.032631359466222,-0.0079217724965961,1.7287765860753,,,,,,,,,,,-1.0389168393016,0.18079096045198,0.0018844735764031,0.64506754211291,0.24456350456981,0.30559614260665996,-0.05128205128205099,0.12052016409939001
1999-12-31,,0.0098939929328623,0.037866500311915,-0.17973486110186,,,,,,,,,,,-6.901140684410599,0.19617224880383,0.095436702649657,-0.32499100336965003,0.26791592808306003,0.20636785854176998,0.0,0.06707654048079599
2000-12-31,,0.0097970608817356,0.05932559956723,0.34613822788922,,,,,,,,,,,0.25322164948454,0.272,-0.025755879059349996,0.45882809092231,0.26098462152985996,0.30098798645577,-0.027027027027027,0.20910209102090999
2001-12-31,,0.025839025839026003,0.077167498865184,0.029803921568627004,-5.236122349894799,-5.236122349894799,12.619483101392,12.619483101392,-0.31522317099872,-0.31522317099872,-5.588785046729,-1.8466882816119001,-0.11638707611002,0.18017979994091,0.41182519280206004,0.2248427672956,-0.18172413793102998,-0.37946843853821,0.21358146901604,0.18678693667998,0.027777777777778,0.053327622209134
2002-12-31,,0.025381200540435998,0.06110408765276,-0.2962680883473,-0.5099522445081199,-0.5099522445081199,-1.1303243511517,-1.1303243511517,-0.0071255652491665,-0.0071255652491665,-0.23642226748133,-0.7478118161925601,0.045400996828274,-0.013983262999785,2.3273852876912002,0.17586649550706,0.041297935103245004,0.42702644822785996,0.22238898495873,0.26653047736354,0.027027027027027,0.12662024093936
2003-12-31,,0.025411764705882002,0.09074662430500399,0.055527805527806,-1.250019490138,-1.250019490138,-1.8017473118279999,-1.8017473118279999,0.10047384643695001,0.10047384643695001,0.18115136697044,1.0596529284165,-0.046506588072122,-0.0093576584091982,0.33369815037759004,0.1528384279476,-0.037726516480058,-0.35615667442035,0.21401307887362,0.17161222989160002,0.026315789473683997,0.14058834145461
2004-12-31,,0.025699862322166,0.09976333515383198,-0.28369745248047995,-6.2853133769878,-6.2853133769878,4.8139145012573,4.8139145012573,-0.19476610509594,-0.19476610509594,-0.52803914188935,-1.2690889942075,-0.056138915405245994,-0.14791491231282,1.4839159691448998,0.16477272727273,-0.16032710280374,0.019870636909271,0.17967152562496,0.17502125764263,0.025641025641026004,0.46420094936709
2005-12-31,,0.026398210290828,0.10685317000497001,-0.1955516406078,-0.6287315634218299,-0.6287315634218299,-0.5176374471357199,-0.5176374471357199,-0.13207351261551,-0.32026788495483005,-0.054226475279107,-1.0919765166341,-0.03298979002119,-0.035319898594938,-0.21460900591364,0.13008130081301,0.019811898269241,-0.09433207633413301,0.18326344236324998,0.15851410258619,0.0,-0.16344725111441002
2006-12-31,,0.027201394943330005,0.11220369401032,-0.9505885573501199,0.0015890672175433,0.0015890672175433,0.50323801932848,0.50323801932848,0.49533437013996995,0.65004200717941,-8.1302698145025,-395.53191489362,0.8229991533442901,-0.1228898490045,0.5907962814958101,0.11151079136691,-0.50793997271487,-0.48022206800833,0.090174521169355,0.082392659022293,0.025,0.18517681253028
