Date,ODA/THA_LE_Value,ODA/THA_LP_Value,ODA/THA_PPPGDP_Value,ODA/THA_BCA_NGDPD_Value,ODA/THA_TX_RPCH_Value,ODA/THA_TXG_RPCH_Value,ODA/THA_TM_RPCH_Value,ODA/THA_TMG_RPCH_Value,ODA/THA_GGXWDG_NGDP_Value,ODA/THA_GGXCNL_NGDP_Value,ODA/THA_GGXONLB_NGDP_Value,ODA/THA_GGR_NGDP_Value,ODA/THA_GGSB_NPGDP_Value,ODA/THA_GGX_NGDP_Value,ODA/THA_NGSD_NGDP_Value,ODA/THA_PPPEX_Value,ODA/THA_PCPIPCH_Value,ODA/THA_PCPIEPCH_Value,ODA/THA_PCPI_Value,ODA/THA_PCPIE_Value,ODA/THA_PPPSH_Value,ODA/THA_NID_NGDP_Value,ODA/THA_LUR_Value
1991-12-31,,0.011686766246914,0.11710479057278,-0.07410021171489099,0.47869245250727005,0.36334838045458,-0.45317118486614005,-0.5710849934201601,,,,,,,0.079832964873496,0.024015369836695,-0.029756844074137,-0.2608491305029,0.057060001669030996,0.047183241814114006,0.056689342403627996,0.043096101872367,
1992-12-31,,0.01453626165271,0.10547568742728,-0.26829268292683,-0.2009837962963,-0.36526285216381,-0.30749034749035,-0.44752433347440007,,,,,,,-0.021866469517743,0.021680216802168,-0.27479845776376,-0.34145824501908006,0.041368148893757,0.031073994950476,-0.027896995708154997,-0.067155295161177,
1993-12-31,,0.0094654692069424,0.10826082590947,-0.09409722222222197,-0.07764177591077001,0.051066166376864994,0.31333630686887,0.9440827269245501,,,,,,,0.016890025872845,0.0088757396449704,-0.20275495408410002,0.40650144834245006,0.032996607471145,0.043699378414014,0.060706401766004,0.0011510359323391,
1994-12-31,,0.013010833790455,0.11306855280874999,0.070333461096205,0.11857086768748,0.542446669569,0.33715401596196004,0.5488573680062999,,,,,,,-0.0083476272155516,0.030134492870867002,0.53410124280085,0.069565217391304,0.05062013797152501,0.04674246525897901,0.057232049947970993,0.0060984753811547,
1995-12-31,,0.0061764954733903,0.11515629517151,0.44726947179946,0.08424008424008399,-0.24493367202934999,0.26789002476348,0.22983973543628,,,,,,,-0.017873616236161998,0.034259350152155,0.14957518277020002,0.6118955926401399,0.05817019716047,0.075344827586207,0.053149606299213,0.045709743131117,
1996-12-31,,0.011032626976118,0.07834204611524001,-0.00098973153532116,-1.3577209452897,-0.9526016746411501,-1.0302984775641,-0.94223808046334,,-0.10833603632825001,,0.014101748029183,-0.46650426309378995,0.035930561162696995,-0.0088939767523775,0.021545178435839,0.00017188037126166002,-0.35306610034509994,0.058190579925405,0.04874138207471499,0.019626168224299,-0.0066042666413265,
1997-12-31,,0.011644154634373998,0.0031743438327868,-0.7520743034055699,-2.3093212669682996,18.309148264984,17.674380165288998,-7.9713518352731,1.6627394194695,-1.6114950891233,,-0.036550625271595,-3.4117199391172,0.2044315777753,-0.026980601214275,0.0230419028152,-0.037807183364838994,0.53693065244153,0.055988771054272995,0.074912092952148,-0.053162236480293,-0.1949493017027,
1998-12-31,,0.010687976848198001,-0.095389662513524,-7.359640359640401,0.13934199612939002,-1.0692697271688,0.9160028323597099,2.0911776036985,0.23299962921765,2.743010113028,,-0.11651799138017001,0.5784159040706801,0.10575945271332002,0.013849150788336,0.080646626101172,0.42811216288623,-0.42277399546122,0.07995864717176202,0.04323709287441299,-0.12681510164569,-0.39261525665399,
1999-12-31,,0.0031887547587284,0.06046085746546401,-0.20405278039585,0.095729191943703,-15.218160377358,-1.4845475123573997,-1.5184662041461,0.13439987169463002,0.43308963763509006,,-0.0098701004027456,0.4438224710116,0.10659643842488001,-0.07961812122849701,-0.054794520547944994,-0.9642321160580299,-0.8612395929694701,0.0028581587440512,0.0059986366734835,0.0088691796008869,0.0025920672959359,
2000-12-31,,0.0035191852356394,0.071333288059296,-0.25113479376357,0.93644114715978,1.0100356639297,1.5853751549242,0.59447115384615,0.021931607316426998,-0.8012642785849,,0.0056717272987683,-0.86250346164497,-0.26919008763977,-0.0071761750986724,-0.0090690850893572,4.5909090909091,1.4166666666667,0.015995527252396998,0.014500609838731,-0.0010989010989011,0.1139512195122,
2001-12-31,,0.017081724009761004,0.04495885355942201,-0.4182369218605901,-1.2407936870997,-0.98654838044151,-1.2026698134081002,-1.1774963566008,-0.0052571507626328,-0.013392857142857002,-0.086229086229086,0.08556454369374498,-0.26082578046324,0.07639822185464701,-0.062818280382429,-0.0020637056976222,0.010631644777986,-0.5027586206896599,0.016159772367326,0.0072134651349186,-0.0011001100110011,0.055263618847434005,
