Date,ODA/BLZ_LE_Value,ODA/BLZ_LP_Value,ODA/BLZ_PPPGDP_Value,ODA/BLZ_BCA_NGDPD_Value,ODA/BLZ_TX_RPCH_Value,ODA/BLZ_TXG_RPCH_Value,ODA/BLZ_TM_RPCH_Value,ODA/BLZ_TMG_RPCH_Value,ODA/BLZ_GGXWDG_NGDP_Value,ODA/BLZ_GGXWDN_NGDP_Value,ODA/BLZ_GGXCNL_NGDP_Value,ODA/BLZ_GGXONLB_NGDP_Value,ODA/BLZ_GGR_NGDP_Value,ODA/BLZ_GGX_NGDP_Value,ODA/BLZ_NGSD_NGDP_Value,ODA/BLZ_PPPEX_Value,ODA/BLZ_PCPIPCH_Value,ODA/BLZ_PCPIEPCH_Value,ODA/BLZ_PCPI_Value,ODA/BLZ_PCPIE_Value,ODA/BLZ_PPPSH_Value,ODA/BLZ_NID_NGDP_Value,ODA/BLZ_LUR_Value
1991-12-31,,0.026455026455026,0.15210355987055,-2.55743424584,,,,,,,,,,,-0.13866053687614002,-0.063015753938485,0.57677356656949,-0.28832116788321005,0.032444167246384,0.031192529078793,0.5,0.023559375994906002,-0.066666666666667
1992-12-31,,0.025773195876288995,0.14606741573034,-0.048595554023781,,,,,,,,,,,0.010629636330740001,0.016813450760607997,-0.273343605547,-0.34743589743590003,0.023582987720582,0.020370584829184,0.0,-0.5630408928734799,-0.14285714285714002
1993-12-31,,0.030150753768843998,0.08823529411764698,0.5696431805832299,,,,,,,,,,,-0.025914156559101002,-0.0070866141732284,-0.3676844783715,0.12328094302554,0.014913345969196998,0.022869400401775004,0.0,0.15689640733607002,-0.16666666666667002
1994-12-31,,0.029268292682927004,0.022522522522522997,-0.20390030002308,-2.3182726909236,-3.3271872740419,-2.9228559704554997,-3.3692509855452997,,,,,,,-0.30895056055871994,0.014274385408405999,0.7230046948356801,-0.19457804984696,0.025686903816691004,0.018430162886689,0.0,-0.31546563393536,-0.1
1995-12-31,,0.028436018957346,0.027533039647577005,-0.59675315263082,0.52835911434638,-1.4596861892186002,-0.43822023047375,-0.6192457016084301,,,,,,,0.045744680851064,0.039093041438624,0.12495134293499001,1.1373507057546002,0.028903183602268,0.039363730457046,0.0,-0.084492148257812,0.33333333333333
1996-12-31,,0.023041474654377996,0.033226152197213,-0.62760603882099,-1.4723159357014999,-1.6451503886448002,-1.2144349477683,-0.26438455935907,,,,,,,-0.23416836215666,0.0015048908954101,1.2231833910035002,0.61391922783846,0.064246431636838,0.063544309105013,-0.33333333333333,-0.24267975743575,0.16666666666667002
1997-12-31,,0.03603603603603601,0.052904564315353,3.7094594594594996,5.7163865546218,10.816134101624,12.437555358725,-7.7036303630363,,,0.45794899620184004,-10.195652173913,-0.0031751336898396,0.029831639382419,-0.10128684101287,-0.031555221637866004,-0.8403112840466899,-1.0843563109852,0.010255491168329,-0.0053617189040015,0.0,0.090139556165637,-0.071428571428571
1998-12-31,,0.039130434782609,0.048275862068965995,0.7806927649108399,-1.0466061933061999,-1.1152635545507,-0.5814382703842901,-0.63765261914139,,,0.53740230740603,1.5732860520095,0.014417435037719998,0.067314574151505,-0.14780600461894,0.0038789759503492,-1.8255360623782,0.58955223880597,-0.0084660569265946,-0.0085120298069681,0.0,0.066037075900665,0.076923076923077
1999-12-31,,0.01673640167364,0.10526315789474001,0.14410681399632003,-29.114093959732,-15.024615384615,2.5900787401575,0.8736413043478299,,,0.8748487049140601,1.6417087735416,-0.06841844323252401,0.069139549657655,-0.028509485094851003,-0.0370942812983,0.42502951593861,0.22300469483567997,-0.012076934545996999,-0.010424058286777,0.5,0.24037010302512998,-0.071428571428571
2000-12-31,,0.028806584362139998,0.15561224489796,0.9535211267605601,-0.70188589162091,-0.8009269416410699,-0.10904943632934,0.6745467730239301,,,0.16655907036798,0.1584072335246,-0.012240553485897,0.033506090515961005,0.45949564829279,-0.016853932584270002,-1.5086992543496,-1.9548944337812,0.0061374383740819,0.009958187731028,0.0,0.7192889641307801,-0.11538461538462
2001-12-31,,0.027999999999999997,0.07358351729212699,0.12442064064269999,-0.14333760409994,-1.0588235294118,-0.9356013982571,-0.9626710549107901,,,0.057885998893193,-0.019063344341039,0.10479525862069,0.09122269068608699,-0.56788990825688,-0.024489795918367002,0.87133550488599,-0.09748743718592999,0.01149,0.00898,0.0,-0.15419410425257002,-0.21165217391304
2002-12-31,,0.031128404669261003,0.067854694996573,-0.18805532655491003,0.9826135726304001,-34.145199063232,2.8386850152905,3.8700696055684,0.06393930197268599,0.06393930197268599,-0.063507009834693,-0.22218821729151,-0.074494025847354,-0.07142020840650999,-0.19709837225761,0.001673640167364,0.91035683202785,2.6046770601336005,0.021957705958535998,0.032379234474419996,0.0,-0.1899443373231,0.10302228105008
2003-12-31,,0.033962264150943,0.11489088575096,0.049638989169675,0.36190476190476,-0.48498551543841995,-0.58892650866361,-0.6736541210100001,0.14498756304054997,0.14498756304054997,-0.043793989498379995,-0.28408420224277003,-0.014578667720546001,-0.022821838355819,-0.31335390039665,-0.04761904761904799,0.19407744874715,-0.27463700957677,0.026206829834575,0.023472375558009,0.0,-0.024342046169047,0.29
2004-12-31,,0.032846715328467,0.075417386298215,-0.21297291487532,-0.49636502111749997,-0.7590890382768599,-4.6821705426357,-8.4109489051095,-0.026158706115656002,-0.026158706115656002,0.031896249561865,-0.84556196757351,-0.024330466556749,-0.0088064516129032,0.31899871630295,-0.0061403508771929,0.17016405951927,0.29557069846678,0.030675251463532,0.030419285245287003,0.0,-0.13666912170871,-0.10077519379844999
