Date,ODA/GHA_LE_Value,ODA/GHA_LP_Value,ODA/GHA_PPPGDP_Value,ODA/GHA_BCA_NGDPD_Value,ODA/GHA_TX_RPCH_Value,ODA/GHA_TXG_RPCH_Value,ODA/GHA_TM_RPCH_Value,ODA/GHA_TMG_RPCH_Value,ODA/GHA_GGXWDG_NGDP_Value,ODA/GHA_GGXWDN_NGDP_Value,ODA/GHA_GGXCNL_NGDP_Value,ODA/GHA_GGXONLB_NGDP_Value,ODA/GHA_GGR_NGDP_Value,ODA/GHA_GGX_NGDP_Value,ODA/GHA_NGSD_NGDP_Value,ODA/GHA_PPPEX_Value,ODA/GHA_PCPIPCH_Value,ODA/GHA_PCPIEPCH_Value,ODA/GHA_PCPI_Value,ODA/GHA_PCPIE_Value,ODA/GHA_PPPSH_Value,ODA/GHA_NID_NGDP_Value
1991-12-31,,0.025583671186915003,0.085335921000057,0.026029055690072998,0.97382801265459,0.97382801265459,-0.59676788739737,-0.6790772375529301,-0.13380656055536,,-0.3195727482679,-0.47972972972973,0.071692711439819,-0.042630423771737,-0.26914968376669,0.3125,-0.51405708761849,-0.7141941953094498,0.18083538083538,0.10241238051889,0.03030303030303,-0.22015794269515002
1992-12-31,,0.025490730643402,0.064583990743663,0.37374631268437,-0.64777308271407,-0.64777308271407,0.28021978021978,0.10782529572338,0.20823104693141004,,1.9966058549002998,3.4476699770817,-0.17842831700801,0.27360902918614,-0.19583333333332997,0.14285714285714002,-0.44471459357905,0.29909365558912,0.10029130253849,0.13336085879438,-0.058823529411765,-0.072573839662447
1993-12-31,,0.025588196198325,0.071534433356388,0.710113807172,1.5391616105901997,1.5391616105901997,2.201969199697,4.4616016427105,0.66765268316003,,0.24762848647882998,0.11198900721402001,0.48665492480694006,0.36977291608972995,-0.30599840573934006,0.125,1.4820380137327,1.0747186796699,0.24962178517398,0.27650273224044,0.015625,0.044935955763980996
1994-12-31,,0.025533017950878,0.056754264638082,-0.34429934706178,-0.6344086021505401,-0.6344086021505401,-0.47559725616967996,-0.4101812166328301,0.54922688262591,,-0.031320926009986,-0.15554525795489998,0.20085664813632997,0.097498104624716,0.63359655419957,0.22222222222222002,-0.0027263250741721,0.23586201909170001,0.24878934624697,0.34189497716895,0.0,0.047558443298278005
1995-12-31,,0.025592417061611,0.062170062388202996,-0.27173496744542003,0.064913844325609,0.064913844325609,-0.15591640354834,-0.2981896991331,0.1003851180219,,-0.010895032802249,-0.052496798975672006,0.19731350079684,0.11536336004421001,0.019599226577606002,0.24242424242424,1.3846988823671,1.0719447614031998,0.59306834706738,0.7082092726499399,0.015384615384615,0.039452650425219
1996-12-31,,0.025508317929759997,0.06448697938059599,-0.12253484091507001,0.11507881154973,0.11507881154973,2.6430352689704,3.191280653951,-0.17581216433519,,0.20419282245647,0.21795366795367002,-0.21670786588071,-0.069945084437838,0.038617360572364,0.41463414634146006,-0.25001264393007,-0.6311196464125799,0.44485014453065996,0.26120517928287,0.0,-0.09541092519685
1997-12-31,,0.025594808940159,0.070265473066831,1.8285885525921002,-0.85238929196898,-0.85238929196898,-0.44665558380598,-0.50335890434707,-0.039288947831519996,,-0.03098259073473,-0.08400697416389301,-0.24380967794141,-0.14774694783574,-0.49356793094863,0.3448275862069,-0.44197181199002006,-0.15243272212227,0.24828893334736998,0.22142152023692,0.015151515151515,0.013940836450187
1998-12-31,,0.025541886350322004,0.062479720229297,-0.46795211357134997,17.075423728814002,17.075423728814002,0.079172925687019,0.07932629374291,-0.11806790729778,,-0.16818920016240002,-0.33794774182384,0.084216158373462,-0.04531958118456,0.4786955096689601,0.19230769230769001,-0.22626384692850002,-0.28855968565105,0.19207085617882996,0.15752040733856,0.014925373134328,-0.061167002012072
1999-12-31,,0.025534102593397005,0.062911435357991,0.48904818797292,-0.40015940737962,-0.40015940737962,-0.20109719151723998,-0.13931112548511998,0.30471230979938,,0.04222086638194,0.34239414532147994,-0.18436636399526,-0.08299230643313099,-1.3107613875651,0.16129032258065001,-0.35073927530196003,-0.12449212798374999,0.12475233512596,0.13789973467393,0.014705882352941001,-0.70410058579797
2000-12-31,,0.025566757644962003,0.065572723790065,-0.12276009628243,-1.0167265905893001,-1.0167265905893001,-1.7750333094189,-1.8829497416628,0.42285641776927,,-0.21824142372088,-0.68691588785047,0.6242739593417199,0.19600142806141,-6.1529957203994,0.11111111111111001,1.0137118114024999,1.939598288739,0.251085246933,0.40541203902559003,0.0,4.1446161274746
2001-12-31,,0.025581142733,0.06878782431541701,-0.2327743902439,23.556074766355,23.556074766355,-2.2048399894207997,-2.1268220023407,-0.17707911079403,,-0.22435225400629003,-0.47636815920397996,0.33338299932951,0.14810945273632,0.24008581908783,0.24166666666667003,0.31135268585991,-0.47488899851998,0.32932716483959007,0.21288857841425002,0.014492753623188,0.072363789947909
2002-12-31,,0.02557856272838,0.062594606716376,-0.84085038744288,-0.62835394862036,-0.62835394862036,-0.98287783997366,-1.0380511755264001,-0.14624054224464,-0.13860629945315,-0.15466306236725,0.70308788598575,-0.28857972957871997,-0.25852580491398003,-0.063511552628641,0.32885906040268,-0.5491922749908901,-0.28734498308906,0.14847739738982002,0.15169186465082998,0.014285714285713997,-0.25246159905475
2003-12-31,,0.025560260249922997,0.07207112142875999,-1.1610486891386,-0.16641065028162,-0.16641065028162,83.49358974359001,-23.126550868486,-0.044391876298177,-0.033007045916677996,-0.23503883051622,-1.6073919107391998,0.33644859813084005,0.19022850797732,0.20530393325387,0.20707070707071,0.7934797251785,0.55316063542285,0.26623847167325,0.23563793211227,0.014084507042254,0.17644303945673998
