Date,ODA/TKM_LE_Value,ODA/TKM_LP_Value,ODA/TKM_PPPGDP_Value,ODA/TKM_BCA_NGDPD_Value,ODA/TKM_TX_RPCH_Value,ODA/TKM_TXG_RPCH_Value,ODA/TKM_TM_RPCH_Value,ODA/TKM_TMG_RPCH_Value,ODA/TKM_GGXWDG_NGDP_Value,ODA/TKM_GGXCNL_NGDP_Value,ODA/TKM_GGR_NGDP_Value,ODA/TKM_GGX_NGDP_Value,ODA/TKM_PPPEX_Value,ODA/TKM_PCPIPCH_Value,ODA/TKM_PCPIEPCH_Value,ODA/TKM_PCPI_Value,ODA/TKM_PCPIE_Value,ODA/TKM_PPPSH_Value
1993-12-31,,0.010101010101010001,-0.07856901217862,,,,,,,,,,,,,23.0,,-0.10810810810811
1994-12-31,,0.025641025641026004,-0.15539238182653,,,,,,,,,,,-0.43646854048479,,17.791666666667,13.205128205128,-0.21212121212121
1995-12-31,,0.025,-0.052705933492719,,,,,,,,,,6.5,-0.42500657781845,-0.050005685459306,10.048780487805,12.612815884477,-0.11538461538462
1996-12-31,,0.024390243902439,-0.049902489388551,,,,,,,,,,11.466666666666999,-0.012804634816232,-0.6466583805241801,9.923138671483,4.4575349731486,-0.08695652173913
1997-12-31,,0.10904761904762,-0.09780246317314699,-289.33333333332996,,,,,,,,,0.58823529411765,-0.91563590487198,-0.95180547205197,0.83722212015433,0.21483065260703002,-0.14285714285714002
1998-12-31,,-0.037569772434521004,0.078559957173447,0.5100115606936401,,,,,0.27161809997631,-6.642105263157901,0.021123360424881,-0.029428206356812,0.16835016835017003,-0.79968228183751,-0.07713075455010901,0.16771,0.19826,0.055555555555556
1999-12-31,,0.018068257863038003,0.18277701948133,-0.54639554112819,-7.421568627451,-8.4922374429224,-0.11104008182574,0.26010471204188,-0.18313926408943,1.1576492537313001,-0.14460774656212,-0.20204056444646,0.21325648414985998,0.39914137499255004,0.015736911126803,0.23465586489795998,0.20137532755829002,0.10526315789474001
2000-12-31,,0.017309377738826,0.21286193873269,-1.5542128004321,0.68273355143584,0.23479400292539998,0.13051920034517,0.15302476317101998,-0.1730718059832,-1.2230869001297,0.086369708415864,0.24252423180037,0.073634204275535,-0.6573620285531601,-0.63392591121263,0.080403961934356,0.073716969073884,0.14285714285714002
2001-12-31,,0.016584105104458,0.23138136839374,-0.7986356438055799,-0.92116708430542,-0.92122603094692,0.21970612556453,-0.10817628193579,-0.38174588581409996,-2.3972868217054,-0.075050881953867,-0.12477178423237,0.1216814159292,0.44676616915423,0.59332609875203,0.11631699237307999,0.11746286424098,0.16666666666667002
2002-12-31,,0.015677966101694998,0.17540039336892002,3.0526315789473997,-0.27055169894045,-0.06954887218045099,-1.6300912646674999,-1.5209907471008999,-0.29075430313395,-0.76005547850208,-0.16471073622444,-0.14436068838003,0.067061143984221,-0.24750687757909,-0.33551847437426,0.087536375242981,0.078049373567078,0.10714285714286
2003-12-31,,0.015227367542761999,0.19434650092631,-0.6024779817883299,3.1753067868769995,1.8319865319865,-3.5920377420957,-3.3436482084691,-0.30024111542090004,20.473988439305998,0.26601174469019,0.07230718085106401,0.09981515711645099,-0.36170455843710997,-0.6080717488789201,0.05586902375953799,0.030595311618914,0.12903225806452
2004-12-31,,0.016026299568523,0.17843382536903002,-0.7825760420578299,-0.93803982725528,-1.0411366068244,-0.6555864227097099,-0.58966213309507,-0.32524344569288,-0.6301480484522199,-0.12177041789492,-0.024182297318245,0.053781512605042,0.053338106318239,1.9421379535796002,0.058852695474488,0.08999906202124001,0.11428571428571001
2005-12-31,,0.015975733063701,0.16678697295232,7.7962003454231,2.3126815101646,-9.8598265895954,-1.8397923233822,-1.8454032258065,-0.40286412078153,-0.41339155749636003,0.010661928031986,0.041514429441356,0.036682615629984,0.8195412064570899,0.15044444444444,0.10708119894617,0.10353630726719,0.076923076923077
2006-12-31,,0.015923566878981003,0.14374613341097,2.0755939524838,-0.58942139099942,-0.51867558310227,0.6843674100242901,0.97090527520748,-0.38018218999814,5.5161290322581,-0.013333333333333,-0.23992068737607003,0.089230769230769,-0.23823309675009002,-0.31446783851652,0.081573797947517,0.070978642290863,0.047619047619047006
2007-12-31,,0.016065830721003,0.14012536192688002,-0.0074055158324821,5.3985765124555005,2.1263978312436,-2.7808874614931,-2.8214026426600998,-0.2753449310138,-0.25609291698401,-0.14122364122364,-0.10086956521739,0.063559322033898,-0.23268358465122,0.21837137221753,0.06259110175349901,0.08647568503401899,0.045454545454545005
2008-12-31,,0.016004627844196,0.17001088382218,0.06425263699511201,-1.9283648498331,-1.9028831562974,0.88535571013213,-0.065954506802721,0.16266556291391,1.5600204760686,0.20277825811286,-0.19163814908496,0.56706507304117,1.3228950311551002,0.03330249768732701,0.1453887790153,0.08936230416393598,0.10869565217391002
2009-12-31,,0.015942304042513,0.069385807990459,-1.8913398199069,4.4293074526719005,4.541296518607401,0.15382513127843,0.83530583214794,-0.13278746885012,-0.29804039192162,-0.021085925144966,0.23375667218848,0.088983050847458,-1.1837815530642,-0.98343777976723,-0.02672140990896,0.001476448594298,0.07843137254902001
2010-12-31,,0.016065757519148002,0.10492037293126,-0.28103600244084004,-1.6092512082625,-1.5793886349358002,-1.1960173921871,-1.2420827455783001,0.6888341543513999,-0.7084460903005301,-0.21128898027121,0.049082500372967006,-0.0085603112840466,-2.6654191616766,31.459459459459,0.044495651477964006,0.048040105656153,0.036363636363636
2011-12-31,,0.015995587424158998,0.17110097299043,-1.1878536401358002,-0.2410620494802,-0.09736763386180099,-2.7266528568962998,-2.9499263622974996,1.4423918327662,0.78114313629702,0.13369747377568,0.039462457337884005,0.12715855572998,0.18584269662921,0.15903413821815,0.052772057532365996,0.05567838803268001,0.10526315789474001
2012-12-31,,0.015924719507780998,0.13045127038301,-0.9779116465863499,-0.4504104620084,-0.48562551781276003,0.28457885528618,0.018356758176803004,0.79796974522293,0.75452550740538,0.15302491103203,0.0030097817908202,0.064066852367688,0.0070115595982566,0.4066091954023,0.05313515939638,0.078318455777571,0.063492063492064
2013-12-31,,0.016031350195938997,0.11878259278461,-67.454545454545,-0.7601389491967,-0.77611339292905,-0.57938360961943,-0.6458353487472199,0.13555850769400998,-0.7906831327184599,-0.16552706552707003,0.1072086203369,0.037958115183246,0.28189687617614,-0.48940245148109995,0.06811800786143199,0.039992219523846,0.07462686567164199
2014-12-31,,0.016129032258065,0.11965054789292999,-0.35259917920657,1.5126719768283998,1.5258992805755,-0.58923119622537,-0.34134571610671,-0.22992932000975003,-0.96265870052278,-0.062364857175373,0.01194949183862,0.039722572509458,-0.26600117439812,0.50037509377344,0.049997304000863,0.060001540264154996,0.069444444444445
2015-12-31,,0.015873015873016,0.1351535586907,-0.8304278922345502,1.2638328530259,1.275989746511,2.4252252252252,1.0149294995853,-0.093176351436891,11.24,0.012744265080714,-0.021486396007061,0.0054578532443905,0.1,-0.16666666666667002,0.055001091240548,0.049998832348614006,0.064935064935065
2016-12-31,,0.015964673913043997,0.11959808694533,-8.965732087227401,-0.19591369104449,-0.19784757852584,-0.65919253024724,-0.58081778265642,-0.11112662292336001,0.7058823529411801,-0.011325503355705,-0.038629012192087996,0.030156815440290002,-0.09090909090909101,0.0,0.049999269870475,0.05000024712226099,0.060975609756097005
2017-12-31,,0.0160481444333,0.1030678019673,-0.033633163863903,-0.4918863294546,-0.49297971918877004,-0.021609106694964002,-0.044026186579378,-0.035574053714464995,-0.030651340996169,-0.033699012061337,-0.033840181171142,0.030444964871194,0.0,0.0,0.049998841063440005,0.050001059095155995,0.045977011494253
2018-12-31,,0.015959197104311002,0.10321443456516,0.7231889923108101,0.11497117931142001,0.11661538461538,-0.802405837113,-0.5351823317925,-0.28067746926146003,0.11462450592885001,-0.016809885216082,-0.025783552102866,0.019886363636363997,0.0,0.0,0.04999988962496799,0.049998206824824996,0.032967032967032996
2019-12-31,,0.016032388663968,0.10366376765967,-0.031000469704086004,0.20078245074752,0.20088178561586997,8.0838323353293,2.1918968692449,-0.19560787865067,0.19503546099291,-0.0088038277511962,-0.024609885199698,0.020612813370474,0.0,0.0,0.050000946071805004,0.050001921262397005,0.042553191489362
