Date,ODA/MKD_LE_Value,ODA/MKD_LP_Value,ODA/MKD_PPPGDP_Value,ODA/MKD_BCA_NGDPD_Value,ODA/MKD_TX_RPCH_Value,ODA/MKD_TXG_RPCH_Value,ODA/MKD_TM_RPCH_Value,ODA/MKD_TMG_RPCH_Value,ODA/MKD_GGXWDG_NGDP_Value,ODA/MKD_GGXWDN_NGDP_Value,ODA/MKD_GGXCNL_NGDP_Value,ODA/MKD_GGXONLB_NGDP_Value,ODA/MKD_GGR_NGDP_Value,ODA/MKD_GGX_NGDP_Value,ODA/MKD_NGSD_NGDP_Value,ODA/MKD_PPPEX_Value,ODA/MKD_PCPIPCH_Value,ODA/MKD_PCPIEPCH_Value,ODA/MKD_PCPI_Value,ODA/MKD_PCPIE_Value,ODA/MKD_PPPSH_Value,ODA/MKD_LUR_Value
1993-12-31,,0.0046559751681324,-0.052989352989353,9.7418546365915,,,,,,,,,,,-0.52835559448215,4.2991718426501,,,3.3870811855669998,,-0.07894736842105299,
1994-12-31,,0.0051493305870237,0.0029404133875291,1.1028931404573001,-1.2695583283818999,-0.28214519293656,-0.46895212117455,0.011149524632671,,,,,,,0.47678737233054996,1.4672787653839,-0.62679075480389,,1.2639618138425,,-0.05714285714285701,
1995-12-31,,0.0056352459016394,0.0095714408898854,-0.31976034616665,-1.5554739162381002,-1.3265306122448999,-1.0380170434647,-0.97004017437388,,,,,,,3.7922037095252996,0.14679334916864997,-0.875,,0.15799802137563002,,-0.03030303030303,
1996-12-31,,0.0071319409067753,0.030491971301674,0.22475941934432,13.146825396825,-2.55078125,6.497441146366401,1.3109843081311998,,,,,,,-0.087509839937024,0.010080088373378001,-0.85443037974684,,0.023010882200529,-0.0075084869866204,-0.03125,
1997-12-31,,0.0030349013657056,0.030832987981765002,0.06032760687175401,0.032071061243572,3.8341129902842996,0.42866894197952005,-7.769753086419799,,,,,,,-0.021998562185477997,0.022146274777854,0.1304347826087,-5.2666666666667,0.025998028585509998,0.032004936218158996,-0.032258064516129,0.12853213303326
1998-12-31,,0.0050428643469491,0.045026935756211,0.09017834714895802,-0.6751223047653601,-0.9237010570195,-0.7104634495938801,-1.5023251572901002,,,,,,,0.09320788003528399,0.0030092283001204,-0.66576923076923,-1.660625,0.0086866018173812,-0.021147172361801997,0.0,-0.044953467759804994
1999-12-31,,0.004515805318615,0.059475263522351,-0.6944700460829499,-2.7325711098717003,8.762926829268299,-0.93696369636964,-2.6084588854602004,,,-1.0169491525424001,7.2566844919786,0.06476202091654701,0.011127854410571002,0.14571005917160001,0.012467497833188998,-1.4016110471807,-2.5577105014191,-0.0034923406619572,0.032930553711327006,0.0,-0.060033061686146
2000-12-31,,0.003996003996004,0.069135802469136,-0.28996983408747995,2.2827941413166,-3.3183771360047998,-143.73821989529,-4.6898769890532,0.49648646116367995,0.49036144578313,85.137931034483,1.7577720207254,0.035966896709716006,-0.034735756047232,0.19561007101356,0.057487159225603,-19.309455587393,0.77224415426663,0.06389220761980599,0.058362257359558,0.0,-0.021103946191108003
2001-12-31,,0.0029850746268658,-0.023434315989675,2.8369622942114003,-1.7670131398313,-1.8348275862069,-1.5556248395261,-1.7440665524835,0.018407212622089,-0.067685749981627,-3.5412329863891,-2.0530765617661,-0.060867401940459004,0.19723871733967002,-0.4177302179462,0.012952238620088,-0.13302034428795,-0.32145305003427005,0.055400970764758,0.039596744807482,-0.066666666666667,-0.038200901440414
2002-12-31,,0.0029761904761904,0.023996661334075003,0.31031141868512,-0.6736128867297401,-0.17043577034282997,-1.6379059941907002,-1.6208073002302,-0.12053772695602,-0.05835829523359099,-0.12429111531191,-0.08764495985727001,0.028609271523179002,0.0045383528011309,-0.051509020401281,0.018073400135243,-0.6070397111913399,-0.79646464646465,0.021777425723845,0.008061689449702,0.0,0.046829428150089995
