Date,ODA/DOM_LE_Value,ODA/DOM_LP_Value,ODA/DOM_PPPGDP_Value,ODA/DOM_BCA_NGDPD_Value,ODA/DOM_TX_RPCH_Value,ODA/DOM_TXG_RPCH_Value,ODA/DOM_TM_RPCH_Value,ODA/DOM_TMG_RPCH_Value,ODA/DOM_GGXWDG_NGDP_Value,ODA/DOM_GGXWDN_NGDP_Value,ODA/DOM_GGXCNL_NGDP_Value,ODA/DOM_GGXONLB_NGDP_Value,ODA/DOM_GGR_NGDP_Value,ODA/DOM_GGSB_NPGDP_Value,ODA/DOM_GGX_NGDP_Value,ODA/DOM_NGSD_NGDP_Value,ODA/DOM_PPPEX_Value,ODA/DOM_PCPIPCH_Value,ODA/DOM_PCPIEPCH_Value,ODA/DOM_PCPI_Value,ODA/DOM_PCPIE_Value,ODA/DOM_PPPSH_Value,ODA/DOM_NID_NGDP_Value,ODA/DOM_LUR_Value
1991-12-31,,0.017374799240764998,0.043050572850364996,-0.51315789473684,-1.7980422462648,-1.7707244212098998,-0.89097356544165,,,,,,,,,0.15152851263962,0.53142677561282,-0.067059033351168,-0.90112488895006,0.47083913649025,0.079023967300427,-0.020408163265306,-0.051146867511126,
1992-12-31,,0.023105625717566004,0.07966270941972702,5.0836550836551,6.787604906391199,1.8504521963823999,-14.490242460083001,,,,,,,,,0.08085513720485,0.081058895957316,-0.90953503685295,-0.34636800809921997,0.04255193229567399,0.051655857200253,-0.041666666666667,0.044559099437147996,0.032478077297823996
1993-12-31,,0.023004628980222,0.097763162401946,-0.18616458641845002,1.1234352980187,0.7946742209631701,-0.82083990881992,,,,,,,,,0.47534982582512,0.025626423690205003,0.23268372857478,-0.46021297192643,0.052509082652134,0.027888446215138998,0.043478260869565,-0.0040067700597561,-0.020970955227011003
1994-12-31,,0.018099547511312,0.044840390676194004,-0.52456459578893,-0.80897911380051,-0.83084985477964,0.57548323954001,,,,,,,,,0.09536577557227499,0.079030168424949,0.5735238095238101,4.1341463414634,0.082627689984359,0.14314537538494002,-0.010416666666667001,0.012692907924396998,-0.20884652457963002
1995-12-31,,0.017912457912458,0.077021861187433,-0.42919628212137995,-0.8508072756999799,-0.28443449048152003,-1.0127348967231,-1.0698517298188002,,,,,,,,-0.017792554163165,0.071526586620926,0.51749182907638,-0.35615481346933,0.12534249987545001,0.09215048769159301,0.021052631578946997,-0.043560152049587006,-0.013537295248408998
1996-12-31,,0.017994178354062,0.090979674458586,0.052681992337165,9.1808219178082,3.9321857068335997,-117.80487804878,-22.242924528302,,,,,,,,0.0004091653027823,0.016167760525052,-0.56932035737077,-0.57150607638889,0.054008588250919004,0.039508377987582,0.030927835051546004,0.0022915249382362,0.034307671195279
1997-12-31,,0.017936054068105,0.09869357462383099,-0.29117379435851,1.3852260495156001,1.0729772607086,0.8988306535811199,1.2572443654935,,,,,,,,0.012418665179401,0.067422810333963,0.5367660677903301,1.1185110154468998,0.08295182494014901,0.08366403469295901,0.04,0.00053584824777625,-0.04643757463181599
1998-12-31,,0.018003064351378998,0.08152312212274701,0.9216944801026999,-0.61730693292717,-0.5229591836734699,0.05141034805080501,-0.013181840539078,-0.041798702278557004,-0.041798702278557004,-0.32511415525114,-0.6252821670428901,-0.016287465368147,-0.6409431939978599,-0.042288174688605004,0.13830842116861,0.04943919716647,-0.41762082680487,-0.065264164475257,0.048324542351845995,0.07818634853518598,0.03846153846153799,0.16009711510997,0.027828022818979
1999-12-31,,0.018060955725573997,0.083335115826399,0.23780895123579998,0.15949292452829997,-0.59048128342246,-0.83652337621588,-0.7923540846334,0.20220472440945,0.20220472440945,0.67929634641407,2.8975903614458,0.021677903900316004,3.3402985074627,0.060693641618496996,-0.052072914986288,0.018422162846294998,0.33919701986754996,-0.34769820971866994,0.06470588235294099,0.051017192478728,0.037037037037037,-0.038717222700972,-0.1489102477325
2000-12-31,,0.01798694098805,0.08051809583983299,1.1629789530491002,0.45143656242054,2.6142595978062,2.4488163787587998,1.6476236197792,0.03844642389311,0.03844642389311,0.066881547139404,0.023183925811437002,0.041851140255618,0.38033012379641995,0.044202240387525994,-0.04816037575303799,0.045705606186136,0.19347859681657,0.76808468927661,0.077243823621391,0.09021855010661001,0.0089285714285714,0.02369213037075,0.0089072689677112
2001-12-31,,0.017911170277139,0.041114664230242,-0.30489021956087997,-1.5030218095822,-1.2922176457836998,-1.3277989054819,-1.2792384406164998,-0.017281614632608,-0.017281614632608,0.18429003021148,0.36555891238671007,0.088919178960872,-0.19033383158944,0.09814438967816802,-0.035257097904598,0.028522382147101,0.15033018257154002,-0.51391506818938,0.08883297851751501,0.043821048771544,-0.0088495575221239,-0.06905610808782099,0.13179883335960998
2002-12-31,,0.018071572940196998,0.07399736726634501,0.013998564249821,-0.60456207557026,-0.33555885262116997,-1.5464063384267,-1.6613636363636002,0.061292599961492,0.061292599961492,0.11352040816327,0.08738938053097299,-0.0029452912156689,0.22030769230769,0.0090429042904291,-0.0025203854707191,0.038259083322634,-0.41208914903196997,1.3978102189781,0.05222775210333,0.10512910591955,0.026785714285714003,-0.00097426594100651,-0.078005293216325
2003-12-31,,0.017984351278757,0.017371835727476,-2.6290265486726,-8.3364156759137,-0.81652400446595,-11.191610564474,-11.147275405006999,1.0626511852926999,1.0626511852926999,2.3860252004582003,3.4394710071211,-0.09474927996455199,1.2012102874433,0.18852619873095003,0.076397146254459,0.30666501793001,4.255600229753,3.0577435312023997,0.27450097131113,0.42655434581047996,-0.043478260869565,-0.18061674008810996,0.021906632421816
