Date,ODA/ATG_LE_Value,ODA/ATG_LP_Value,ODA/ATG_PPPGDP_Value,ODA/ATG_BCA_NGDPD_Value,ODA/ATG_TX_RPCH_Value,ODA/ATG_TXG_RPCH_Value,ODA/ATG_TM_RPCH_Value,ODA/ATG_TMG_RPCH_Value,ODA/ATG_GGXWDG_NGDP_Value,ODA/ATG_GGXWDN_NGDP_Value,ODA/ATG_GGXCNL_NGDP_Value,ODA/ATG_GGXONLB_NGDP_Value,ODA/ATG_GGR_NGDP_Value,ODA/ATG_GGX_NGDP_Value,ODA/ATG_NGSD_NGDP_Value,ODA/ATG_PPPEX_Value,ODA/ATG_PCPIPCH_Value,ODA/ATG_PCPIEPCH_Value,ODA/ATG_PCPI_Value,ODA/ATG_PCPIE_Value,ODA/ATG_PPPSH_Value,ODA/ATG_NID_NGDP_Value
1991-12-31,,0.016666666666667,0.062326869806094004,-0.048769574944072004,,,-3.3139140889715,-0.3684667614085,0.0095580920735522,0.0095580920735522,-32.78125,-1.397357992074,-0.072883059184429,0.15006123861759998,0.25487339228296,-0.011580775911985999,-0.31451979972690003,-0.59216384683882,0.045187005912443,0.032059563473176005,0.0,0.17839828629410998
1992-12-31,,0.016393442622950997,0.03129074315515001,-0.6915961116337399,1.8400597907324,-0.65573508238682,-1.1608408124705,-1.6284535566946,-0.034751780254162,-0.034751780254162,-0.79105211406096,-2.2413563829787,0.06743111415368801,-0.094272352641571,0.0989710533691,0.002929115407147,-0.33598937583001004,-0.1072988147224,0.030000254239442997,0.028615036619779998,-0.33333333333333,-0.061870136497002
1993-12-31,,0.016129032258065,0.075853350189633,-2.423487544484,1.9647368421053002,4.8522304832714,1.1676945668135,1.1637159339566001,-0.055788255104189,-0.055788255104189,2.0258823529412,-0.8596679164434899,-0.04532093420982299,0.044731864424109,0.083026704069365,-0.0035046728971963,0.03333333333333299,-1.1904262753319,0.03100239429319,-0.0054442392476275,0.5,-0.084579820505847
1994-12-31,,0.031746031746032,0.08460634547591099,-1.3835714285714,-0.51038522989526,-0.45799587104971,-0.60032515919252,-0.60191229199228,-0.0027418941361361,-0.0027418941361361,0.78265940902022,-7.5954198473282,-0.0034708615574092,0.095468780583284,-0.09237082884822401,0.012895662368113,1.091935483871,-1.2256880733945,0.06484474131533001,0.0012236092178562,0.0,0.041926619132501
1995-12-31,,0.030769230769231003,-0.030335861321777,-0.9171322160149,-3.3665699782451,-2.3696161734544,0.23355932203389998,0.26743648960739,0.08889832686955901,0.08889832686955901,-0.10272628135223999,-0.19849537037037,0.015504746924330001,-0.0087550810738376,0.14754280631532,0.016782407407407,-0.57794911333847,-11.284552845528,0.027373391040414,-0.012649950150620001,-0.33333333333333,0.10674697936343999
1996-12-31,,0.014925373134328,0.080446927374302,103.60674157303,-1.4420101118431001,-2.3409990373302,-0.70898598516076,-0.7090014577259499,-0.066018660125017,-0.066018660125017,-0.5833738454059301,-1.8714801444043,0.056812524202025004,-0.061871930061737,-0.25985854083907,0.014797951052931002,0.08330288637194,-3.5193675889327998,0.029653134916292997,0.031878046926744,0.0,0.037839752672936
1997-12-31,,0.029411764705882002,0.073422957600827,-0.25639097744361,0.61213171577123,0.23825476589296,-3.0774315391879,-3.0989355040701003,-0.048815869003790986,-0.048815869003790986,-1.0,0.42419221209610997,-0.058626465661640995,-0.13613219329426,0.015927041061221,-0.0022434099831744,-0.8779089376054001,-1.3526827737684,0.003623804463337,-0.011237728463651,0.0,-0.062742420951376
1998-12-31,,0.028571428571427995,0.060693641618496996,-0.076700852231691,-0.602451085788,-0.20825818088122,-5.948636363636401,-5.9597255369928,0.17919656164430997,0.17919656164430997,,-3.2012798138453,0.14268238434164002,0.49860987544484003,0.16764023709303,0.0084317032040473,8.0110497237569,-5.1459074733096,0.032612954119503,0.046589832817205995,0.5,0.11163714616785
1999-12-31,,0.027777777777778,0.065395095367847,0.22887984981227,0.5667928610059499,-0.36913188511919,-0.65013318636906,-0.6586466165413499,0.020751888539431,0.020751888539431,-0.49828178694158004,-0.74286469344609,-0.089537712895377,-0.18659789989239997,0.027625528784256,-0.013377926421405,-0.65205395462906,-0.7643776824034301,0.011351401236657,0.010981524601666001,0.0,0.06593799326920201
2000-12-31,,0.027027027027027,0.056265984654732,0.08453214513049001,-1.0445288229203,-0.3997936548878,-3.358361774744,-2.7564757709250998,0.06389840757911701,0.06389840757911701,3.2627646326276,7.7255909558068,0.019187600213788996,0.49443481434175995,0.1536010882016,-0.035028248587571004,-1.1427312775329999,-0.60655737704918,-0.0016121182625624,0.0043247809951019,0.0,0.13844262524098003
2001-12-31,,0.013157894736841999,-0.02179176755448,-0.13687052470947,47.93023255814,-1.7614954877525,-0.5344539686073699,-0.64446227929374,0.10093108861582,0.10093108861582,0.040972830850131,0.25583038869257996,-0.071477266768053,-0.024480327218339,0.16386880565985,0.009367681498829,-12.944444444444,1.1643518518518998,0.019346190171526,0.009343361006239,-0.33333333333333,0.10099150836892
2002-12-31,,0.012987012987013,0.04042904290429,0.39643682850537004,-1.3586818757921002,-3.5632054176072003,-2.1183644189383,-3.5632054176072003,0.050317557877484,0.050317557877484,0.35585490773871997,0.43950478334271,0.10612221845702,0.21749741856754,-0.056307987629306,-0.0034802784222738,0.24444444444444,1.7272727272727,0.024079941020582998,0.025498561365215,0.0,0.017899734736185002
