Date,ODA/LCA_LE_Value,ODA/LCA_LP_Value,ODA/LCA_PPPGDP_Value,ODA/LCA_BCA_NGDPD_Value,ODA/LCA_TX_RPCH_Value,ODA/LCA_TXG_RPCH_Value,ODA/LCA_TM_RPCH_Value,ODA/LCA_TMG_RPCH_Value,ODA/LCA_GGXWDG_NGDP_Value,ODA/LCA_GGXCNL_NGDP_Value,ODA/LCA_GGXONLB_NGDP_Value,ODA/LCA_GGR_NGDP_Value,ODA/LCA_GGX_NGDP_Value,ODA/LCA_NGSD_NGDP_Value,ODA/LCA_PPPEX_Value,ODA/LCA_PCPIPCH_Value,ODA/LCA_PCPIEPCH_Value,ODA/LCA_PCPI_Value,ODA/LCA_PCPIE_Value,ODA/LCA_PPPSH_Value,ODA/LCA_NID_NGDP_Value
1991-12-31,,0.014925373134328,0.031446540880503,0.13468489706113002,-0.27112717099895,-2.4081045751634,-3.0861127956337007,-2.0863606495823004,0.11781429190960001,-2.4117647058824,-0.9236714975845401,0.014316598606773999,0.05670430659432,-0.25233248515691004,0.06687898089172,0.27891941814822996,0.049567531603459995,0.05537683053517,0.063100272068706,0.0,-0.030100636310303
1992-12-31,,0.014705882352941001,0.10731707317072998,-0.30450138504155,0.05725251879098,-2.1838098774601002,-0.92761627906977,-0.71917393934157,0.14540046555738,0.57142857142857,-2.6455696202532004,0.0032207644579170004,0.016468520146181,0.8088485536018198,-0.0017910447761195,0.022025636396461004,-0.49984152139460997,0.056614857033990995,0.031542920572273994,0.0,0.060766796947701
1993-12-31,,0.014492753623188,0.049559471365639006,-0.07537588370008999,-0.48373922250794,-1.144369510665,4.817938420348099,-0.10492307692307999,0.03458657935343,-0.61111111111111,-3.9923076923077,0.21793116472309998,0.18804896918945999,0.20837253057385002,-0.042464114832536,-0.8630983925101601,-0.76932826362484,0.0077532192388022,0.0072933791660439,0.0,0.083428370909729
1994-12-31,,0.021428571428571,0.037775445960126,-0.1175963816498,-0.97743920304717,8.4334600760456,-0.84629544408652,-1.2860089377793,0.030811204074209002,-0.92857142857143,0.57840616966581,-0.11947125634764001,-0.12901742961119,0.06208641494744999,0.0024984384759525,2.4374193548387004,7.045329670329701,0.026644202239485,0.058562568622214005,0.0,-0.0054251012145749
1995-12-31,,0.013986013986014,0.04246713852376101,-0.47339516719551006,16.155844155844,-1.3549260090976998,-5.6347305389222,6.456730769230799,-0.025655503405442,6.3181818181818,-0.09934853420195401,0.011182038300681998,0.017328583366319,0.059739783763972994,0.024299065420561,1.2008258258258,-0.20693187638723,0.05861508074822799,0.04645034690587999,0.0,-0.11813074981682001
1996-12-31,,0.013793103448276,0.035887487875849,1.0697566628042,-6.6146858440575,-5.20019467878,-0.96027131782946,-0.74645390070922,0.05929011227816001,3.3478260869564997,-0.80108499095841,-0.028255474770342997,-0.0047987549176429995,-0.25234883854977,-0.0079075425790754,-0.84223093979192,-1.491926803014,0.0092465565494157,-0.022850560548628,0.0,0.010985967503693001
1997-12-31,,0.020408163265306,0.0187265917603,0.33243757697906,-2.435486045571,-0.47072228659714,-104.31707317073,-11.145581691036,0.11143023216056,0.92142857142857,-5.2090909090909,-0.018727598566308,0.009860990443093,-0.10407832857914001,0.0012262415695892,-1.0064864864865,-1.8477024070022,-5.4372944023121e-05,0.019368634600358998,0.0,0.07392018993699201
1998-12-31,,0.013333333333333,0.053308823529412,-0.30176470588235,-1.3876209260824999,-1.6720426184047,-0.12134088762984001,-0.44946425214612,0.08198486433273901,-2.9955390334572,-9.133909287257,0.14820564332024,-0.033681765389083,0.19129162722657003,0.04470300061237,-534.66666666667,0.8606091894682499,0.032027405453903,0.036051421348466,0.0,-0.058160792483313
1999-12-31,,0.013157894736841999,0.05322862129144901,0.7488265735949001,-0.77271625878362,-2.9653599739385004,-0.76240372559556,-0.83712724789438,-0.015182963236758001,-0.27719821162443997,-0.18242166755178002,0.076069667567997,0.11827813390313001,-0.29680728113262,0.0017584994138336,-0.24578388507183,-0.4453385127636,0.024144471666797996,0.019987799654756,0.0,0.095336974676116
2000-12-31,,0.012987012987013,0.038111019055509,-0.16454476636157,14.248400852878001,0.11868059008785001,-4.2525442894836,-5.3207547169811,0.133498859601,-1.7221649484536001,-0.9265995453069201,-0.126344185359,-0.0031049719358306,0.49501797637391,-0.01521357519017,1.0074534161491,2.4477238619310002,0.04847526076835,0.068917250944813,0.0,0.10010302905419
2001-12-31,,0.012820512820513002,-0.0063846767757381,0.1995057660626,-1.2113542613438,-1.3556082382574999,-0.28925715610152003,0.53469189713731,0.16999057588955999,1.6495360456816999,-8.7433628318584,-0.030708061923695,0.063291139240506,-0.37329943658101,-0.04753416518122401,0.08766501650164998,-0.56848520023215,0.052735525024534005,0.029737033201195,-0.33333333333333,-0.11283434479658
2002-12-31,,0.0063291139240506,0.0,-0.018884768575745,4.8250082699305,2.78,-0.8814609489646199,-0.96216671935926,0.2608468488081,-1.0377155172414,-2.2102857142857,0.05969628207366,-0.09328526363226701,-0.19482512882359,0.0037429819089208,-1.0485492129717,-1.2273032952253,-0.002563534881553,-0.0067629275962129,0.0,-0.08660586099147
2003-12-31,,0.0,0.065060240963855,0.28158465738084004,-0.40479300357772,-1.201278659612,-20.265474552957002,-54.67688022284099,-0.059309011171159005,-28.607142857143003,-1.6657223796034,-0.030390380497447002,0.13535453943009002,-0.5140250544662299,0.019888129272839998,-5.0390625,-1.7544378698225,0.010350588207805999,0.0051096419758835,0.0,0.011465027044519
