Date,ODA/PNG_LE_Value,ODA/PNG_LP_Value,ODA/PNG_PPPGDP_Value,ODA/PNG_BCA_NGDPD_Value,ODA/PNG_TX_RPCH_Value,ODA/PNG_TXG_RPCH_Value,ODA/PNG_TM_RPCH_Value,ODA/PNG_TMG_RPCH_Value,ODA/PNG_GGXWDG_NGDP_Value,ODA/PNG_GGXCNL_NGDP_Value,ODA/PNG_GGXONLB_NGDP_Value,ODA/PNG_GGR_NGDP_Value,ODA/PNG_GGX_NGDP_Value,ODA/PNG_NGSD_NGDP_Value,ODA/PNG_PPPEX_Value,ODA/PNG_PCPIPCH_Value,ODA/PNG_PCPIEPCH_Value,ODA/PNG_PCPI_Value,ODA/PNG_PCPIE_Value,ODA/PNG_PPPSH_Value,ODA/PNG_NID_NGDP_Value
1991-12-31,,0.03113358169239,0.13197544642857,0.39986018874518997,,-3.7248620751023,,-1.824075113156,,-0.46393681147371,,-0.032592233597867996,-0.087428949107733,0.08438759905463601,0.036130536130536,0.0018696965338703,-0.36091154018859,0.069657910262692,0.056929999999999994,0.0,0.12135902386919001
1992-12-31,,0.078967741935484,0.16440719743652998,-1.4469413233458,,0.7452158578799599,,-0.8217884702678199,,2.12291585886,,-0.15185672239964998,0.018077524769685,-0.042051282051282,0.0056242969628796,-0.38128050531151003,-0.12717372211488,0.043096598079818006,0.04968162508397,0.071428571428571,-0.14746290529401002
1993-12-31,,0.025591963645061003,0.21020321761219,5.934636871508401,,-0.90602896598181,,-2.9401426388181,,0.11112490687857,,0.010004430005906999,0.033179671048887,0.34042648108494,-0.048098434004474,0.15406032482599,-0.031394646810223,0.049740542575216,0.04813239111623901,0.13333333333333,-0.24220025784272
1994-12-31,,0.026352611940297997,0.08186111596991401,0.012486908885845,-3.2504978096376003,-2.5408203902828,-1.1985033477747,-2.6872784560851,,-0.67415353670801,-1.0546784111684,-0.019408604115648,-0.18078660350336,0.12939727759843,0.050528789659224006,-0.42722155207077006,0.35632661541658,0.028498493114429,0.06527983213511701,0.058823529411765,0.21169331972326
1995-12-31,,0.027039309247897998,-0.014227970897332,0.62468173138129,-0.63192355335339,0.91651589558025,-6.396825396825401,-2.3456271397447996,-0.08736921402862599,-1.1063100137173998,12.653495440729001,-0.0060011927836588,-0.11387170521786001,0.24820981287756,0.13646532438478998,5.0656370656371,1.8650428921568998,0.17280251023102,0.18702724520685998,-0.11111111111111001,0.026770253194177997
1996-12-31,,0.026548672566372004,0.085451861571265,-0.78324109897644,2.0725961538461997,0.047875927174646,-3.5555147058823997,-2.7884815542963,0.033659842981877,4.5096774193548,0.19701691896704998,0.079724003449957,0.027620745911901997,-0.35853911893857005,0.010826771653543,-0.32689080493027,-0.7175854141046899,0.11632598171060002,0.052821283570111996,0.0625,0.036738228725101
1997-12-31,,0.026077586206897003,-0.04744635841644,-2.7347492092183,1.7041151619465,1.5747747747748,-0.027286241787752002,-0.5412544455221501,0.16198470302213,-1.3173302107728,-0.39129626185605,0.082276942312368,0.17053719771091,-0.50763681866696,0.093476144109056,-0.6610213204951899,0.0092767890950398,0.039424546186572,0.053310509656999,-0.11764705882353,-0.074258078698615
1998-12-31,,0.025624868725058,0.058217005076142,-0.58088043761396,-1.7360259229256,-1.7871638508447,-1.9127391047131002,-2.6006061033195,0.04124986636937,2.1955719557196,-0.24320195539261,-0.06456581734163401,-0.025958869543275,0.097996711018089,0.041852181656278,2.4466142531068,3.0917276308385,0.13589976637367,0.21813041585154,0.0,-0.14955357142857
1999-12-31,,0.025189432725782994,0.034177784440114,-1.3126165320074998,-0.24166666666667003,-0.25825501651002997,-1.0752403586475,-1.1342080929946001,-0.086872983279554,1.5617782909931002,-1.0254339927331,-0.017873070325900003,0.070723098345261,0.18278984273945997,0.094017094017094,0.098749080206034,-0.39499381103012005,0.14932121837006,0.13197269322164,0.0,-0.08594404422851401
2000-12-31,,0.024770275669197,-0.0024641252355414,6.4801192842942,-1.1578892805308,-1.1005907028508,0.77315147164393,-0.33497375328084006,0.013781582793903,-0.7574938021185501,-52.17460317460301,0.064130776485382,-0.04609103281415401,0.6931621963854,0.10546875,0.044468256094294,-0.2444494960976,0.15596060218108,0.09970379726568401,-0.066666666666667,0.33748778103617
2001-12-31,,0.024561403508772003,0.022377215925602996,-0.22272425249169,-1.2061720288903002,2.3395744680851,-5.175303643724701,-6.7883571780957,0.12592886001743,2.3029739776952,-0.8588709677419398,-0.025274905629411,0.054151739006373,-0.020940272631472,0.04452296819787999,-0.40382149269043,0.038210811352924,0.09297860558364801,0.10351688883136999,0.0,0.048419513977709
2002-12-31,,0.024353120243531,0.035673678226265,-0.97093520259873,-65.68152866241999,3.2739551478083997,-0.85241927664113,-0.75112929344584,-0.0098644864416083,0.12858750703433,-1.7538461538461998,-0.081831958242128,-0.05934013053024201,-0.12551647512239,0.10216508795669998,0.26898257689826,0.43112442040184995,0.11799751482966,0.14814556915634,0.0,0.08997037295224801
2003-12-31,,0.024331352154532,0.064772883216687,14.358823529412,-1.5154603643525002,-1.9031065529784,-3.1208935611038,-0.89280821917808,-0.14352917768113,-0.72251308900524,-12.842565597667999,0.014890885750963001,-0.079677708146822,-0.048598427697927,0.04788213627992599,0.2466310704297,-0.43044211947351,0.14709024812197,0.084380576028702,0.0,-0.14654035256026002
