Date,ODA/GAB_LE_Value,ODA/GAB_LP_Value,ODA/GAB_PPPGDP_Value,ODA/GAB_BCA_NGDPD_Value,ODA/GAB_TX_RPCH_Value,ODA/GAB_TXG_RPCH_Value,ODA/GAB_TM_RPCH_Value,ODA/GAB_TMG_RPCH_Value,ODA/GAB_GGXWDG_NGDP_Value,ODA/GAB_GGXCNL_NGDP_Value,ODA/GAB_GGXONLB_NGDP_Value,ODA/GAB_GGR_NGDP_Value,ODA/GAB_GGX_NGDP_Value,ODA/GAB_NGSD_NGDP_Value,ODA/GAB_PPPEX_Value,ODA/GAB_PCPIPCH_Value,ODA/GAB_PCPIEPCH_Value,ODA/GAB_PCPI_Value,ODA/GAB_PCPIE_Value,ODA/GAB_PPPSH_Value,ODA/GAB_NID_NGDP_Value
1991-12-31,,0.032258064516129,0.09651153508421802,-0.33231173380035,-1.0570930709307,-1.0570930709307,-1.3142177841179,-1.3142177841179,-0.0071752700803906,-0.47039740470396996,1.6023738872404,0.22892032268759002,0.11029040693672999,0.19586735392054,-0.1422958947855,-1.6395991931811003,-2.087578892576,-0.09830773369544302,-0.1671507387913,0.042553191489362,0.25711202668236
1992-12-31,,0.03125,-0.0087361677344206,-3.3980327868852003,-3.2917414721724,-3.2917414721724,-0.43401937046004996,-0.43401937046004996,-0.016542347714117,1.4114344053088,-0.70496009122007,-0.061238253675644005,0.05793149043428,-0.35843155204637994,-0.020232700551133,-0.029196337741607004,-0.72886628776548,-0.09542955375282401,-0.04532025705844699,-0.12244897959184001,-0.17077643386656002
1993-12-31,,0.024242424242424,0.064189189189189,-0.7344818156959301,3.9122600861731,3.9122600861731,1.3957219251337,1.3957219251337,0.025773499887941,0.093353090601185,0.12657004830917998,-0.0053163465683223,0.012889114556888,0.13127229488704,-0.028209038559297003,-1.0559572461489999,-1.2906001765225001,0.0053400345531648,0.013175945126814,0.0,-0.022067472827366
1994-12-31,,0.02465483234714,0.059213250517598,-8.473738414006199,-0.6420540626744301,-0.6420540626744301,-4.309598214285701,-4.309598214285701,-0.20934431130839,-0.71442400774443,2.9528301886792003,0.039676425269646,-0.11051555932596,0.40803027117931,0.43499811340171,66.632958801498,34.649202733485,0.36116231838775004,0.46950374708735,0.023255813953488,-0.025259815242494
1995-12-31,,0.025024061597690002,0.071605420901746,0.16949152542373003,0.38805970149253993,0.38805970149253993,-1.1562015242463,-1.1562015242463,0.029378826883081,-2.728813559322,1.2286830114992,0.23846795109299998,0.04872761954307,0.10514332636608001,-0.0073324648316581,-0.732888470484,-0.92649627263046,0.096467266550363,0.034498644696101,0.0,0.081642726689373
1996-12-31,,0.025352112676056,0.05514683528911,0.6659597030752901,-0.61001444390948,-0.61001444390948,0.29317789291883,0.29317789291883,-0.12009551125366,-0.19960784313725,-0.23773364485981,-0.12172319658950999,-0.11347195237898,0.08808132662366198,0.11527231790789999,-0.92847517362911,-0.76180817154448,0.0068981399097693,0.0082231220936856,0.0,-0.14548441564367998
1997-12-31,,0.024725274725275,0.07548691944220401,-0.36084588726218,0.39012345679012,0.39012345679012,3.0347245409015,3.0347245409015,-0.11633508357821001,-0.33463988241058,-0.10076628352489998,0.27773993017117,0.33596008579689,0.16556476394449998,-0.0075246006941632,4.757971014492799,1.5729927007299,0.039733033932136,0.021160542778194003,0.022727272727273,0.5802403204272399
1998-12-31,,0.025022341376229,0.046024432061723,-2.3878499502047004,-2.8433984606276,-2.8433984606276,0.85782853359815,0.85782853359815,0.53550661433348,-10.316642120766,-1.8166453628746,0.041154320370555,0.5320931206589601,-0.39088173417486,-0.18669132243765998,-0.6352881953184001,-0.74089834515366,0.014487971683963999,0.0054722314432004,0.0,0.24156809733018
1999-12-31,,0.025283347863992996,-0.07550069149208599,-1.6047679795886,-0.14886783362775,-0.14886783362775,-2.0928730512249,-2.0928730512249,-0.16554637760052998,-1.0849668036674,-2.2622608695652002,-0.17827422865189999,-0.43960725350829,0.27984960433699,0.17408167768943,-2.3354037267081003,-2.7317518248175,-0.019356809871579,-0.0094942724225901,-0.11111111111111001,-0.38690184550057
2000-12-31,,0.024659863945578002,0.0034904980885367,1.3593935398813,0.9732075471698101,0.9732075471698101,-0.28983085388221,-0.28983085388221,-0.0080552522229945,8.9906976744186,1.2132818958391,0.18107813352029,-0.20391072807838,0.23987155837945004,0.25237083573026997,-1.2604651162791,-2.8914646996838997,0.0050352264846883,0.017948407167242,-0.075,-0.15161605398685998
2001-12-31,,0.024896265560166,0.044776943462898,-0.44423334823424,-0.51788104800153,-0.51788104800153,-0.8639233241506,-0.8639233241506,0.11700621917221,-0.63463687150838,-0.25989790836653004,0.015005111631435,0.37124036153807,0.21195173021821,-0.083527378570129,3.2380952380952,-0.47910863509748997,0.02136,0.0093468144429119,0.0,0.78151656287613
2002-12-31,,0.025101214574898997,0.0085081646673361,-0.38166096923386,0.6771122570408601,0.6771122570408601,-5.7697174188106,-5.7697174188106,0.002431875487975,-0.08307849133537201,-0.36529565144251,-0.07573591526415,-0.074591293337802,-0.21898656482301998,-0.0037466379507132,-0.92322097378277,-0.54973262032086,0.0016448656693037,0.0042172523961662,-0.027027027027027,-0.17143024997797002
2003-12-31,,0.025276461295419,0.037308740306015,0.8533333333333301,-1.7093188268685,-1.7093188268685,-1.2070916968786,-1.2070916968786,-0.13279025523819,1.0833796553641,0.47349589186324,-0.014201849052624,-0.17315895372233,-0.016474560484341,-0.017309311164132,11.835365853659,7.363420427553399,0.021045120425398998,0.035211543356109,-0.027777777777778,-0.10511575140922001
