Date,ODA/SYC_LE_Value,ODA/SYC_LP_Value,ODA/SYC_TX_RPCH_Value,ODA/SYC_TXG_RPCH_Value,ODA/SYC_TM_RPCH_Value,ODA/SYC_TMG_RPCH_Value,ODA/SYC_GGXWDG_NGDP_Value,ODA/SYC_GGXWDN_NGDP_Value,ODA/SYC_GGXCNL_NGDP_Value,ODA/SYC_GGXONLB_NGDP_Value,ODA/SYC_GGR_NGDP_Value,ODA/SYC_GGX_NGDP_Value,ODA/SYC_NGSD_NGDP_Value,ODA/SYC_PPPEX_Value,ODA/SYC_PCPIPCH_Value,ODA/SYC_PCPIEPCH_Value,ODA/SYC_PCPI_Value,ODA/SYC_PCPIE_Value,ODA/SYC_PPPSH_Value,ODA/SYC_NID_NGDP_Value,ODA/SYC_LUR_Value
1991-12-31,,0.0,-0.22927100723428,6.59877573734,-0.7835187837391201,-8.6344339622642,0.10820876420600001,,-0.73545462177819,-0.44262954214203,-0.046900334632765994,0.1311247639103,-0.4196290815202,-0.051943913320586,-0.4775006428387801,-0.48582995951417,0.020321083123741,0.020325855030279,0.0,-0.41480946597957996,
1992-12-31,,0.014285714285713997,-4.9285198555957,-0.7574514829732699,2.2972010178117,-4.3033673154155,-0.059648231340439006,,1.0444303395747,0.28935978358882003,0.034367930504027,-0.026716311920619,0.20317925347222002,0.023193277310924,0.59891732283465,-0.0059055118110236,0.032498988239045,0.020198967688903998,0.0,0.20803185820854,
1993-12-31,,0.014084507042254,-1.1779084727072,-3.6416062801932,1.8268251273345,2.9086318152062005,0.019563775698180002,,-1.5624029804409,-0.70116791384013,-0.0074010567939252,0.19015598193685998,-0.22149073364296,0.0065703022339028,-0.5961834410587901,-1.1663366336634,0.013113040586286,-0.0033650086494940007,0.0,0.21682607484446,
1994-12-31,,0.027777777777778,4.3047520661157,-0.6908218082066501,-1.6565110565111003,-1.3156597679148,0.47477083559184996,,0.91747170852884,-0.6721273110227,-0.0005288114082248,0.05456142094973001,0.8034173182739599,0.0048955613577024,0.34832317073171004,-7.6339285714286,0.017691541121987998,0.022291176260789,0.0,0.35405219780220004,
1995-12-31,,0.013513513513513998,-1.0864654333009,-2.9001848428834998,-1.4289753825682,-1.3999090426741,0.10157309244163999,,-0.6286166690657801,4.0813704496788,-0.10908096858961999,-0.16577372067812,-0.30604445015416,-0.04059759662228,-1.1430186546071,-0.77344100493495,-0.0025344454172619,0.0050587865889823,0.0,-0.14546171837573998,
1996-12-31,,0.013333333333333,41.416666666667,-10.678210116732,2.6308646762311,2.5170583775588,0.089953288351746,,2.7565891472867996,-0.9478859390363801,-0.021735687702906,0.11326653608558002,0.23487758596751002,-0.077522004062288,3.2608695652174,-5.0772277227722995,-0.010775662940035,-0.020596130704433998,0.0,0.31393239901071995,-0.032207792207792005
1997-12-31,,0.013157894736841999,0.28598736260818997,0.12509548506412999,0.14443613840239,0.19643242078033998,-0.018693623216011004,,-0.39063144861742,9.388140161725099,-0.011716378647456002,-0.073845373033328,-0.3503110711341,-0.0084403669724771,-1.5640074211503,-1.8761534725595,0.0060711491984917,0.018040262747507,0.5,-0.29594679382608,-0.093263553408481
1998-12-31,,0.025974025974026,-0.5391221768033401,-0.81730958209009,0.33756357019549,0.36953290392325,0.13263410373369,,1.8225533355908998,-2.6984950700571,-0.098507340445136,0.10874052424879,0.0098644361119123,0.09215396002960799,3.4407894736842,0.49667405764967004,0.027004444650752996,0.027004444650752996,0.0,0.21184900010694002,-0.37679443540033003
1999-12-31,,0.012658227848101002,-0.35092277369646996,0.9797555012224899,-1.1152155713688001,-1.0895576385463002,-0.020723802995342,,-0.38428314337133007,-0.82584784601283,0.041655310257109,-0.07532373389567999,-0.35987661373242996,0.005421890884446,1.3333333333333,1.3333333333333,0.062995773915795,0.062995773915795,-0.33333333333333,-0.09483468643369801,-0.24673474234148998
2000-12-31,,0.0125,0.7518288474810201,0.82127155065949,3.9243112322131,7.718325376423099,0.1114743032856,,0.4360872954014,5.391228070175401,-0.11323099733985001,-0.012774828065424,0.47206853471355,-0.010111223458039,0.0,0.0,0.063004262647093,0.063004262647093,0.0,-0.12319641232289,-0.018915510718788997
2001-12-31,,0.0,0.15497951465489998,-0.57054898557014,-3.1729480479557,-2.9143218197136003,0.1234276331697,,-0.39436906377205,-0.77463628877299,-0.067692837296221,-0.15461387139273,-1.1557953443259,0.037793667007150006,-0.04761904761904799,-0.04761904761904799,0.06,0.06,0.0,-0.22419480375079,0.41773778920308
2002-12-31,,0.024691358024691003,-0.6913159151374599,-0.6149182088044001,-1.2282488753076999,-1.2589666857369,-0.019655933569250997,-0.025670478170477996,0.82144057354094,4.2637028014616,0.056414178710835,0.20223303872593001,-5.579766536965,0.020669291338583,-0.96666666666667,-0.96666666666667,0.002,0.002,0.0,0.30570418497994,-0.078875793291024
2003-12-31,,0.0,0.67624309392265,1.6393308184353,-0.17924879137226,-0.15107485767695,-0.09642091289696698,-0.094083569382432,-1.2088560885608999,-2.1914844382737,0.19895144176757001,-0.20752907751042998,-0.37085811384877004,0.038572806171649,15.5,15.5,0.033000037660527996,0.033000037660527996,0.0,-0.66967911894918,-0.22465551181102
2004-12-31,,-0.012048192771084,-1.7467369808833,-1.158836689038,-0.9628454916175799,-1.8095285757181,-0.077688939115694,-0.089669304691916,-0.87131919905772,-0.33054962128569,-0.16014909212061,-0.10603208747871,0.24537474679270999,0.21355617455895998,0.18181818181818002,0.18181818181818002,0.039000337231239995,0.039000337231239995,0.0,1.0464111652636,0.12059663598858
