Date,ODA/IND_LE_Value,ODA/IND_LP_Value,ODA/IND_PPPGDP_Value,ODA/IND_BCA_NGDPD_Value,ODA/IND_TX_RPCH_Value,ODA/IND_TXG_RPCH_Value,ODA/IND_TM_RPCH_Value,ODA/IND_TMG_RPCH_Value,ODA/IND_GGXWDG_NGDP_Value,ODA/IND_GGXCNL_NGDP_Value,ODA/IND_GGXONLB_NGDP_Value,ODA/IND_GGR_NGDP_Value,ODA/IND_GGSB_NPGDP_Value,ODA/IND_GGX_NGDP_Value,ODA/IND_NGSD_NGDP_Value,ODA/IND_PPPEX_Value,ODA/IND_PCPIPCH_Value,ODA/IND_PCPIEPCH_Value,ODA/IND_PCPI_Value,ODA/IND_PCPIE_Value,ODA/IND_PPPSH_Value,ODA/IND_NID_NGDP_Value
1991-12-31,,0.019838619462426998,0.044204757474143,-0.85526315789474,-0.07825630252100799,-0.39230234175747997,-4.3614271938283995,-4.063452520515799,,-0.038005847053393,-0.11644204851752,0.09144593509918598,,0.056346852679504005,-0.073521761747876,0.10086805555556,0.051310043668122,-0.021071855025637,0.13481716247689,0.13936880903018,-0.01146729215533,-0.16256914566687
1992-12-31,,0.020393404686143996,0.078871773737511,1.8018648018648002,-0.6726495726495699,0.7107974055703901,-1.7092776407138002,-1.8128677349916003,0.027518186162587003,0.032149712092131,0.025320317266626,-0.029679046068182998,,-0.01439304072756,0.0216638592551,0.065289386532093,-0.26858032932799003,-0.56188562818397,0.098616283006093,0.061059441973312006,-0.051674136567360994,0.056788990825687995
1993-12-31,,0.021686746987951998,0.07242727794416,-0.6613976705490799,15.325500435160999,3.8904995539697005,0.22156608962951002,-0.24062849408579998,-0.0055164395064919,0.09282504261583699,0.16661707825052,-0.062364660025985,,-0.022265907084972003,-0.0024272956262881,0.073131014063657,-0.26143393164993,0.61955453652145,0.072835820895522,0.09889481707317099,0.02613288851821,-0.036852157305322
1994-12-31,,0.019977802441731002,0.089290404847468,1.4864864864865,-0.31927710843373,-0.42692325231428996,0.8055757896828,1.3167234965902,-0.045649406323885006,-0.034600113442995004,-0.15378729915838002,0.033314087759814995,,0.013704813097533998,0.08883481773941802,0.076838184577183,0.41054510503913,-0.016280715947012,0.10271599619437,0.09727761401075098,0.034678948794365,0.11447113434585002
1995-12-31,,0.019586507072905,0.09818055038145698,0.5928853754940699,0.084736471141045,0.048380679557571,-0.37398224895474,-0.51881585549423,-0.051862136556681,-0.15011750881316,-0.25256178420735004,-0.0025143878862378,,-0.043189637725157,-0.0023190116793861,0.06840891621829401,-0.030273532561082003,-0.087273848684211,0.09962721190317302,0.08878002528445,0.037444357161561005,0.022038901694367
1996-12-31,,0.019277481323372,0.09512359439041,-0.28349875930521,-0.65720886578586,-0.52022770398482,-0.5882594176577399,-0.23225582203683998,-0.052789502397565004,-0.040442447286554,-0.11854838709677,-0.027896034057808997,,-0.030924782130468,-0.047967204800947,0.056354916067145995,-0.053202168239309004,0.12974434057889,0.094316718234171,0.10032221544892,0.035840484603735,-0.0629500672628
1997-12-31,,0.019239568489198996,0.058313148004912,0.12467532467532001,1.935551811289,0.8152191109001701,0.9443653955606099,0.18018833755886,0.027903663397851,0.27809798270893,0.71500457456542,-0.039817909415696996,0.21142459073494,0.037193870869167,0.077506991610068,0.04687854710556201,-0.27459711620017,-0.17635330475526,0.068425324675325,0.082614430813877,-0.0014619883040936,0.07976185449478501
1998-12-31,,0.019068497428701002,0.073366286514359,-0.27482678983833997,-0.18625340794949,-0.66140840160363,-0.60278082693011,-0.9384686205309201,0.0040107346132296,0.20955467869222,0.36596425713524,-0.039128608293824994,0.23073605520414003,0.035144576791953,-0.041568821324105,0.068524341320611,0.918591055247,0.082909707092713,0.13126440274507,0.08948131541432598,0.036359199609566004,-0.053417800719537
1999-12-31,,0.018334677419355,0.10511546673325999,0.067940552016985,-0.29932992417563,0.23912483912484,0.10943257184967001,7.3004987531172,0.028623880158613998,-0.13328672958173,-0.28178090216755,0.052588845168946005,-0.07440719542109599,-0.012279417744165,0.10157324621733001,0.015119228817859,-0.73908737716158,-0.4600424723371,0.034249258492361,0.0483129606227,0.05109489051094901,0.10030570932827
2000-12-31,,0.018808380222294998,0.06203659840357901,-0.44433399602386,0.41185352963382,2.2787702534275,-0.69345732314846,-1.3355866005708,0.051542711917646,-0.020029573867455002,-0.15742251223491,0.030795704028956,-0.055906108026249,0.015231351885394,-0.075077067155734,0.013394642143143,0.11474452554745,-0.47526392051335,0.038168930252692,0.02533684670941,-0.0094086021505378,-0.089021551400466
