Date,ODA/KNA_LE_Value,ODA/KNA_LP_Value,ODA/KNA_PPPGDP_Value,ODA/KNA_BCA_NGDPD_Value,ODA/KNA_TX_RPCH_Value,ODA/KNA_TXG_RPCH_Value,ODA/KNA_TM_RPCH_Value,ODA/KNA_TMG_RPCH_Value,ODA/KNA_GGXWDG_NGDP_Value,ODA/KNA_GGXCNL_NGDP_Value,ODA/KNA_GGXONLB_NGDP_Value,ODA/KNA_GGR_NGDP_Value,ODA/KNA_GGX_NGDP_Value,ODA/KNA_NGSD_NGDP_Value,ODA/KNA_PPPEX_Value,ODA/KNA_PCPIPCH_Value,ODA/KNA_PCPIEPCH_Value,ODA/KNA_PCPI_Value,ODA/KNA_PCPIE_Value,ODA/KNA_PPPSH_Value,ODA/KNA_NID_NGDP_Value
1991-12-31,,0.0,0.05699481865285,-0.36391476330228,-5.6444444444444,-2.5187078049087996,-1.5953213037586,-1.0397140587768001,,0.47987117552334996,0.11706740244383,-0.039841437101710994,-0.05660572789890701,-0.19017395392572,-0.060606060606060996,0.00023809523809511,0.23971861471860997,0.042003505003108996,0.04582569571738,0.0,-0.14164708186447
1992-12-31,,0.0,0.053921568627451,-0.74309595453026,-0.35885167464115003,-0.44744495222268,-1.910506768899,-23.0,,-0.45701849836778996,-0.17889908256881,0.059837993206167,0.085913482652613,0.34552491533624,0.048762190547637,-0.32468459890502,-0.68114360541248,0.028374565972222,0.014605906097302,0.0,-0.09158062860076402
1993-12-31,,-0.023809523809523996,0.07906976744186099,1.4763144195731002,-0.7394776119403,-0.9527067669172901,-3.4134210526316,-2.1817532467532,,-0.51102204408818,-0.16373012462398,0.063609467455621,0.07810525251504,-0.0095282611822235,0.010014306151645001,-0.36869933027846,-0.047227926078029,0.017902048711861,0.013924514474166,0.0,0.16209852123951998
1994-12-31,,0.0,0.077586206896552,-0.27191507252470004,-0.6035519908335699,-23.837837837838002,-1.0987351433868,-0.98038353755701,,2.2418032786885,0.30061664953751,0.06815020862308799,0.04328050267279399,-0.11765346498710999,0.038243626062323,-0.20323841429369,-0.048132183908046,0.014270165679042,0.013251415492109,0.0,-0.160236667207
1995-12-31,,0.0,0.055999999999999994,1.2438284971848999,-9.2897398843931,-0.80696136442743,-6.3771397018222,23.43137254902,,0.13653603034134001,-0.056894508099565005,0.067230902777778,0.064766955818239,-0.13190158808525,0.020463847203274,1.1023125437982,0.9388679245283,0.030012434209406004,0.025680656283438002,0.0,0.17485442203134
1996-12-31,,0.0,0.077651515151515,0.45087820883998997,-1.9442168569685,-5.9459069599711,0.96323680427192,1.2396239394633999,,-3.9766407119020997,-1.294930875576,-0.017365488633129,0.13284086112284,-0.35815165876777,-0.010695187165774998,-0.31733333333333,0.22304398598676997,0.020472623240891996,0.031429564987001,0.0,-0.01161071252533
1997-12-31,,0.0,0.093145869947276,-0.16779743692076002,0.35253392412073997,0.43718556325191,-0.52971022073439,-0.6621275724378001,0.36155798436284997,-0.036995515695067004,0.15482954545455,-0.017630990812018996,-0.019525282259567,0.15808904969357002,0.031081081081081,3.23583984375,2.61139401655,0.086762060639453,0.1134586671376,0.0,-0.045520031030088004
1998-12-31,,-0.024390243902439,0.020900321543408002,-0.32834230297863,-1.4187141687142,-1.0189741768556,-1.3106439773106002,-1.1793939393939,0.18802519429370002,0.9922390376406701,3.1746617466175002,0.011206605999326,0.10728537224946001,0.34455496046927003,0.020314547837483998,-0.57533141210375,-0.9231514937869001,0.036831039470349,0.0087233613057647,0.0,-0.022002264085223
1999-12-31,,0.05,0.05511811023622099,0.37151923839746004,3.9056234718826004,-11.29679144385,-1.171858216971,1.0971283783784,0.12848122888487,0.73899493572263,1.0807307012375,0.028497625197900004,0.15369302580998997,-0.49426213960546,0.0064226075786769,-0.09039087947882699,1.4346330275228998,0.033509268980195996,0.021226718506554002,0.0,-0.1703617962188
2000-12-31,,0.047619047619047006,0.08955223880597,-0.08722813512262799,-0.046185539606592003,3.5222020254479,29.216666666667,-9.330245670559801,0.08532825026630002,0.29659498207885,0.256018125177,-0.059345377947014014,0.035193669304456006,2.3503047351149,-0.0089342693044033,-0.37033721277231,0.46867640131889,0.021109611343807,0.031171267006327004,1.0,0.8427360211784101
2001-12-31,,0.045454545454545005,0.076712328767123,0.48586818757921,-1.3345642026056999,-0.47861039333908,-0.93725868725869,-0.9929414039837601,0.082256314892298,-0.17173462335867,-0.22897406989852997,-0.078162008526765,-0.10929103083599001,-0.010914891830623,0.018029620090148,0.013270142180094998,-0.16613213598461,0.021368220223494,0.026007519919642997,0.0,0.14129295282469
2002-12-31,,0.021739130434783,0.026717557251907997,0.10990745084659,-0.6373386089129499,0.60925110132159,4.679120879120901,38.575342465753,0.14342716954476,0.47841051314143,0.6417604912999001,0.17929552461927,0.27179454087888,-0.15944653518576002,0.016445287792536,-0.028063610851263,-0.28884615384615003,0.020787746170678002,0.018482014102953997,0.0,-0.05201741852078701
2003-12-31,,0.021276595744681,-0.024783147459726998,-0.04995388871810599,-3.0496698248636003,-2.0815767862031,-2.5717879256966,-2.5507095880927997,0.19083000784759,-0.50250440917108,-0.59253651585322,0.037870385041989994,-0.1564259982749,-0.29108597589713,-0.011823273179838,0.09143407122232901,0.56462952947539,0.022677959898569997,0.028941078665697003,-0.5,-0.17848555535618
