Date,ODA/COL_LE_Value,ODA/COL_LP_Value,ODA/COL_PPPGDP_Value,ODA/COL_BCA_NGDPD_Value,ODA/COL_TX_RPCH_Value,ODA/COL_TXG_RPCH_Value,ODA/COL_TM_RPCH_Value,ODA/COL_TMG_RPCH_Value,ODA/COL_GGXWDG_NGDP_Value,ODA/COL_GGXWDN_NGDP_Value,ODA/COL_GGXCNL_NGDP_Value,ODA/COL_GGXONLB_NGDP_Value,ODA/COL_GGR_NGDP_Value,ODA/COL_GGSB_NPGDP_Value,ODA/COL_GGX_NGDP_Value,ODA/COL_NGSD_NGDP_Value,ODA/COL_PPPEX_Value,ODA/COL_PCPIPCH_Value,ODA/COL_PCPIEPCH_Value,ODA/COL_PCPI_Value,ODA/COL_PCPIE_Value,ODA/COL_PPPSH_Value,ODA/COL_NID_NGDP_Value,ODA/COL_LUR_Value
1991-12-31,,0.020776556776556997,0.057795860477414994,3.216049382716,-0.44511144461119,-0.42775063094024,-3.3139140889715,-1.4715079589338003,,,-1.8599508599508998,0.41357767596834993,0.058613420775266004,,0.013954818415785,0.05000808320310401,0.22009963333510998,0.04223320972393899,-0.17122377730404,0.30363339457032,0.26824817518248,0.0015948963317384,-0.13782180209171,-0.03917432574958599
1992-12-31,,0.01998047884251,0.06732457261679499,-0.6878965348950699,-0.55093659220675,-0.25110256169654,-2.1698630136986004,-5.9240910906912,,,-1.1914285714286001,-0.21331761932823,0.016649150948613998,,0.040498618083365995,-0.095150115473441,0.20279547131704997,-0.10947486327996,-0.064007455731594,0.27025757457135996,0.25107913669064996,-0.06210191082802599,0.07651484224645701,-0.069311588521248
1993-12-31,,0.019082465522094,0.082246104874297,-3.2408131352618996,0.44099933080526,0.48164390427265,0.8117176774610401,0.82170385395538,,,2.5820895522388,-0.21797752808989004,0.07752992383025,,0.086626551742831,-0.050876297430662,0.21026288915707997,-0.16928711479413,-0.09761828899155699,0.22453004622495998,0.22656699252444,0.035653650254668996,0.22910233490438,-0.15113732097725
1994-12-31,,0.018089924878479997,0.07385620272091499,0.31507327285415,1.4072755417957,0.31509513742072,-0.6264904499766,-0.52530898563634,,,-0.425,-0.17528735632183998,0.033981317849028,,0.028485906709903,0.18429544639656,0.22999676493051,0.017412602983744998,-0.0026481881979079,0.22850815381518,0.22597280825129,0.019672131147541003,0.20953808180536,-0.024612941643509
1995-12-31,,0.017008924938285,0.073961434525718,0.10639426903688,-1.3503311684136001,-1.3503311684136001,-0.5990810907572099,-0.63046537811972,,,6.2536231884058,-0.45993031358885,0.037357163785526004,,0.078919285991463,-0.010394590776062,0.16422948961635,-0.085529195482798,-0.13860246935433998,0.20890691576532003,0.19464627151051997,0.016077170418006,0.004190656657678,0.14957264957264998
1996-12-31,,0.016271005601494002,0.039184912870291,-0.06810551558753,-0.7997430249632901,-0.7997430249632901,-0.79327280845364,-0.8236638314079,,,1.4975024975025002,-1.2322580645161,0.06491550157699,,0.12943397922942,-0.16535794411585,0.14773772675717,-0.0044993298870382,0.11168764449011,0.20795065577660002,0.21638924455826,-0.017405063291139,-0.1288964691367,0.38077535847053007
1997-12-31,,0.013123359580051999,0.05201382219924,0.31909418425116,-6.1292392300642,-6.1292392300642,12.399568034557,12.399568034557,0.084893936147418,,0.2936,3.9398148148148002,0.016620988418353997,,0.04418438022450401,-0.10617630887653001,0.14873083158991,-0.11193383979228999,-0.18277184712786998,0.18472070252223,0.17684210526316002,-0.0080515297906602,-0.056571547594251,0.012820512820513002
1998-12-31,,0.015544041450777,0.016610751345869,-0.12738977760436998,0.19692637598284,0.19692637598284,-0.9396625832796,-0.9396625832796,0.08678306209511799,,0.19727891156463,0.006560449859419001,-0.020567005826593997,,0.0062900274473925,-0.046886747317339994,0.1354094167441,0.011207363291825,-0.05666138882605799,0.18675255168494,0.16681574239714003,-0.017857142857143002,-0.05788846204795299,0.22784810126582
1999-12-31,,0.012755102040816002,-0.027379335221298998,-1.1556002682763,-0.8250223947446998,-0.8250223947446998,-22.098842386465,-22.098842386465,0.23774215825245998,,0.38920454545455,1.0651769087523,0.018468368479467,,0.072811304314884,-0.07766224453209,0.10925347684102998,-0.41778658242758,-0.44628941373936,0.10875421547303,0.09237255653507101,-0.07438016528925599,-0.34106674165729,0.35051546391753
2000-12-31,,0.015012594458438,0.052666464138749994,0.1882183908046,-0.62457337883959,-1.7354948805461001,-1.6056385582848,-1.3172955178526,0.10829858460092999,0.1761648481274,-0.45398773006134996,-1.3390441839495,0.023887363236127997,,-0.066845580705533,0.22243819001710002,0.09620239671461599,-0.15164612837962,-0.05228970444949701,0.092237640156219,0.08754385964912301,-0.019642857142857,0.059534817554591,0.017175572519083998
2001-12-31,,0.012854873932896999,0.039953225492107,-2.2769044740024,3.95,-3.5266821345708,-0.39094076655052,0.7833200319233801,0.08181866355784,0.051869495721942,-0.012597889002383003,0.71143617021277,0.04891651411298901,,0.042079769923559995,-0.04751001717229499,0.041448834775309994,-0.13647696476965,-0.12657071053233,0.079669786448721,0.076463945797709,-0.0054644808743169,0.076262083780881,0.12382739212008
2002-12-31,,0.012618219238497,0.040775285434206,0.21496212121212,-2.915059687787,-2.915059687787,-0.9623569794050301,-1.1500708585068,0.15694342395298,0.20401048805195998,0.18413793103448,-0.77544677544678,-0.0071028492572449,-0.027995520716685002,0.013036531338513999,0.066239316239316,0.043659339943806,-0.20261109716294,-0.08475019618100998,0.063504418295866,0.06998351566012301,-0.0054945054945055,0.076097804391217,0.040601001669448994
