Date,ODA/LBR_LE_Value,ODA/LBR_LP_Value,ODA/LBR_PPPGDP_Value,ODA/LBR_BCA_NGDPD_Value,ODA/LBR_TX_RPCH_Value,ODA/LBR_TXG_RPCH_Value,ODA/LBR_TM_RPCH_Value,ODA/LBR_TMG_RPCH_Value,ODA/LBR_GGXWDG_NGDP_Value,ODA/LBR_GGXWDN_NGDP_Value,ODA/LBR_GGXCNL_NGDP_Value,ODA/LBR_GGXONLB_NGDP_Value,ODA/LBR_GGR_NGDP_Value,ODA/LBR_GGX_NGDP_Value,ODA/LBR_PPPEX_Value,ODA/LBR_PCPIPCH_Value,ODA/LBR_PCPIEPCH_Value,ODA/LBR_PCPI_Value,ODA/LBR_PCPIE_Value,ODA/LBR_PPPSH_Value
2000-12-31,,,,,,,,,,,,,,,,,,0.052631578947367995,0.063894736842105,
2001-12-31,,0.031321370309951,0.05163797890061099,-0.20636864666258,,,,,-0.0042675584852427,-0.017156055500663,-1.7562277580071002,-0.83135059482155,-0.22934723726977,-0.16894270026749,-0.0091743119266055,1.3083792513775,2.0228517764908003,0.12149000000000001,0.19312357771841002,0.0
2002-12-31,,0.014236001265421998,0.059134107708553,-0.7144360269360301,-0.70597373960108,-0.88367585986583,0.43042415222706,0.074121289382626,-0.003749307034692,-0.016125128707455,1.4588235294118,-1.6099585062241,0.0032510324224584,0.055649669659495,-0.018518518518518996,0.16552802699810998,-0.42551649148242,0.14160625596305,0.11094710131106,0.0
2003-12-31,,0.0049906425452277,-0.26719840478564,3.8216654384672,-5.3895517300153,-10.796228487733,-2.3437128418549,-3.2978975924042,0.29505972167309,0.27945399684729,-1.7311004784689,-14.0,-0.16281310211945998,-0.29431116103667,0.09119496855345899,-0.27048022598870003,-0.54601171698964,0.10330391314536,0.050370237668697,-0.25
2004-12-31,,0.0058969584109249,0.06734693877551001,-0.13352692444852,-2.369697322694,-0.5144373633356399,-27.003097173829,-11.197815981701,-0.09449773539628999,-0.10870490158381,-1.0392670157068,-0.8173731030873901,0.23935558112773,0.35042637862422,0.07204610951008701,-0.6558567279767701,0.49374627754616,0.035545392762077,0.075236646863185,0.0
2005-12-31,,0.012958963282937,0.091140854047164,-0.8340780809030999,-0.9543579639683101,-1.5956275739963999,-0.99570360854344,-1.0707541367908,-0.10136805738626,-0.11444500605002,-1.0666666666667,-0.37535816618911,-0.033679412509496,-0.036288625073672004,0.056451612903226,0.9535864978903,-0.069643806485912,0.069450426246095,0.07000522131088001,0.0
2006-12-31,,0.031069144075541004,0.11507009345794,5.4195605953225,7.6183229813665,-1.6344426494346003,20.932673267327,-6.4584313324471,-0.076460116324492,-0.09604153334371099,2403.0,21.54128440367,0.33123689727463,-0.088589900401887,0.005089058524173001,0.3699064074874,0.70157142857143,0.095137947786954,0.11910806386855999,0.0
2007-12-31,,0.013589364844903999,0.15767417496070998,-0.33274453521749,-0.93960577997189,-2.9508046445305003,-1.1762594799566999,-1.0851661733298001,-0.18667892669063002,-0.25942567405966,-0.36626455906822,-0.3038258038258,0.23195538057742998,0.50776457055215,0.075949367088608,0.19728820685306,-0.021156913777181,0.11391030767165,0.11658700283699,0.0
2008-12-31,,0.013407169921306002,0.080542986425339,3.5586532097948,-0.27923627684964003,-0.5604866078421099,-1.7977974132411,-7.338319401671799,-0.35745588791502,-0.37682629083721997,-4.3311453889071,-3.7456883952061,0.041118508655127,0.88804119778753,0.06352941176470599,0.53542270213326,-0.19478514452353998,0.17490593919323,0.093884854746146,0.0
2009-12-31,,0.042277825711821,0.059045226130652995,-0.47790581616912997,-17.182119205298,-3.3648134948918997,-4.608507223114,-1.6942805580621,-0.43576250039988,-0.57597523519311,0.0012807881773399,-0.0077717449164272,0.18232976927405997,0.12044987709196002,-0.004424778761062001,-0.57535734705546,0.034086067319982996,0.074268995415054,0.09707899897873401,0.0
2010-12-31,,0.042494481236202995,0.073942269671807,0.31623218630518,-0.9126764886433401,-0.25146933239564,-1.3097726969441001,-1.4728817795551001,-0.80072572643515,-1.1586803660037,-0.43678047820524996,-0.45386266094421,0.1629527065034,-0.020226002284066003,0.053333333333333004,-0.018311565908173,-0.31829419035846995,0.072912514946194,0.066180074718775,0.0
2011-12-31,,0.025939650608787997,0.09646539027982302,-0.089310235555086,-6.741652021089599,-4.1359640292597994,0.22716829408386,2.6958773784355,-0.11847383844994001,-0.13170731707317002,-0.46593291404612,-0.39882121807466,-0.032667336384269,-0.10873899573633,0.090717299578059,0.16403785488959,0.7299788455726801,0.084867621678933,0.11448980853333,0.0
2012-12-31,,0.026057791537667997,0.10208193418402,-0.19025111639506,2.5165799408223997,0.60630443621734,-1.1876901474374,-0.9157108943740501,-0.09366426750153302,-0.51632170313424,-0.43670264965653,-0.47320261437908,0.09219585368668,0.036550110132158996,0.032882011605416,-0.19500412395428,-0.32666608437418,0.06831622425613,0.07709053345304201,0.0
2013-12-31,,0.026150364596429998,0.10268129189519001,0.24386750223814002,-0.85231822665816,-0.72864736680833,-2.6726932668329,2.9806582965727997,0.060966489797372,-0.68749235847903,0.45354239256678003,0.21650124069479,0.046414988026483,0.06965933992961,0.011235955056179999,0.10919203747073,0.10182903100272,0.07578018837371601,0.084941973107448,0.33333333333333
2014-12-31,,0.025974025974026,0.04200055263885,0.046494889880524,-2.0667976424361,-1.247741555381,-0.13492359299292,0.08353934020970098,0.16319269627094002,-2.4471830985914997,3.1562125449461003,4.0912799592045,-0.19711247223531,0.063446734541842,0.018518518518518996,0.50844550013196,0.53696727101483,0.11430814877346002,0.1305564042704,0.0
