Date,ODA/RWA_LE_Value,ODA/RWA_LP_Value,ODA/RWA_PPPGDP_Value,ODA/RWA_BCA_NGDPD_Value,ODA/RWA_TX_RPCH_Value,ODA/RWA_TXG_RPCH_Value,ODA/RWA_TM_RPCH_Value,ODA/RWA_TMG_RPCH_Value,ODA/RWA_GGXWDG_NGDP_Value,ODA/RWA_GGXCNL_NGDP_Value,ODA/RWA_GGXONLB_NGDP_Value,ODA/RWA_GGR_NGDP_Value,ODA/RWA_GGX_NGDP_Value,ODA/RWA_NGSD_NGDP_Value,ODA/RWA_PPPEX_Value,ODA/RWA_PCPIPCH_Value,ODA/RWA_PCPIEPCH_Value,ODA/RWA_PCPI_Value,ODA/RWA_PCPIE_Value,ODA/RWA_PPPSH_Value,ODA/RWA_NID_NGDP_Value
1991-12-31,,0.030824480023941003,-0.011360767482959,-0.45909358446145,-1.6989403396719,-1.2760646720559998,-1.7519427402863001,-1.2540790827576,,,,,,-0.42956801717199,0.13023551387471002,3.6644455021418,2.5396825396825,0.19595422966898002,0.21408096555192002,-0.066666666666667,0.041012612285637
1992-12-31,,0.00058063579619677,0.09039836567926401,1.3144722524483001,-2.6033229491173,-0.44754716981132003,-4.6589611096002,-0.47382123228233003,,,,,,1.8212605832549,0.041743338104001,-0.51530612244898,-0.32291666666667,0.095036733299163,0.1449341396736,-0.071428571428571,0.19619977338098002
1993-12-31,,0.031045988684172,-0.08243559718969501,0.6137752703338,-2.2883419689119,1.7174863387977999,0.38947524899658004,9.277075316107801,,-0.06167941815433999,-0.12111161939616,-0.18531730050054998,-0.13848464261451002,0.08952984328109401,0.13216774066926,0.56747368421053,-0.13694377371507,0.1488863751609,0.12510401215585998,-0.076923076923077,0.079204313611192
1994-12-31,,-0.33234838891234003,-0.40658499234303,-2.2081573197377997,5.058817615121701,5.058817615121701,0.51406868513962,0.51406868513962,,0.14294342661566,-0.09290826284970699,-0.68375706214689,-0.34290694778783,-0.14751338944147,0.04469612700980901,2.1795715532872,4.1471622701839,0.47348407686562,0.64391137978713,-0.41666666666667,-0.43940314631016997
1995-12-31,,-0.019599578503688,0.27139784946237,-0.44043887147335,-1.3543585403495,-1.3543585403495,-2.7533917467496,-2.7533917467496,,-0.7838647172802501,-0.9934012336824,3.2291201429209,0.35118746841839,0.99030694668821,0.51931081211887,0.019050837434262,-0.40386078799832004,0.48248847926266997,0.38385102887098,0.14285714285714002,0.42237745393230997
1996-12-31,,0.23817712811694,0.13633288227334,-1.1366084895497,0.8434485342324599,0.8434485342324599,-1.1002256790521001,-1.1002256790521001,-0.17177354575273,1.4189079054605,91.60869565217399,-0.09166754673143901,0.08157255048616299,-0.25009018759018997,0.11528869957769002,-0.7215693589504399,-0.7724170270411099,0.13433322971713002,0.087352292644315,0.125,0.057493649449618996
1997-12-31,,0.031076388888889,0.16880023816611997,4.4353312302839,-0.66007875015877,-0.66007875015877,6.2903096099719,6.2903096099719,-0.1344574320843,-0.56182614555256,-0.68262910798122,0.019707010812696,-0.12940312054285,-0.28683102826218,0.13574453847347,-0.12989429804972,0.90190018315018,0.11689023471219,0.16615536605657,0.0,-0.047721995355913
1998-12-31,,0.044283549419094,0.09500764136525698,0.24347069065583,-1.9307973992975,-1.9307973992975,-1.1442005405106999,-1.1442005405106999,-0.029460513107827,0.17800845828527,0.56730769230769,-0.06795507667749799,-0.036240877724271,0.39510961214165,0.011862933183879,-0.41466335871332,-1.3585916340656001,0.06842996295115,-0.059580871697693,0.11111111111111001,0.07769276044732201
1999-12-31,,0.066268945501451,0.06745754826703901,0.8368728121353599,-2.2566037735849,-2.2566037735849,-1.7898259705488997,-1.7898259705488997,0.11794347564641999,0.40665796344648,0.61538461538462,0.014557465288397,0.076443620254469,0.44578750151094,-0.06099102425722901,-1.3541362174803,-1.3452500839208001,-0.024227253938364002,0.020577253600427,0.0,0.20519622376531002
2000-12-31,,0.13337365794647002,0.089126171279146,-0.30212171261593,-1.2247779694588001,-1.2247779694588001,-6.3530266343826,-6.3530266343826,0.10278946179416001,-1.1925754060325,-1.5217645340345,0.22029300054259,-0.071062831985452,0.25817239361257,0.022633947139562,-2.6099876186546003,1.8351968886728,0.039008260572827004,0.058315234433979,0.0,-0.00032368744740073
2001-12-31,,0.069112741827885,0.10964385754302,0.11396322592389999,-6.1225127913587,-6.1225127913587,-1.1396779446354,-1.1396779446354,-0.037712658030279,-2.5072289156627003,-1.2295632698768,-0.013339261894174998,0.09318977951782399,0.092431390790086,-0.01107019256367,-0.13893873365804002,-1.0375514403291999,0.033579849825022004,-0.0021948596387261,0.1,0.028428959979277003
2002-12-31,,0.043429427180831,0.14929679047962,0.3301193005393,-0.44059708118305996,-0.44059708118305996,1.7415803108808001,1.7415803108808001,0.09382032723070402,-0.7130295763389299,-2.2585365853658996,0.0063592208702618,-0.03600207341784101,-0.05316301703163,-0.06472695186605901,-0.41024114319738003,-29.150684931507,0.019822050798799,0.061646246233035,0.09090909090909101,-0.085448019646118
2003-12-31,,0.025953833273531998,0.042359585817383,-0.30015972478190994,-0.6370399761928399,-0.6370399761928399,-0.77947082447437,-0.77947082447437,-0.067506325242583,9.866295264624,-6.8624031007752,-0.13145586625535,0.043945837610598004,0.023769754593344,0.19410753547870999,2.7582029278142,0.24525547445255,0.074448539287211,0.076776445968486,0.0,0.0024098044615808
