Date,ODA/TJK_LE_Value,ODA/TJK_LP_Value,ODA/TJK_PPPGDP_Value,ODA/TJK_BCA_NGDPD_Value,ODA/TJK_TX_RPCH_Value,ODA/TJK_TXG_RPCH_Value,ODA/TJK_TM_RPCH_Value,ODA/TJK_TMG_RPCH_Value,ODA/TJK_GGXWDG_NGDP_Value,ODA/TJK_GGXCNL_NGDP_Value,ODA/TJK_GGXONLB_NGDP_Value,ODA/TJK_GGR_NGDP_Value,ODA/TJK_GGX_NGDP_Value,ODA/TJK_NGSD_NGDP_Value,ODA/TJK_PPPEX_Value,ODA/TJK_PCPIPCH_Value,ODA/TJK_PCPIEPCH_Value,ODA/TJK_PCPI_Value,ODA/TJK_PCPIE_Value,ODA/TJK_PPPSH_Value,ODA/TJK_NID_NGDP_Value
1993-12-31,,0.0066835260115608,-0.089807162534435,0.8189253731343299,,,,,,,,,,-1.5355583720603,,,,25.666666666667,73.375,-0.1304347826087,0.00079948224007313
1994-12-31,,0.0061008433518751,-0.19733656174334,-0.33787376505728006,-0.8613642236778499,-0.54146022758208,-1.010551440907,-1.012532585305,,,,,,-6.5411517223245,3.0,-0.8652839699851801,-0.99985362200436,3.5,0.010924369747899,-0.25,0.54309951308582
1995-12-31,,0.010879258070269002,-0.10671191553544,-0.11336935507857,-0.35821379366237,-0.24976252671574,-9.4231536926148,-7.6040018613309,,,,,,-0.6067954254259,2.5,0.7481575987989398,1993.6465116279,6.126388888888901,21.440565253533002,-0.13333333333333,-0.39211142610625
1996-12-31,,0.01182074805928,-0.026171380329252997,-0.5619478922061899,-2.8501073367849,-2.2447574582575,-0.6983412322274899,-0.6272547914317901,,,,,,-0.82814385710838,3.7857142857143,-0.3167592137552,-0.98109078020469,4.1845644123952,0.40546747666321004,-0.076923076923077,-0.67727807291455
1997-12-31,,0.015170008718396001,0.034460338101429996,-0.48806636885769,-0.7568084089823199,-0.95886840432295,1.1008117308196002,0.46238185255197994,,,,,,0.49648876404494,0.97014925373134,-0.7898162840046601,3.0339860898732,0.87955792797534,1.6356017078699,-0.083333333333333,-0.12930384518723
1998-12-31,,0.020096186877362,0.064320134087576,0.82398404387933,-4.2222845916363,-21.741885625966,-2.170011217749,-2.0606256463288997,,,,,,1.3847958704833,0.53030303030303,-0.50912956478239,-0.98333965101919,0.43175,0.02725,0.09090909090909101,-0.04214172319237999
1999-12-31,,0.031655160801482,0.052952755905512,-0.87602515035539,-1.1624422959673,-1.2143070044709,0.36774262277618,0.52236441194394,0.11639587022482001,-0.15044247787610998,-0.14657738095238002,0.12118193891102001,0.044420626414195,0.5055096418732801,0.24257425742574,-0.36416907932830994,10.06128440367,0.27451719923171,0.30142613774641,0.0,-0.33915925870122
2000-12-31,,0.020075077525706,0.10768367919236999,0.7861080485115799,-2.0707774798928003,-2.1821974965229,-1.528857387647,-1.5034024497637999,0.033597076256644,0.37772817460317,0.22929380993896997,0.0069588392063963,0.092189281641961,0.7500980264017801,0.21513944223107997,0.19667055223663002,1.0114126468051,0.32850903391623,0.6062802474399499,0.0,2.422024623803
2001-12-31,,0.02016,0.12708860759494,2.0549382716049,-3.6499749624437006,-2.9373529411764996,-0.69646539027982,-0.8199745547073799,-0.073409974064202,-0.42610261026103,-0.60709219858156,0.11770327892957,-0.039985383932765996,-0.34936519790889004,0.2327868852459,0.17475875924629,-0.79417101009435,0.38591729400846003,0.12479161039758999,0.083333333333333,-0.089812778999267
2002-12-31,,0.020545796737767,0.10766696615753,-0.28551222469186,5.869992441421,5.3531197813875995,4.8714216399806,7.458480565371,-0.12189948570930001,-0.23431618569635998,-0.66365824308063,0.10109846740775,0.043010168016965,0.17940771349861998,0.20212765957447,-0.6831726782752899,0.15962817533456,0.12227179513127001,0.14471309099942,0.076923076923077,0.010980162506405001
