Date,ODA/ALB_LE_Value,ODA/ALB_LP_Value,ODA/ALB_PPPGDP_Value,ODA/ALB_BCA_NGDPD_Value,ODA/ALB_TX_RPCH_Value,ODA/ALB_TXG_RPCH_Value,ODA/ALB_TM_RPCH_Value,ODA/ALB_TMG_RPCH_Value,ODA/ALB_GGXWDG_NGDP_Value,ODA/ALB_GGXWDN_NGDP_Value,ODA/ALB_GGXCNL_NGDP_Value,ODA/ALB_GGXONLB_NGDP_Value,ODA/ALB_GGR_NGDP_Value,ODA/ALB_GGX_NGDP_Value,ODA/ALB_NGSD_NGDP_Value,ODA/ALB_PPPEX_Value,ODA/ALB_PCPIPCH_Value,ODA/ALB_PCPIEPCH_Value,ODA/ALB_PCPI_Value,ODA/ALB_PCPIE_Value,ODA/ALB_PPPSH_Value,ODA/ALB_NID_NGDP_Value,ODA/ALB_LUR_Value
1991-12-31,,-0.017516421645292,-0.25604551920341,1.8674672489083002,,,,,,,,,,,-1.195692604413,0.31134820562561,-199.42777777778,,0.35728444003964,1.04056393767,-0.29411764705882004,-0.8092107845061,0.052382641598676
1992-12-31,,-0.0098694683221904,-0.050889836740697,-0.33815579075610996,,,,,,,,,,,-2.1743517540772,2.4182692307692,5.327407117059099,1.2737801186002,2.2597663380796003,2.3658181818182,-0.16666666666667002,-0.21783400185128,1.9775280898876002
1993-12-31,,-0.0048231511254018,0.12211374554471001,-1.2045559134837,,,,,,,,,,,1.4812668598262,1.098452883263,-0.6238650241597199,-0.86921548736157,0.8499747997984,0.30942091616249,0.1,1.5385930309007,-0.15849056603773998
1994-12-31,,-0.020032310177706,0.11724899875708,-3.2131608548931,,,,,,,,,,,-0.066519025568754,0.34171994225614005,-0.7345450267631299,-0.48870430819947996,0.22566974421069,0.15822332233223,0.045454545454545005,0.35605511240029,-0.17488789237668
1995-12-31,,0.0013188262446423,0.11174289245983,-0.46886912325286,,,,,,,,,,,-0.016089375835742,0.07592991085152201,-0.65464214491469,-0.6201643489254101,0.07792047419115801,0.060076460950300004,0.043478260869565,0.0055767761650115,-0.29891304347826
1996-12-31,,0.008561080013171,0.11096286413163998,1.7162679425836997,,,,,,,,,,,-0.27400263042525,0.12546428571429,0.6340305402284101,1.8964886004327,0.12734562951083,0.17404744304818,0.041666666666667,-0.15349844260426998,-0.046511627906977
1997-12-31,,0.0081619327456741,-0.08666933546837499,0.74546415360225,,,,,,,,,,,-0.55344202898551,0.12026782597658,1.6045233233862,1.417351335823,0.33166676828649,0.4207543929941,-0.12,-0.22324433475432,0.21138211382114
1998-12-31,,-0.0087435233160622,0.13927240850317998,-0.66959329902109,-2.2788305075849,-3.4671169833729,-3.9196040803959,-4.0837423915178,-0.10508959387263,-0.10508959387263,-0.20958129584351998,-0.78057851239669,0.32340378928922997,0.10086124401914001,0.8309668695064201,0.12336062091040001,-0.37749502502563,-0.7935304463564201,0.20646500412075003,0.086858432036097,0.09090909090909101,-0.022876949740035,0.18791946308725
1999-12-31,,0.012740934335184998,0.11782244878329999,-1.682956627978,2.6510692443458996,-0.2354003068869,0.34026360397135996,-0.036038330521155,-0.040191248530635,-0.040191248530635,-0.091251812469792,0.21594475831764,0.055858987090367004,0.011792999536393001,0.6955686853766601,0.02902314791467,-0.9811101424004599,-1.1184528605963,0.0038962681846933,-0.010279981219265,0.083333333333333,0.2302826061251,0.03954802259887
2000-12-31,,-0.013548387096773999,0.097401479951816,-2.6475849731664,-0.81727018246001,-1.2837917601228,-1.0885837441602,-1.4722745136894,-0.041777900096326,-0.041777900096326,-0.09435166471652001,0.3758389261745,-0.05521592601301,-0.065723531601707,0.12257165258298,0.0049008797079076,-0.9,-5.0845481049562995,0.00039063484462804,0.04203390676887,0.0,0.41549329616993,-0.08695652173913
