Date,ODA/OMN_LE_Value,ODA/OMN_LP_Value,ODA/OMN_PPPGDP_Value,ODA/OMN_BCA_NGDPD_Value,ODA/OMN_TX_RPCH_Value,ODA/OMN_TXG_RPCH_Value,ODA/OMN_TM_RPCH_Value,ODA/OMN_TMG_RPCH_Value,ODA/OMN_GGXWDG_NGDP_Value,ODA/OMN_GGXCNL_NGDP_Value,ODA/OMN_GGXONLB_NGDP_Value,ODA/OMN_GGR_NGDP_Value,ODA/OMN_GGX_NGDP_Value,ODA/OMN_NGSD_NGDP_Value,ODA/OMN_PPPEX_Value,ODA/OMN_PCPIPCH_Value,ODA/OMN_PCPIEPCH_Value,ODA/OMN_PCPI_Value,ODA/OMN_PCPIE_Value,ODA/OMN_PPPSH_Value,ODA/OMN_NID_NGDP_Value
1991-12-31,,0.036353771025501996,0.09572216269893101,-1.1855733662146,-1.0649350649351,-1.0714814814815,0.68271428571429,0.8448214285714299,0.30832701062215007,-0.9756398940865,-1.1925309597523002,-0.08653473030655799,0.029770428195297998,-0.46389621129891,-0.11504424778761,-0.5405054440115901,,0.046,0.027370478983382004,0.041666666666667,0.22119599248591001
1992-12-31,,0.036125654450262,0.10965895540186,1.5780730897009998,-31.605999999999998,-27.497409326425,-0.46846082010357,-0.26948020520763,0.071185212033345,-42.876811594203,5.0301507537688,-0.059942762598936,0.072599636665396,-0.12273428461242,-0.01,-0.79217391304348,-0.61746437705517,0.0095602294455067,0.0104662226451,-0.026666666666667005,0.08947570824253301
1993-12-31,,0.034360788276908,0.08670048143053599,1.4656357388316,-0.56845063059531,-0.57013427193326,0.13608049832295,0.12567907777925,-0.0097448737903499,0.41252811905174,0.43033333333333,-0.05660601736235,8.3640013382504e-05,-0.53489394438949,-0.080808080808081,0.18828451882845,-0.7755491881566401,0.011363636363636001,0.0023540489642185,0.041095890410959,0.074538180962466
1994-12-31,,0.031753786028334,0.060539535619635,-0.47134146341463,-0.152634766808,-0.1502653525398,-1.8809925488541999,-1.8268495085634,0.09239390418916199,0.092368001960064,0.049638778839431,-0.027858313374511005,-0.0073387973571968,0.50330812854442,-0.021978021978022,-1.5765845070423001,-4.795744680851099,-0.0065543071161049,-0.0089243776420855,0.0065789473684211,-0.10177935943060999
1995-12-31,,0.028409090909091002,0.070193760140238,0.016806722689076,-0.7973552537526801,-0.7938972162740899,-1.0580866512407,-1.0820698982134,-0.071066624960901,-0.47818773129976005,-0.53075044404973,0.062707468879668,-0.038881984961139,-0.09698208110657001,0.0,0.72671755725191,-0.6390134529148,-0.011310084825636002,-0.0032227488151659,0.013071895424836999,-0.049615994148482
1996-12-31,,0.024401473296500997,0.04765887744611099,-1.2254091719331999,6.755731922398599,6.584415584415599,13.605769230769,5.8725065047702,-0.0356589669338,-1.5673758865248,-1.7187130352496,0.036995460979062,-0.12660252898249,1.1483028720627,0.05617977528089901,-1.4385499557913,-1.2080745341615,0.0049571020019065,0.00066565233929258,-0.012903225806451998,-0.08786557208825
1997-12-31,,0.022022471910112,0.079954093343535,-1.9015097052480001,0.51540648095509,0.11643835616438002,0.94723972538324,0.51274608783443,-0.014909738468522,1.1545454545455,1.0,0.033840071539512004,-0.040397450695037,0.04666990763247401,-0.042553191489362,-1.7258064516129,-0.49253731343284,-0.0035951432365775,0.00034210776394566,0.019607843137255002,0.29004359443115996
1998-12-31,,0.019349164467898,0.038180166027507005,17.634768740032,-1.1466086434573999,-1.5311860940695,0.015406906544313,0.5492617001751899,0.42212533673614,-1.9205344585091,-1.8522053982883,-0.13393426204134,0.13178537809853,-0.39139185632450996,-0.15555555555556,-2.1916666666666997,12.823529411765001,0.0042840414695215,0.0047023730359279,0.0,0.9399356843080601
1999-12-31,,0.018550474547022997,0.018677308331355,-0.8712769599452199,-2.4165813715455,-1.7851780558229,-1.5454718417047,-1.807064778418,-0.12938361456594,-1.0687547746371,-1.1836616454228999,0.077060555088309,-0.061570095185288,1.0366319002798,0.10526315789474001,0.19347319347319,-1.7340425531915,0.0051189200974491,-0.0034417223740319,-0.025641025641026004,-0.3627500561924
2000-12-31,,0.017365523083439,0.089737428459085,-6.4504654255319,2.7622832369942003,1.9899485167933,-1.5771712591559,-1.5232852949026001,-0.25276266819353,38.761111111111,14.401682439537,0.24612005856514999,-0.09520175287427099,1.0141768673495,0.1547619047619,-3.337890625,1.9565217391303997,-0.011968197979836,-0.010209019232047,0.013157894736841999,-0.30091265817204
