Date,ODA/MDA_LE_Value,ODA/MDA_LP_Value,ODA/MDA_PPPGDP_Value,ODA/MDA_BCA_NGDPD_Value,ODA/MDA_TX_RPCH_Value,ODA/MDA_TXG_RPCH_Value,ODA/MDA_TM_RPCH_Value,ODA/MDA_TMG_RPCH_Value,ODA/MDA_GGXWDG_NGDP_Value,ODA/MDA_GGXWDN_NGDP_Value,ODA/MDA_GGXCNL_NGDP_Value,ODA/MDA_GGXONLB_NGDP_Value,ODA/MDA_GGR_NGDP_Value,ODA/MDA_GGX_NGDP_Value,ODA/MDA_NGSD_NGDP_Value,ODA/MDA_PPPEX_Value,ODA/MDA_PCPIPCH_Value,ODA/MDA_PCPIEPCH_Value,ODA/MDA_PCPI_Value,ODA/MDA_PCPIE_Value,ODA/MDA_PPPSH_Value,ODA/MDA_NID_NGDP_Value,ODA/MDA_LUR_Value
1993-12-31,,0.0,0.011533312738131999,2.6144284128746,,,,,,,,,,,-0.31416169289202,8.25,,,7.88503,8.37,-0.03333333333333299,-0.09355200026748299,
1994-12-31,,-0.17977272727273003,-0.2943092741525,-0.48246637597493996,-0.73061313629498,-0.5758759584587,-0.37330099825165003,1.0056379070062,,,,,,,-0.25472046413502,2.6918918918919,-0.5819470566377,-0.86129032258065,3.2963557804532004,1.161,-0.31034482758621,-0.32314048062559003,3.794756812694
1995-12-31,,0.20421169298974998,0.0063473744950952,-0.30319212056484995,-1.3554249425753,-1.3009897591394999,-1.5152987760979,-1.3617068317488,,,,,,,0.035101376455186004,0.36017569546120004,-0.90833525464452,-0.79500430663221,0.30215687687058,0.23800001679131003,-0.05,-0.042915531335150005,0.035971223021582996
1996-12-31,,-0.0032213529682467,-0.041571100917431,0.92847411444142,1.563581068238,1.563581068238,1.8466643381069,1.8466643381069,0.10080523402114,0.10080523402114,0.5389416553595701,-7.2542787286064,-0.090512651488261,-0.036705544090709,-0.27388643899771,0.2551130247578,-0.22206777866031,-0.36554621848739,0.23505680021309,0.15100011050063,-0.10526315789474001,-0.07291103202847,-0.09722222222222197
1997-12-31,,-0.0032317636195753,0.033801974274604,0.25865418580007,-0.6140728108549001,-0.6140728108549001,-0.61042944785276,-0.61042944785276,0.017795912769166998,0.017795912769166998,0.37753482630929003,0.40109460516028,0.072702943800178,0.11426439437705001,0.014217786356575,0.10634648370496999,-0.49914915340764,-0.26490066225166,0.11772820607881,0.11100004990822,0.0,0.09925070630143701,-0.076923076923077
1998-12-31,,-0.15331171838814,-0.055266203703704005,0.38412965691433004,-6.609990393852099,-6.609990393852099,-2.4330708661417,-2.4330708661417,0.7901380139024599,0.7901380139024599,-0.76267281105991,-1.7712053571428998,-0.023596673596672998,-0.14830096563047,-0.4161444552755,0.082945736434109,-0.34630085789518,0.63963963963964,0.0769577723083,0.18199979785149,-0.11764705882353,-0.097496927030953,-0.23066666666667004
1999-12-31,,-0.0016411378555799,-0.018836140888207998,-0.7051399026764001,-0.027397260273973,-0.027397260273973,1.3626373626374,1.3626373626374,-0.05439432908851401,-0.05439432908851401,0.73462783171521,0.38205499276411,-0.19144575747897,-0.14787196266423003,0.6256956590873001,0.37652111667859994,4.1016112266112,1.4065934065934,0.39262059240349,0.43800013512885994,-0.066666666666667,-0.18699312821148,0.20428942807626002
2000-12-31,,-0.0016438356164383,0.04432651787107799,0.28416709644146004,-1.1906338028169,-1.1906338028169,-1.606976744186,-1.606976744186,-0.44667272570469,-0.44667272570469,0.041666666666667,-0.24214659685864,0.0032917475887948,0.0069353494463628,-0.031005477308294,0.27041081643266,-0.20518567571698001,-0.57762557077626,0.31205576039634003,0.18499993025665,0.0,0.038796877974490995,-0.23547400611621
2001-12-31,,-0.0024698133918772,0.085487968913466,-0.7578313253012,3.617657923901,3.617657923901,-0.42528735632184006,-0.42528735632184006,-0.10542154229810001,-0.10542154229810001,-0.9244776119403,0.3578583765112299,-0.043177269595459,-0.13045020544503,0.10598566670031,0.073679901760131,-0.6910530026277,-0.65405405405405,0.09641270084837598,0.064000022303005,0.0,-0.13051605336461,-0.14117647058823998
2002-12-31,,-0.0019257221458046,0.09472669695718,-0.34162520729685003,-0.4,-0.4,0.066666666666667,0.066666666666667,-0.073108624271259,-0.073108624271259,2.2964426877469997,-0.66369880437548,0.013613139937592,0.033247212401414,0.23952724285845,0.081585970263058,-0.45866611347371006,-0.30609375,0.052185874474749,0.044409786852412,0.071428571428571,0.19521139822114003,-0.06849315068493199
