Date,ODA/BRB_LE_Value,ODA/BRB_LP_Value,ODA/BRB_PPPGDP_Value,ODA/BRB_BCA_NGDPD_Value,ODA/BRB_TX_RPCH_Value,ODA/BRB_TXG_RPCH_Value,ODA/BRB_TM_RPCH_Value,ODA/BRB_TMG_RPCH_Value,ODA/BRB_GGXWDG_NGDP_Value,ODA/BRB_GGXCNL_NGDP_Value,ODA/BRB_GGXONLB_NGDP_Value,ODA/BRB_GGR_NGDP_Value,ODA/BRB_GGX_NGDP_Value,ODA/BRB_NGSD_NGDP_Value,ODA/BRB_PPPEX_Value,ODA/BRB_PCPIPCH_Value,ODA/BRB_PCPIEPCH_Value,ODA/BRB_PCPI_Value,ODA/BRB_PCPIE_Value,ODA/BRB_PPPSH_Value,ODA/BRB_NID_NGDP_Value,ODA/BRB_LUR_Value
1991-12-31,,0.0,-0.006941431670282,-0.37370430987452,3.0739732805542004,1.3883062778336,-22.262449528937,-26.561389337641,,,,,,-0.15073687222779,0.011254924029263,1.0750988142292,1.3774912075028998,0.06300033899189,0.081123183144332,-0.11111111111111001,-0.10831537583977999,0.15329541652727
1992-12-31,,0.0,-0.03538663171690701,-7.3893728222997,-1.515576607761,-0.85732330827068,-2.3785289277124,-2.4612419023542,,,,,,0.24993682082385998,-0.0011129660545353,-0.048253968253967994,-0.59294871794872,0.059953391389673,0.033018291938359,-0.125,-0.46222190631885995,0.32948479925737
1993-12-31,,0.0,0.032155797101448995,-0.5517382413087901,-1.1070671378092,-2.0379426644182,-1.3263385067498998,-1.2734802448043998,,,,,,-0.10008087343308,0.027298050139275998,-0.8025350233489,-1.2934585099939,0.011837811567035,-0.0096810799309677,0.0,0.31720856463124,0.065241108444251
1994-12-31,,0.055999999999999994,0.041684949539272,0.94464720194647,9.273927392739301,-4.7932575142161,-0.23730125228648,-0.14273287996204,,,,,,0.33775181607129,0.0010845986984816,-0.40878378378378005,-1.8255933952528,0.0069990050434006,0.0079972308096301,0.0,0.15081276339554,-0.1102007374027
1995-12-31,,0.0,0.041280539174389,-0.6015014075696,-1.0994753185566,1.3487525430988,0.22359560926114,0.6046490176183,0.012404952792263,-0.44636251541307004,-0.011001410437236,0.05447337844303201,0.06874978032406599,-0.17275933493814002,0.0010834236186349,1.6714285714286,1.375,0.018704643794079,0.018993712181317,0.0,0.066265585491324,-0.09599447513812101
1996-12-31,,0.0037878787878788,0.058656957928803,0.44230769230769,-13.927879440258,-0.099566902211078,-0.69596683000377,-0.74068751437112,-0.023666356561003996,-4.3763919821826,-0.60182544209926,0.011051335234638,0.07580491334232299,0.025850984638289,-0.0037878787878789,0.28449197860963,0.26315789473684,0.024024526198439,0.024008459902617997,0.0,-0.060838989287759,-0.19332824038706
1997-12-31,,0.0037735849056604,0.065341994650363,-1.3787755102041,-0.28059950041632,-0.6190572629234,4.4458219687577,4.966969629793799,-0.077786557590406,0.90699208443272,-1.0888252148997,0.0050325351796647,0.046863536316948,-0.08252523253512799,-0.0081477457903313,2.1931723563696996,2.2083333333332997,0.07669696804746601,0.07699815022866799,0.0,0.33217239878102,-0.07841404129048599
1998-12-31,,0.0037593984962406,0.048780487804878,1.1343390804598001,-0.5662037037036999,-1.6101807549176002,-0.45763329235532,-0.39677527213284997,-0.12882739850306,-0.8758215150466999,-20.443548387097,0.0079734643107737,-0.06663746532340499,0.13165084843256,0.08214676889375701,-1.1603650586701002,-1.1688311688312,-0.012305358948433001,-0.013002613166990001,0.0,0.22287581699345999,-0.17393985065424
1999-12-31,,0.0,0.018809849521203997,0.50656344665096,0.5731056563500501,-1.7800043563494,-0.91462390866353,-0.90207550655909,-0.010847869478434,-3.7493036211699,0.6802156781418499,0.06622579420326599,0.023402058630291,-0.043776605883474,0.033400809716599,-2.239837398374,-2.2307692307692,0.015253421782705,0.016002989217466002,0.0,0.043613041154462996,-0.14388787526953
2000-12-31,,0.0074906367041199,0.045988586774084995,-0.19928507596067999,0.64755766621438,0.7997765987154399,-6.664700098328401,-5.0050314465409,0.16692987073756,-4.1955420466059,-1.1525549247098998,-0.071608748553284,0.05276512488153799,-0.050232558139535005,-0.019588638589618002,-0.45311475409836,2.1725,0.008338963225878,0.05076232806901401,-0.14285714285714002,-0.08440028679709101,-0.10074590719752001
2001-12-31,,0.0037174721189591,-0.0032092426187421,0.022042410714285997,-1.3509367922586,-1.4249806051201999,-1.1228953306718001,-0.56721105527638,0.15883915593203002,-1.0263157894736998,-5.8883495145630995,0.15618207390358999,0.04791358132241501,-0.23366447460473,0.00099900099900111,2.0923261390887,-1.2454688731283998,0.025789999999999997,-0.012459999999999999,0.0,-0.18240295335049,0.06183345901109599
2002-12-31,,0.0037037037037037,0.022215067611075,0.39366639366639006,-0.034320915224406,1.5721066082512,-2.8968926553672003,-0.7275036284470201,0.024178200692040998,-47.048192771084004,-1.2353525322741001,-0.033784904617086005,0.074348103195056,0.069015884608362,-0.0039920159680639,-0.8476153547886801,-2.5288924558587005,0.0039286793593231,0.019047329728416,0.0,0.15030444003557,0.045145581820025996
2003-12-31,,0.0036900369003690005,0.04,-0.28677766895201,-2.6622114216282,-0.39943222143364004,-0.84959046909903,-3.3195739014647,-0.0027661641116601,-0.47697540554683,-2.5330520393812,0.022061348288886003,-0.02713438225432,0.21178479931682,-0.0075150300601202,2.9847328244274998,-0.8404199475065601,0.015662931386067,0.0030406916082873,0.0,0.06048530986083,0.06814210832848
