Date,ODA/COM_LE_Value,ODA/COM_LP_Value,ODA/COM_PPPGDP_Value,ODA/COM_BCA_NGDPD_Value,ODA/COM_TX_RPCH_Value,ODA/COM_TXG_RPCH_Value,ODA/COM_TM_RPCH_Value,ODA/COM_TMG_RPCH_Value,ODA/COM_GGXWDG_NGDP_Value,ODA/COM_GGXWDN_NGDP_Value,ODA/COM_GGXCNL_NGDP_Value,ODA/COM_GGXONLB_NGDP_Value,ODA/COM_GGR_NGDP_Value,ODA/COM_GGX_NGDP_Value,ODA/COM_NGSD_NGDP_Value,ODA/COM_PPPEX_Value,ODA/COM_PCPIPCH_Value,ODA/COM_PCPIEPCH_Value,ODA/COM_PCPI_Value,ODA/COM_PCPIE_Value,ODA/COM_PPPSH_Value,ODA/COM_NID_NGDP_Value
1991-12-31,,-0.033185840707965,-0.022869022869023002,-0.0088305489260145,-5.683917586173201,-4.9137674484518,-0.72018197402255,-0.43582042364844004,,,1.3995997331553998,18.719008264463,-0.07079703339055,-0.0026872586872588,-0.34319720462983005,0.046367807977409,-1.2300405953992,,0.016998250180128,,0.0,-0.011140894622215
1992-12-31,,0.02745995423341,0.10851063829786999,0.28365037322418,-1.1609197798532,-1.2876980175613002,2.1814326107446,0.35574857569814006,,,-0.077286627745343,-0.013411567476949,0.049632288871075,0.035493062438058,0.62568578553616,-0.088430554993321,-1.8235294117646998,,-0.013995922675418998,,0.0,0.55815332486235
1993-12-31,,0.026726057906459003,0.055662188099808,-1.6812980679047,-3.6165306386838,-2.2788370775911,-1.4833358021034,-1.6884816753926999,,,-0.72341066586321,-1.0267629566695,-0.054457911339864,-0.12086498773703,-0.063046479521399,0.0044407931256524,-2.4285714285714,,0.020001466383166,,0.0,-0.14868979014896
1994-12-31,,0.028199566160520998,-0.032727272727273,-2.0696585903084,-1.8387384264989999,-2.7732998720598,0.06114005516396,0.20902541524915,,,6.7309368191721,-94.984126984127,0.075961369622476,0.28384309189263,0.064614712944772,0.07136488567617899,10.880999999999998,,0.23761123650426,,0.0,0.24663133022543
1995-12-31,,0.027426160337552997,0.05827067669172901,1.1047619047619,-1.6087367178276002,-1.5637261703249,-1.5413718411552,-1.485806505007,,,0.023390164858391002,0.068569498395541,-0.21231803642535002,-0.16800932796269,-0.65921673159729,0.06107458251946401,-0.86743540106052,,0.031503014392417004,-0.070319761118472,0.0,-0.20454894728754003
1996-12-31,,0.026694045174537998,0.0035523978685613,0.43793567322978993,-2.0322924747867,-2.5703174993847,-2.2325953587622998,-1.5604770017036,,,-0.20404791408509002,-0.22522522522523,-0.14743297559359,-0.16053000382214003,-0.26323706377857997,0.013994399647385001,-0.23809523809524,,0.023998017995698,0.0,-0.5,-0.49446161772282005
1997-12-31,,0.026000000000000002,0.060176991150443004,-0.053750637863582,-1.4243306716768,-2.1105607974672,-1.9552045011902,-2.5173252279635,,,-0.62376751427089,-0.75112199102407,0.099975698663427,-0.058772196084383,-1.4889750918741997,-0.0096206091987087,-0.375,-1.2151592718998998,0.015000549873529,0.015123476485227,0.0,0.38777070063694
1998-12-31,,-0.011695906432748999,0.023372287145242,-0.13113428006471,-7.3584237325659,-0.7332336005419399,-3.399410965111,-1.2127403846154,,,1.5172413793103001,2.6622950819672004,-0.17417815482503002,-0.025879791994195,-4.969519832985401,0.0039824436842444,-0.2,1.8070059484468002,0.011994279151407,0.042473388651412,0.0,0.058013585459886
1999-12-31,,0.021696252465483002,0.034257748776509,-0.5986345298438001,-1.2577904669057,-3.4245053433498995,-0.6671702388820699,3.9293785310733997,,,-0.8677625570776301,-1.0447627573859,-0.016907437132156,-0.2096834264432,-0.094772273061954,0.04216089027753701,-0.083333333333333,-1.3030374381917,0.011006306142333002,-0.012864063033908999,0.0,-0.22887385042513
2000-12-31,,0.042471042471043004,0.037854889589904996,-1.0664948453608,0.51823338735818,-0.8848302347909599,1.4141843971631003,-1.5083094555874,,,1.6367403314916997,-6.095,-0.21470556220747,-0.14451775054979998,0.20230072042761,0.011264304000494,4.3636363636364,-3.6013986013986004,0.058996706520243,0.033485369876402,0.0,0.13557605760576
2001-12-31,,0.022222222222222,0.056231003039514005,11.709302325581,-2.9616582154613,6.634710117468701,-1.8413631022327,2.6144306651635,-0.12001294892043,-0.12001294892043,0.88632792037716,1.4425907752698999,0.27340772056276,0.34502387073081003,0.28230404948293997,0.062099297875325,-0.055762711864407004,1.8061529271207,0.05571,0.093950409315247,0.0,-0.0039631427722183
2002-12-31,,0.021739130434781997,0.057553956834532,-1.2092101250381,-1.4195728084894,-1.5491363907088,0.45307262569831996,0.20908712830110002,-0.08961596343570599,-0.08961596343570599,0.0091641210774785,0.051426275612696,0.11625122455644,0.098703071672355,-0.24969852276152998,0.025960450517199,-0.35774546760007003,-1.0995210218201001,0.0357768705421,-0.0093563143865716,0.0,0.095294936834776
2003-12-31,,0.021276595744681,0.04489795918367401,3.6326530612245,-2.866299178556,-4.0424801156905,0.0078815840061516,-0.046349643133545,-0.083780275757353,-0.083780275757353,-0.053659878921299,-0.07222009935040101,-0.12155046318869,-0.11133200795229,-0.28407835258664,0.030700158427149,0.037730575740637,-5.9572192513369,0.037138310714416,0.046359843285549006,0.0,-0.064117700481337
