Date,ODA/VUT_LE_Value,ODA/VUT_LP_Value,ODA/VUT_PPPGDP_Value,ODA/VUT_BCA_NGDPD_Value,ODA/VUT_GGXWDG_NGDP_Value,ODA/VUT_GGXCNL_NGDP_Value,ODA/VUT_GGXONLB_NGDP_Value,ODA/VUT_GGR_NGDP_Value,ODA/VUT_GGX_NGDP_Value,ODA/VUT_PPPEX_Value,ODA/VUT_PCPIPCH_Value,ODA/VUT_PCPIEPCH_Value,ODA/VUT_PCPI_Value,ODA/VUT_PCPIE_Value,ODA/VUT_PPPSH_Value,ODA/VUT_NID_NGDP_Value
1991-12-31,,0.02027027027027,0.065116279069767,-1.9948942377826002,,,,,,0.067175274289993,0.35931918470267,0.30111008325624,0.06469095331253599,0.056260871822830995,0.0,
1992-12-31,,0.019867549668874,0.048034934497817,-0.060850439882698,,-0.58000361598264,,-0.029436916195237004,-0.11417837762627,0.0049523577086956,-0.37270057195857004,-0.08602915037326699,0.040585503935639,0.051420705928621,0.0,
1993-12-31,,0.019480519480518998,0.029166666666667004,-0.5050741608118701,,0.57942315970728,,-0.23647022942152998,-0.17692887660216,-0.0030862948271674,-0.12124199112863,-0.66024893037729,0.035649943327567,0.017463063400036997,0.0,
1994-12-31,,0.04458598726114701,0.11740890688259,1.7429022082019,,-0.59307713273371,,0.014690870356398001,-0.070419847328244,0.0018067580872725,-0.35417835109365997,0.5231825987407001,0.023029157978411,0.026618109964846,0.0,
1995-12-31,,0.030487804878049,0.028985507246377003,-0.38096607245542996,,0.73208305425318,,0.10992039191672001,0.14810100595359998,-0.0034550188962178,-0.031697785497178,-0.37166478767380995,0.022296795117227004,0.016718328614751,0.0,
1996-12-31,,0.023668639053253997,0.042253521126761,-0.50069670227589,,-0.31283836040216995,,-0.10620689655172,-0.12534868750447,0.0025417869779170003,-0.5847533632287,-1.049043062201,0.009263951003503001,-0.00082547299602675,0.0,
1997-12-31,,0.023121387283237003,0.067567567567568,-0.16372093023256,-0.0049874230202098,-0.7146876758581899,-0.9616326530612199,-0.04294532627866,-0.09175287238827301,0.014400746404883999,2.0377969762419,-63.231707317073,0.028137039826244,0.05103434601573001,0.0,
1998-12-31,,0.028248587570621004,0.022151898734177,-3.6473859844270997,0.22242078193785,12.108481262327,126.63829787233999,-0.021468718326730002,0.25543600594246996,0.03471097514646201,-0.17312477781728,-0.14050558495003,0.02325877644611,0.043861028140229,0.0,
1999-12-31,,0.027472527472527,0.018575851393189,-3.9071428571428997,0.09174213791628,-0.9169425218176299,-1.0343390565094,0.09759887005649699,-0.14422490766307,0.015246671433264001,0.38822012037833004,-1.0,0.032284836915927005,0.0,0.0,
2000-12-31,,0.021390374331551002,0.085106382978723,-1.1547911547912,0.179267774911,10.369565217391,-28.004854368931998,-0.17771200617681002,0.066247642991829,-0.00094217518748325,-0.52338185196655,,0.015386316127995,0.04116465863453799,0.0,
2001-12-31,,0.020942408376963,-0.014005602240896002,-2.2707749766572998,0.025700675750525998,-0.47004461440407996,-0.5371202588531401,-0.0084507042253522,-0.12229820011003999,0.013164788477476002,1.8083170890188,-0.43780369290573,0.04322264561785501,0.023143683702989,0.0,
2002-12-31,,0.025641025641026004,-0.036931818181818,3.4643644379132996,0.04779133815746799,0.09260372820204402,0.07262135922330099,-0.016098484848485,8.9549565684557e-05,0.013181771171222,-0.61082832022212,-0.022471910112359997,0.016821312688564,0.022620169651272004,0.0,
2003-12-31,,0.02,0.06489675516224201,0.32620144832126,-0.013966912333143998,-0.62905888827738,-0.8443157132512701,-0.06459202224360999,-0.15642908309456,-0.011711101418881,0.8537455410225899,0.30371352785146,0.031182645206438,0.029493087557604002,0.0,
2004-12-31,,0.024509803921569,0.069252077562327,-0.23678332092331,-0.20517980347063,-1.593471810089,-5.011627906976701,0.10403566937236,-0.017407918479991,-0.0061878515291223,-0.47209749839640996,-0.72668701254663,0.016449957925025,0.0080572963294538,0.0,0.3794966164074601
2005-12-31,,0.023923444976077006,0.08549222797927498,0.41983739837398,-0.13602735672245,1.32125,0.54608695652174,0.043439991715854,-0.011774873069029,-0.027154195011337996,-0.34447144592953005,1.3138957816377,0.010798059375974,0.018650088809947,0.0,0.037953440337363996
2006-12-31,,0.023364485981307997,0.11694510739857002,-0.28882272102610995,-0.15656873192267,-0.73828756058158,-0.55718035245594,0.021733736912619,0.09887407083515501,0.0078375386049764,0.88600556070436,0.028418230563002998,0.02034381935393,0.019180470793374,0.0,0.17648522034742
2007-12-31,,0.022831050228311,0.08119658119658099,0.17214170692432001,-0.13771320277953,-0.44238683127572,-0.25994919559695,0.08265747171094201,0.09534941556826598,0.027444518323649,0.85307125307125,1.140771637122,0.037709955290096,0.041060735671514,0.0,0.13700754105293
2008-12-31,,0.022321428571429002,0.08498023715414998,0.48688006594312,0.078597592883307,-1.1549815498154998,-0.40160183066362,0.21002108285112,0.22677322677323003,0.0525224861894,0.10739856801909,0.42084754018509,0.041762665624194,0.058340180772391,0.0,0.25701977313581004
2009-12-31,,0.021834061135371,0.040072859744991,-0.26600757645754003,-0.0044149039394526,18.547619047618998,-1.6367112810707,-0.037886932344764,-0.0089206396209653,0.015442742445709999,0.25215517241379,-0.5839904010970199,0.052288260091977005,0.024270186335404,0.0,-0.016395867748219002
2010-12-31,,0.021367521367521004,0.029772329246935,-0.31533232628399,-0.056819843087569,2.0633373934227,5.078078078078099,-0.052055639039802995,0.012773109243697999,0.013742387279078,-0.4750430292599,0.35599505562423,0.027451307692891,0.032912390279399,0.0,-0.13119767383566
