Date,ODA/ARM_LE_Value,ODA/ARM_LP_Value,ODA/ARM_PPPGDP_Value,ODA/ARM_BCA_NGDPD_Value,ODA/ARM_TX_RPCH_Value,ODA/ARM_TXG_RPCH_Value,ODA/ARM_TM_RPCH_Value,ODA/ARM_TMG_RPCH_Value,ODA/ARM_GGXWDG_NGDP_Value,ODA/ARM_GGXCNL_NGDP_Value,ODA/ARM_GGXONLB_NGDP_Value,ODA/ARM_GGR_NGDP_Value,ODA/ARM_GGX_NGDP_Value,ODA/ARM_NGSD_NGDP_Value,ODA/ARM_PPPEX_Value,ODA/ARM_PCPIPCH_Value,ODA/ARM_PCPIEPCH_Value,ODA/ARM_PCPI_Value,ODA/ARM_PCPIE_Value,ODA/ARM_PPPSH_Value,ODA/ARM_NID_NGDP_Value,ODA/ARM_LUR_Value
1993-12-31,,0.05714285714285701,-0.12013917314776999,-0.87050561797753,,,,,,,,,,,14.1,,,36.333333333333,110.20512820513001,-0.13333333333333,-0.12760652765186,
1994-12-31,,0.014324324324323998,0.07652942544777801,-1.6347405306191,,,,,,,,,,,43.614790286976,0.4131113671686599,-0.82704548374663,52.772321428571,18.843440166013,0.0,2.6297739672642,
1995-12-31,,-0.022115640820677,0.1028522039758,-5.4616193480546995,,,,,,,,,,,1.5314564211672,-0.96648436345928,-0.9830542830717399,1.767400027674,0.31935487619247,0.076923076923077,-0.25527879178298,
1996-12-31,,-0.022070844686647998,0.070924764890282,0.07247230732972,,,,,,,,,,-0.24556830031282997,0.18225440756811997,-0.8944625812620601,-0.81809926413026,0.18653,0.058091505570479006,0.0,0.013744053053966998,
1997-12-31,,-0.022290331568682004,0.05159165751921,0.061147126689375,-1.2310545839958,-2.1437421735978,-0.39239248283339,-0.1683247115002,0.13786605708636998,,,0.022128487994808998,,0.36489288182446,0.15679531796351,-0.24698439929233998,2.7658805302117,0.14045156886046,0.21875962410834,0.0,0.10291538279213,
1998-12-31,,-0.021943573667711998,0.07411273486430099,0.13864871861248002,-4.9512093411175995,-1.6981675694364,0.12788104089219,0.1022009569378,-0.028939866974345002,,,0.08856580534569199,,-0.8245569620253199,0.10570883443737,-0.3825288338317,-1.0593801426221,0.086729038265419,-0.012989762537306002,0.0,-0.024929081062495,
1999-12-31,,-0.021270396270396,0.04761904761904799,-0.22993679807210995,-0.69430079155673,-0.29258831297458,-1.6399472643375,-2.0594721305781998,0.095669434426459,,,0.127609938178,,4.5310245310245,-0.013306706993938,-0.92528536838464,-2.576597382602,0.0064806125640921,0.020481452522471,0.0,-0.08450145464162899,
2000-12-31,,-0.041083655849955006,0.082560296846011,-0.068197921587152,0.8793371310202,1.5315599113288998,-1.4489081170168998,-1.4425141358682,0.0043632466637748,,,-0.14689148650047001,,-0.36055309157317994,-0.035244801047977996,-2.2206790123457,-0.81201171875,-0.0079050315187796,0.0038513435628997,0.0,-0.12215320910972999,
2001-12-31,,-0.0021732381248060002,0.11968009140246,-0.3384449654648,1.6036557361991,0.14148769471841,2.1920605782469,-0.14425925925926003,-0.03907321782429799,,,0.033466715169152,,1.2048143614851001,0.018323896424836998,-4.9772439949431,6.4467532467532,0.031456649209668,0.028659430323744003,0.071428571428571,-0.13097849934182001,
2002-12-31,,-0.00062227753578089,0.16568877551020003,-0.40421455938696993,0.037924222112467,1.0688388242894,-0.26497016749335,1.9227439948063,0.0074291455160744,,,-0.017716766396809,,1.2091043671355,-0.0060136139686518,-0.6595677050222499,-0.31670735960935,0.010709380942319999,0.019587371628188,0.13333333333333,0.14611209290583,-0.080729166666667
