Date,ODA/MDV_LE_Value,ODA/MDV_LP_Value,ODA/MDV_PPPGDP_Value,ODA/MDV_BCA_NGDPD_Value,ODA/MDV_TX_RPCH_Value,ODA/MDV_TXG_RPCH_Value,ODA/MDV_TM_RPCH_Value,ODA/MDV_TMG_RPCH_Value,ODA/MDV_GGXWDG_NGDP_Value,ODA/MDV_GGXWDN_NGDP_Value,ODA/MDV_GGXCNL_NGDP_Value,ODA/MDV_GGXONLB_NGDP_Value,ODA/MDV_GGR_NGDP_Value,ODA/MDV_GGX_NGDP_Value,ODA/MDV_NGSD_NGDP_Value,ODA/MDV_PPPEX_Value,ODA/MDV_PCPIPCH_Value,ODA/MDV_PCPIEPCH_Value,ODA/MDV_PCPI_Value,ODA/MDV_PCPIE_Value,ODA/MDV_PPPSH_Value,ODA/MDV_NID_NGDP_Value
1991-12-31,,0.047169811320755,0.1045045045045,-0.80836826830055,-0.80987015785787,-0.74531610521458,-5.9944582986977,-4.790955969853201,,,-0.19949870760555,-0.22778688524590002,0.33651087009387004,0.131210993759,-0.24773928942037002,0.10440251572327001,-0.195727705572,,0.12500531214143,,0.0,0.0
1992-12-31,,0.027027027027027,0.08809135399673701,-3.697097181321,6.2513459903655,-3.6733103823156,0.4178640776699001,-0.35464406543196997,,,0.23326810176125,0.2672752361745,-0.14523289665210998,-0.042651388557333,-0.28863270601373,0.10341685649203,0.34856,,0.16857115874965,0.12447351774997,0.0,0.0
1993-12-31,,0.026315789473683997,0.079460269865067,1.4236468569646001,-0.7904650254005501,-0.1669377795852,-0.29099659584458,-0.15392098578608998,,,0.10187242145351,0.094731552056286,-0.11269104687300001,-0.037791261463442,-0.42139526293919,0.087118084227911,0.19392537224892,0.62336305937174,0.20126070793599,0.20204431638883,0.0,0.0
1994-12-31,,0.025641025641026004,0.09861111111111098,-0.81297464281117,4.3644162625886,-4.5843299975592,-0.32461368653421996,-0.21999361226445,,,-0.65322580645161,-0.67834736036725,0.2373572593801,-0.11874802038642,1.0079795722948999,0.06342575009494901,-0.8317599125509301,0.47980797782837,0.033852695029735,0.2990149638744,0.0,0.0
1995-12-31,,0.020833333333333,0.09608091024020199,0.34273916035788,-0.6635725212070601,-0.86165020996482,0.074767118810263,0.054377200884448,,,0.17566445182724,0.40509039010465997,-0.007522587149560001,0.021336382943963002,-0.039580352885074,0.12964285714286,0.62079149438866,-1.4223270124745,0.05488169915926999,-0.12628286236467998,0.0,0.0
1996-12-31,,0.020408163265306,0.11072664359862,-0.63813429010764,0.8193655058385899,-1.7750615258409,-0.19858587394511,-0.21879611650485,,,-0.64447191805016,-0.6974775689859499,-0.015002930259816001,-0.12905496192975,0.10302879841111999,0.018653177363263,0.13775510204082,-1.6417484954069999,0.062439084572204005,0.081037048956112,0.0,0.0
1997-12-31,,0.02,0.12253374870197,2.7677053824363,-0.12484380324889001,-4.9889923793395,0.9209752395408399,1.2361304434281,,,-0.274217585693,0.14717403469502,-0.059815160049184996,-0.07566852776961501,-0.14659764423438,0.10211049037865,0.21380525304292,0.57502467917078,0.075793116261786,0.12764433363723,0.5,0.0
1998-12-31,,0.023529411764706,0.11008325624422001,-0.40733082706767,-0.29783229491172997,-0.4027276586712,-0.30332362091955,-0.41345427059712997,0.066015952980688,0.03316937415054,0.5407255304585901,0.18585365853659,-0.0032485339408513,0.028334128119536,0.09525274725274699,-0.042382427485214993,-1.1860403747196,-1.7337041679724,-0.014107919648543,-0.09365177577032499,0.0,0.0
1999-12-31,,0.019157088122605,0.088333333333333,2.3095464636854,-0.41722894907108,-1.0014215904043,-0.47472885801375003,-0.36431170406307006,-0.038052574579108,-0.020922729977762,0.34517992003554,0.21225832990539004,0.05608228223144,0.08123043629477901,-0.29225027089939004,0.0019114836053521,-3.0964539007092,-1.3549386011746,0.029561180695454,0.033250502899065,0.0,0.0
2000-12-31,,0.015037593984962001,0.07197549770291001,-0.38466698610446,0.21411578112608998,-1344.25,-2.4874493927126,-2.4366801812545,-0.024845197277518997,0.01839470232573,0.28566710700132003,0.24465558194773998,0.0063324115265922,0.036527395546660006,0.22761553728381,-0.011153507484589998,-1.3985115020298,-1.8110709987966,-0.011772087285719999,-0.026956552380281003,0.0,0.0
2001-12-31,,0.022222222222222,-0.028571428571427995,0.19187042516742003,0.65447419986937,-0.41862088218871996,-2.4101796407186002,-2.316484063745,0.06893023011728901,0.06386253691022199,0.018751605445672,-0.022628135223555,0.016129674618663,0.016516671838902,-0.056907940320569,0.07197981596913,-1.5713073005093,-3.8141691394659,0.0067255646784104,0.075867313681466,0.0,0.0
2002-12-31,,0.018115942028986,0.086029411764706,-0.43852084150007004,-0.51883142518752,0.56102440976391,-1.0658174097665,-1.0894016770694999,0.092468947911041,0.07423155283904699,0.00025214321734742996,-0.0092050209205021,0.0020380967312064,0.0018317503392129997,0.039476906499486,-0.0059532050394573,0.37741456166419,-1.6638987742191003,0.0092780640058148,-0.050371941162611,0.0,-0.09084431777698598
2003-12-31,,0.01423487544484,0.17874069058903,-0.18198743309285997,0.53396783721693,-0.66941809792361,-8.173020527859201,-8.0599435825106,-0.0050556117290192,-0.014100766883813001,0.026468364003025,0.059403153153153,0.050418524602988,0.04713211891379401,0.11317909814824,-0.08857938718663,-4.0237324703344,-0.71133611276554,-0.028033720954862004,-0.014532565352236999,0.0,0.06347962382445099
