Date,ODA/BDI_LE_Value,ODA/BDI_LP_Value,ODA/BDI_PPPGDP_Value,ODA/BDI_BCA_NGDPD_Value,ODA/BDI_TX_RPCH_Value,ODA/BDI_TXG_RPCH_Value,ODA/BDI_TM_RPCH_Value,ODA/BDI_TMG_RPCH_Value,ODA/BDI_GGXWDG_NGDP_Value,ODA/BDI_GGXCNL_NGDP_Value,ODA/BDI_GGXONLB_NGDP_Value,ODA/BDI_GGR_NGDP_Value,ODA/BDI_GGX_NGDP_Value,ODA/BDI_NGSD_NGDP_Value,ODA/BDI_PPPEX_Value,ODA/BDI_PCPIPCH_Value,ODA/BDI_PCPIEPCH_Value,ODA/BDI_PCPI_Value,ODA/BDI_PCPIE_Value,ODA/BDI_PPPSH_Value,ODA/BDI_NID_NGDP_Value
1991-12-31,,0.029304029304029002,0.093062134299248,-0.63772884501814,54.455205811138,37.399515738499,-0.6896160607951001,-0.6896160607951001,,,,,,-1.8715524034673,0.0008146885325045901,0.28894292661994,-0.22307118896757,0.09003729355354302,0.083455735078115,0.0,-0.052486813577970005
1992-12-31,,0.02846975088968,0.033137904664797,0.507452258966,-0.7390734838230799,0.051264266347185,-3.4085510688836003,-3.4085510688836003,,,,,,-0.34086799276672997,0.030058639974675,-0.40872267228942,-0.57759654593428,0.053274682306940005,0.035124476213951004,-0.071428571428571,0.14541853078788
1993-12-31,,-0.0017301038062285,-0.039970392301999,-0.81615943148463,-4.2163654618474,-2.2604966410749,0.33947807616446996,0.33947807616446996,,-0.049586776859504,-0.13274336283186,0.038999759557586,0.037980700670248,2.7654320987654,0.052348128960501,0.8231981981982001,3.4099943214082997,0.097215777262181,0.15537563995714002,-0.076923076923077,0.09022332210262698
1994-12-31,,0.017331022530329,-0.01799023387304,-1.1966386554622,0.07528224337963701,0.16873661670235998,-2.1876876026505,-2.1876876026505,,10.286956521739,-2.2523191094620003,-0.22762195686382997,-0.1168712218355,-0.28585306618093,0.044153640763197,0.51461807700226,-0.15291012104043,0.14707126242335,0.13159521846661,-0.083333333333333,-0.38400109394228993
1995-12-31,,0.018739352640544996,-0.059931954985606,2.8290598290598,-2.3687342752081,-2.380114816172,-1.0037671069572,-1.0037671069572,,-0.12403697996917998,-0.39555555555556,0.04476270373921401,0.022038996058908997,0.031627274273083,0.13730138646564,0.31591109902807,0.4569430721289,0.19365840169601,0.19169474546945,-0.09090909090909101,-0.073565974072101
1996-12-31,,0.018394648829431,-0.063195991091314,-5.5859375,-2.7557707943017,-2.5284243443373,528.01265822785,528.01265822785,,2.0224274406331997,5.5257352941176,-0.13983366790938,0.10964533969253,-0.57590242294379,0.12394603709949,0.36439233510665997,0.95023214565183,0.26416988416988,0.37383463243161,-0.1,0.29803038290122996
1997-12-31,,0.016420361247948,0.021396731054978003,-0.9712825504989,-2.2988383096096,-2.6815032137273,-0.46264835375190994,-0.46264835375190994,,-0.56249090644551,-0.73427230046948,-0.09675268387010699,-0.24311842706904002,0.88612514574427,0.27576685838126,0.17814960629921,-0.28892039375134004,0.31122106163338004,0.26582489709645,-0.11111111111111001,-0.33729602008418
1998-12-31,,0.017770597738287,0.05877218504509701,43.508474576271,-1.3633897569443998,-1.2994593477737,-3.4596339671372003,-3.4596339671372003,,0.18856002660459,0.1660777385159,0.08460062010925701,0.10342536096176,-0.94580671749433,0.10246400365885,-0.59748730801362,-1.0362637776022,0.12526786546166002,-0.0096673550995299,0.0,0.11933147632312
1999-12-31,,0.0,0.0049464138499588,-0.22486671744097003,-1.2393465000213,-1.2854952468568,-1.025599246868,-1.025599246868,,0.4199776161164,0.6842424242424201,0.036550503675470004,0.11163427320010999,1.7414448669202,0.13241078902725,-0.73058194300311,-22.483402489627,0.033740426412751,0.20712605936904002,0.0,-0.04663547680668901
2000-12-31,,0.02,0.014219305441619,0.41562269712600997,-0.05025842095883099,-0.36573576799141,-2.2185289957567003,-2.2185289957567003,,-0.70857142857143,-1.2864339690536002,0.19567929607985002,-0.030338849487786,17.004160887656,0.10659217730908999,6.201777777777799,-0.31941091260261,0.24305166199439002,0.14092997610733,0.0,-0.21388671365179002
2001-12-31,,0.050420168067227,0.039633324346184995,-0.2734686795072,-0.068680803152561,-0.17908552074512998,4.087637840975,4.087637840975,-0.06625613957921,1.6355645706558002,-2.7110552763818996,-0.084024383546598,0.04515440877692,0.27047222864186,0.11609333341216,-0.84839134370114,-0.73855977296914,0.036856857501852004,0.036856857501852004,0.0,0.054522512949927
2002-12-31,,0.037037037037037,0.039419087136929,-0.90494387389539,-3.6357042111626,-5.9339865910263,0.26648414328086,0.26648414328086,0.24886160223597,-0.73447922011288,-2.0293685756241,0.12033095509323,-0.041648442435728995,0.054693184574339006,0.015349982785561002,-0.10990502035278,-0.10990502035278,0.032812354348569,0.032812354348569,0.0,0.021789785250961004
2003-12-31,,0.028571428571429,0.044910179640717994,6.6532663316583,-3.9259995413195004,-2.5067941883558,1.0391821293460999,1.0391821293460999,0.08096435531527,3.5710144927536,-2.2860199714692997,0.1627956759071,0.34173427991885996,-0.032999885017822,0.058014637988867995,2.3091463414634,2.3091463414634,0.10851710340263,0.10851710340263,-0.125,0.029522342064715
