Date,ODA/CHE_LE_Value,ODA/CHE_LP_Value,ODA/CHE_PPPGDP_Value,ODA/CHE_BCA_NGDPD_Value,ODA/CHE_TX_RPCH_Value,ODA/CHE_TXG_RPCH_Value,ODA/CHE_TM_RPCH_Value,ODA/CHE_TMG_RPCH_Value,ODA/CHE_GGXWDG_NGDP_Value,ODA/CHE_GGXWDN_NGDP_Value,ODA/CHE_GGXCNL_NGDP_Value,ODA/CHE_GGXONLB_NGDP_Value,ODA/CHE_GGR_NGDP_Value,ODA/CHE_GGSB_NPGDP_Value,ODA/CHE_GGX_NGDP_Value,ODA/CHE_PPPEX_Value,ODA/CHE_PCPIPCH_Value,ODA/CHE_PCPIEPCH_Value,ODA/CHE_PCPI_Value,ODA/CHE_PCPIE_Value,ODA/CHE_PPPSH_Value,ODA/CHE_NID_NGDP_Value,ODA/CHE_LUR_Value
1991-12-31,0.064676616915423,0.012436320047946998,0.023824297090933,0.2092886537331,-1.4249071886601001,-1.4372350230414999,-1.3567921440261999,-1.3566927148979,0.042107518817132004,0.08672429545294799,14.746268656716001,-5.5769230769231,0.0024200405520309,1.0378787878788,0.066749153425371,0.020138089758343004,0.08419689119171,-0.012772351615327,0.058594474318561,0.052561655143948005,-0.029931972789116,-0.087414999507243,1.1616766467066
1992-12-31,0.0004918839153959099,0.012727541808495,0.022348327381459,0.3852698104035,-3.604447974583,-2.6336424957841,1.2951070336391,2.2961130742049,0.13412157820332,0.24852874603893,0.56161137440758,0.63542340012928,0.029753360302752996,0.39033457249071,0.064007081374763,-0.0011280315848844,-0.31097456903909,-0.34265601217656,0.040362335160022994,0.034545298579709,-0.10238429172511,-0.12782577393809,1.3536472760848999
1993-12-31,-0.010816125860373999,0.0094987578547421,0.022501579960709,0.32760133356729,-0.6511131442513001,-0.86141935483871,-1.0459693537641999,-0.82933104631218,0.09947193073907001,0.15306122448979997,0.074051593323217,0.067193675889328,0.0359586871119,0.016577540106952,0.039559367738603995,-0.00056465273856572,-0.18429526876393,-0.28075253256151,0.032927650567635,0.024839496813627,-0.0203125,-0.059226546700235,0.7669674382110601
1994-12-31,-0.0062127236580517,0.0088303416328894,0.03425294185288799,-0.19032513877875,0.8522727272727301,4.7467411545624,54.173913043478,-10.776381909547998,0.066334102902375,0.12259107856789998,-0.21785815202034,-0.33407407407407,0.023089391112877996,-0.13808521830614998,-0.00041393012859431,-0.0096045197740114,-0.74157303370787,-0.83259557344064,0.0085108860169984,0.0041609357482171,-0.019138755980861,0.055409318241642,0.048623445825933
1995-12-31,-0.00050012503125787,0.0071746305065289,0.025761948661407,0.035259549461312004,-0.56016989145824,-0.29552819183409,-0.51970055161545,-0.53790799280391,0.06417939300212601,0.083873549419768,-0.30744219653178995,-0.47719688542825,0.023345489328630002,-0.37992065913946005,-0.0019600806117659,-0.01312036508842,1.1128084606345,3.5913461538462,0.017974855981806,0.019095523659341997,-0.030894308943089,-0.0038242507378309,-0.10374761803938001
1996-12-31,-0.00075056292219156,0.0061262288075225,0.023186494566936,0.078839482812993,2.9635193133047,0.6416743330266801,-0.11703582171178999,-0.146829810901,0.035767484105359,0.082478032932142,0.042253521126761,0.08297872340425501,0.016445158463561,-0.13484251968504,0.017813675591944998,-0.016184971098266002,-0.54949944382647,-0.60890052356021,0.0081085985166368,0.0074770155187604,-0.031879194630873,-0.044105987899019004,0.09992912827781698
1997-12-31,-0.0007511266900350799,0.0026904559614839996,0.037893500944579,0.32373574978077,2.2439090416892,2.1412160268983,1.5425828429854,2.2496740547588,0.037268278994721,0.061664392905866,0.20620620620621,0.45284872298625,-0.01821943789873,0.29465301478953004,-0.0060604413523209,-0.012925969447709,-0.36049382716049,-0.54082998661312,0.0051860101470307,0.0034304932735426,-0.020797227036395,-0.0095599790466213,0.11662371134021
1998-12-31,0.013530443497870002,0.0021183448665442,0.038487545770410005,-0.0035331787567627,-0.66035216556789,-0.65284095977165,-0.15602923264312,-0.28585757271815004,0.06047950764236401,0.041120534566948995,-0.46182572614108003,-0.8891142663962099,0.030968270694297993,-0.43760984182777,-0.0014764990566812,-0.014285714285713997,-0.9633204633204601,-1.5422740524781,0.00017906305257745,-0.0018657967063661,0.0035398230088496,0.038432720701662,-0.25831890748221
1999-12-31,0.0076637824474659,0.0039458850056369,0.029481021004050003,0.17861495844875,0.56265356265356,0.66495375128469,-0.35560686967815996,-0.42191011235955,-0.041724462301303,0.1338866946433,-0.77332305319969,-7.0792682926829,0.0091987962069161,-1.0890625,-0.018593061146251998,-0.01268115942029,41.526315789474,-9.897849462365599,0.008078773637686,0.016554920023729998,-0.021164021164021,-0.048767030261873,-0.29382780082988
2000-12-31,0.0098135426889107,0.0056148231330713,0.06030072795258401,0.15389677540660002,1.0193396226415,0.81327160493827,1.3422172452408,1.5634110787171998,-0.0041594569413017,0.0068032764579421,-8.891156462585,2.5035105315947996,0.03285883081078,17.842105263158,-0.040345982142857,-0.0079510703363914,0.9319306930693101,-0.08761329305136001,0.015617368911778999,0.015096126318571003,-0.010810810810810999,0.038550776369802,-0.33015056922512
2001-12-31,0.016277939747328003,0.004745951982133,0.035501915220091,-0.3439791429037,-0.94308183446235,-0.8844255319148899,-0.8606808185121401,-0.8418159416169101,-0.0066662211381027,0.025029056409979003,-0.7465517241379301,-0.49040939020899,-0.023669444898404,-0.8342644320298002,0.025091585741698997,-0.0098643649815043,-0.36579115951313,-0.78476821192053,0.0099017475600827,0.0032433370575666,-0.010928961748634001,-0.002234060835195,-0.06633771929824599
