Date,ODA/LSO_LE_Value,ODA/LSO_LP_Value,ODA/LSO_PPPGDP_Value,ODA/LSO_BCA_NGDPD_Value,ODA/LSO_TX_RPCH_Value,ODA/LSO_TXG_RPCH_Value,ODA/LSO_TM_RPCH_Value,ODA/LSO_TMG_RPCH_Value,ODA/LSO_GGXWDG_NGDP_Value,ODA/LSO_GGXWDN_NGDP_Value,ODA/LSO_GGXCNL_NGDP_Value,ODA/LSO_GGXONLB_NGDP_Value,ODA/LSO_GGR_NGDP_Value,ODA/LSO_GGX_NGDP_Value,ODA/LSO_NGSD_NGDP_Value,ODA/LSO_PPPEX_Value,ODA/LSO_PCPIPCH_Value,ODA/LSO_PCPIEPCH_Value,ODA/LSO_PCPI_Value,ODA/LSO_PCPIE_Value,ODA/LSO_PPPSH_Value,ODA/LSO_NID_NGDP_Value
1991-12-31,,0.013788575180565,0.057559478127398,1.4563441111241,-1.7919055649241,-1.2152612826603,0.083381490960125,5.8387553041018,-0.32835820895522,,0.8321839080459801,0.079502433747972,-0.0015086352480241,-0.03550420660401699,-0.35023150132899,0.11775200713649,0.5569410533658901,-0.11244321049975001,0.17851373182553001,0.14069465081724,0.0,0.28457314028957004
1992-12-31,,0.039507772020724995,0.09796806966618302,-0.22467745384561,13.277683134583,24.205977011494003,-0.67057837384744,-0.70058600482592,4.4082497212932,,0.77258469259724,0.25250501002004,-0.0021197907270431,-0.062129458645155004,0.12595256160722998,0.11252992817238999,-0.045421450574069,0.3089719891938,0.17048206534156,0.18411625824310002,0.0,0.0065793126422742
1993-12-31,,0.024299065420561,0.057501652346332,-0.035947411970212007,-0.72738933301515,-0.66081754008354,-0.9789498033772801,-0.75638959244762,0.10901770008795,,0.45761812068659996,0.32026666666667,0.055751412429379,-0.0031088888313168,-0.32167237994785,0.079626972740316,-0.19191504341704,-0.6746143819248299,0.13772642098688,0.059885179964935,0.0,-0.098196309881684
1994-12-31,,0.021289537712895,0.07875,-0.21167906414902,-0.49644381223329,-0.69583221296047,-40.0,-4.1928166351607,-0.049144372436525,,0.025858929221804,-0.013734599070895,0.011023824303786999,0.0078744250110449,0.47702142363510996,0.053156146179402,-0.47368038916721,0.70739442497079,0.072467746362888,0.10229963348578,0.0,0.01781427282597
1995-12-31,,0.050625372245384,0.039397450753187006,0.2506552683576,0.41395045632334,0.4777227722772299,-3.9115243730627998,-3.712847838958,-0.05142373102235,,-0.028639053254438,-0.040241654720459,0.021277947154472,0.032154092104584996,0.086910749795298,0.084542586750789,0.37412056835426005,-0.09277544236973301,0.09962887125671901,0.092805649551273,0.0,0.14560860551065
1996-12-31,,-0.0079365079365079,0.06577480490524,0.25178139609866,1.593975718457,1.6296960995453,-0.17632826865383,0.055870798777826,0.11214606602646,,-0.014132553606238002,-0.016643550624133002,0.044467939548479,0.056484049064428006,-0.23482565647869003,0.087260034904014,-0.09055315731352301,-0.072952586206897,0.090573174279895,0.086028164463233,0.0,0.0055997062449182
1997-12-31,,0.021714285714285998,0.051778242677824,-0.20227179064495998,0.66686415071983,-0.58264707220529,-0.45024086476325,-0.6180239768499399,-0.07291975491649401,,-0.22849728126545002,-0.18042747097754003,-0.0055972371084911,0.037053676992197,-0.10274261603375999,0.071696094168004,-0.056297604592117995,-0.079158433104731,0.085505429127871,0.079213566717905,0.0,-0.18440030776855
1998-12-31,,-0.0044742729306488,0.06663351566384901,0.032417422750315,-1.1583437000178,0.15938079145318,-2.3532806155161,-2.6044372294372002,0.22685179016376,,-0.65433285279513,-0.48914482393434006,-0.10235528942116,-0.023759035045717004,-0.48303158554746,0.074887668497254,-0.090419932155808,0.22746781115879997,0.077762485253637,0.097245514484596,0.0,-0.21753729553413
1999-12-31,,0.021910112359551,0.019114219114218997,-0.17544956997654002,1.3241301907968999,-2.2926187118007,-0.49226152874289,-0.41467116357503997,0.036253448313312994,,-4.8915662650602005,-2.6006737496761,-0.05416703726763299,0.18962980263926,0.38818981200728,0.06130980027868099,0.11175411522633999,-0.35674619498149,0.08644987685852401,0.062539257150036,0.0,-0.048307994114762005
2000-12-31,,0.023089609675646,0.080512351326624,-0.8566281054428199,-3.0521537570021002,-2.9015785262239,-0.11726283048212,-0.30279458369346,0.060537458600595,,-0.8679447487496998,-1.1565484863202,0.0011754748918562,-0.14212510307457,1.3511166930596,0.0013129102844638,-0.29068825910931,-0.04572342126298999,0.06131016098902299,0.05970560996275799,0.0,-0.075496006183973
2001-12-31,,0.0021493820526599,0.060541913632515,-2.1674603174603,0.55760542168675,0.5760682452851801,-11.486610288936,-6.150413223140499,0.24611614025379003,-0.51515151515152,1.8818755635708002,-2.3691830403309,0.024914291081575998,0.07204485639089099,-0.035651244890375,0.064685314685315,0.12801696020874,0.070698609482325,0.069179653508425,0.063909704531509,0.0,-0.13814567075437
2002-12-31,,0.0026809651474531,0.035528942115768,0.8187174257874499,-0.095902828136331,-0.16033980582524,-0.64567722858775,-0.15396341463414998,-0.25959616787742,0.0078125,-0.11514392991239,-0.9395770392749201,0.033289802277362,0.023183826825779998,-0.058283760025047995,0.082922824302135,0.8036721121873599,0.53700516351119,0.12474566238763,0.098224272930649,0.0,-0.16257949768244
2003-12-31,,0.0026737967914438,0.055127216653817,-0.41103912285073996,0.48917184680168,-0.22651326819679998,-1.2479848269321998,-1.2479848269321998,-0.32898809970115,484.62015503876,-1.3917963224893999,-37.05,0.066186252771619,-0.019862713597195998,-0.14838495179151,0.021607278241091998,-0.41752164155178,-0.41036343275984993,0.072673749301056,0.05791266153160599,0.0,-0.080579243765084
