Date,ODA/SLV_LE_Value,ODA/SLV_LP_Value,ODA/SLV_PPPGDP_Value,ODA/SLV_BCA_NGDPD_Value,ODA/SLV_TX_RPCH_Value,ODA/SLV_TXG_RPCH_Value,ODA/SLV_TM_RPCH_Value,ODA/SLV_TMG_RPCH_Value,ODA/SLV_GGXWDG_NGDP_Value,ODA/SLV_GGXCNL_NGDP_Value,ODA/SLV_GGXONLB_NGDP_Value,ODA/SLV_GGR_NGDP_Value,ODA/SLV_GGX_NGDP_Value,ODA/SLV_NGSD_NGDP_Value,ODA/SLV_PPPEX_Value,ODA/SLV_PCPIPCH_Value,ODA/SLV_PCPIEPCH_Value,ODA/SLV_PCPI_Value,ODA/SLV_PCPIE_Value,ODA/SLV_PPPSH_Value,ODA/SLV_NID_NGDP_Value,ODA/SLV_LUR_Value
1991-12-31,,0.0068173663437388,0.07026324341891499,-0.15739231664726,-1.0622355728550001,-1.1736526946108,-0.8708180947939399,-2.9117647058824,,,,,,0.23251437532671002,0.035256410256410006,-0.49095214533117,-0.49190503284539,0.14403001137726001,0.098215568518146,0.017241379310345,0.11152791804934,0.077511725499877
1992-12-31,,0.0069493941553813,0.099963561277784,-0.17297596020999997,-6.0734194425561,-7.413793103448301,2.3250997529926,0.8,,,,,,0.31783866316057,0.018575851393189,-0.22092619593139998,1.0296243510129,0.11221609998655999,0.19937727308407002,-0.033898305084746,0.20242731048806,0.06758304696449
1993-12-31,,0.0069014333746241,0.099215989399293,-0.40594721015703,2.7220956719817995,1.505376344086,0.17525714285714,0.0085470085470087,-0.21650066626014003,,,,-0.09833767274183901,0.081359423274974,0.057750759878419,1.0158631138045,-0.19847519687014004,0.22622039632673002,0.15979842492201002,0.052631578947367995,0.0028606898040696,0.06652360515021499
1994-12-31,,0.006854130052724,0.083078004922397,-0.43869516310461,-0.6086831305349599,-0.8798283261802601,-0.34219866776876,-0.11864406779660999,-0.06134155832925,-0.34052092228864,-0.4397727272727299,0.08322701688555299,-0.026876943580631,0.11273809523810001,0.077586206896552,-0.68289124668435,-0.67196495619524,0.071717151810173,0.05242269204725,0.016666666666667,0.059849300322928,-0.22867203219316
1995-12-31,,0.006982021295165001,0.08616611788712102,1.5731462925852,0.19954001839926,2.4898214285714,0.73109616379629,0.30519230769231,-0.13561404047539,-0.36095823891226997,-0.5868830290736999,0.066509630040183,-0.0089591417484593,-0.065154595057238,0.082666666666667,0.35577861424787,1.1692102251049,0.09726002206693599,0.11372450894533001,0.032786885245901995,0.017875279301239,-0.0046954480239989
1996-12-31,,0.0069336106777604,0.035609068784424,-0.226246105919,-0.33484162895928005,-0.51568336488768,-1.2545260461143999,-1.2779946957419,0.017941521298895,0.40374873353597,0.99345335515548,0.07717292451604499,0.11435481084816,-0.24473563744564,0.046798029556649995,0.0065809768637532,-0.35238765280098,0.09789002664700301,0.07362711429213299,-0.015873015873016,-0.24236679305528,0.0061590879308085
1997-12-31,,0.0068858667584782,0.06031746031746,-0.54554604932058,2.1396287328491,3.0099313259377003,-5.3891964435497,-5.2485755929508,-0.04446460980036299,-0.34680620714543,-0.6412151067323499,-0.17060668194428,-0.19583527101741002,0.076899765133722,0.018823529411765,-0.54888139748698,-0.7385931558935401,0.044145931918790994,0.019252040297749,0.0,-0.0046753588831819,0.03920291742641299
1998-12-31,,0.0068387758591212,0.04872074033750701,-0.16389811738649,-0.78222548659567,-1.1216999525742,-1.057674667482,-1.2497504990019999,-0.10625319599678999,0.35414364640884005,1.5881006864988998,0.034247073365811,0.07145151962989099,0.16912902771915,0.027713625866051004,-0.40670289855072,1.1896103896104,0.026198064384082002,0.042146942366916,0.016129032258065,0.16136288455177,-0.08209048752976598
1999-12-31,,0.0069621327899473,0.050350376330132,1.5417218543046,0.32967959527825,-2.7397705130981,-5.819748177601099,-1.8379120879121,0.035759532469655,0.23704610363117,0.58355437665782,-0.014623172103486999,0.022368815592203998,-0.12703093031652,-0.011235955056179999,-0.80343511450382,-1.2417556346382,0.0051571359375444,-0.010187999549701999,0.0,-0.064258858379856,-0.044238121245220995
2000-12-31,,0.0050590219224284,0.044759786790921,0.57373632100052,0.73734939759036,0.9303135888501701,0.86635501168706,1.2342771982116,0.046243686868687,0.09894459102902399,0.086543830262423,0.068849885844749,0.074202252463632,-0.041428276004687,0.0090909090909091,3.4155339805825,-5.2129538763494,0.022733715063212003,0.042934319021894,-0.031746031746032,0.03043954705954,0.0
2001-12-31,,0.0050335570469799,0.040274352130283,-0.63973509933775,-0.8743703919994201,-0.83651366683858,-0.61993517017828,-0.63847385272145,0.22299743551064002,0.18817527010804,0.38437821171634,-0.035444896869368,0.0052967837055644,0.12059542643463,0.011261261261261,0.64687774846086,-0.6696948520847901,0.037458425720621004,0.014176663031625,0.0,-0.015065579581709,0.0
2002-12-31,,0.0033388981636059,0.039104875117737,1.6029411764706,2.4869262056943997,1.0106466876971998,-0.31246365574724,-0.42306273062731,0.15507724567517,-0.059358423844405005,-0.19821826280624,-0.0080968858131487,-0.019174361759913,-0.13007764871976,-0.0044543429844098,-0.50093457943925,0.97179125528914,0.018687469110241002,0.027956989247312002,-0.016393442622950997,-0.017035570751605,-0.11428571428571001
2003-12-31,,0.0033277870216307,0.04341574719469899,0.6475988700565,-0.026995500749875,-0.51186507158266,0.11305328446575001,0.44195714742565007,0.044983715094239006,0.09344790547798101,-0.0060185185185187,0.049187190399777,0.058315334773218,-0.09154617881380901,0.0089485458612975,0.13483146067416002,-0.09728183118741099,0.021203220476776998,0.025235355648535,-0.016666666666667,0.036248245560505,0.11290322580645
