Date,ODA/KGZ_LE_Value,ODA/KGZ_LP_Value,ODA/KGZ_PPPGDP_Value,ODA/KGZ_BCA_NGDPD_Value,ODA/KGZ_TX_RPCH_Value,ODA/KGZ_TXG_RPCH_Value,ODA/KGZ_TM_RPCH_Value,ODA/KGZ_TMG_RPCH_Value,ODA/KGZ_GGXWDG_NGDP_Value,ODA/KGZ_GGXCNL_NGDP_Value,ODA/KGZ_GGXONLB_NGDP_Value,ODA/KGZ_GGR_NGDP_Value,ODA/KGZ_GGX_NGDP_Value,ODA/KGZ_NGSD_NGDP_Value,ODA/KGZ_PPPEX_Value,ODA/KGZ_PCPIPCH_Value,ODA/KGZ_PCPIEPCH_Value,ODA/KGZ_PCPI_Value,ODA/KGZ_PCPIE_Value,ODA/KGZ_PPPSH_Value,ODA/KGZ_NID_NGDP_Value,ODA/KGZ_LUR_Value
1993-12-31,,0.016930022573363002,-0.10934221893125999,1.2641871835167,,,,,,,,,,-6.114790286975699,7.1538461538462,,,10.866851595007,9.300232288037199,-0.12,-0.36860622462788,
1994-12-31,,0.0044395116537182,-0.180961618401,-0.41960360916171996,-0.30059359215426,-1.184064286571,0.25441134751773,-1.2449482297929,,,,,,-0.92044310171198,1.7506738544473999,-0.8336543330356601,-0.93319044551533,1.8069191210846,0.62124372780064,-0.22727272727273,-0.23000428632661998,
1995-12-31,,0.015690607734807,-0.037895449162578,1.088227478076,-0.084659989457037,-4.5310599478714,-0.16273915599982,-6.642577126299599,,,,,,-1.9439421338156,0.39098481136698,-0.75950698184113,-0.48330757839159993,0.43454363757495,0.32097649186257,-0.11764705882353,1.041638833222,0.0
1996-12-31,,0.014142732811139999,0.09038157200633,0.45730465767371,-1.3859133840129,0.35375530540690003,-1.3724812273783,0.06252831898504799,,,,,,-0.16954022988506,0.32934131736527006,-0.26437760338757,0.08517399295928199,0.31963311273656,0.34833886168587996,0.066666666666667,0.37397753299159997,0.36842105263158004
1997-12-31,,0.015232782664664,0.11772294791163002,-0.65790507793739,2.1422175794658,-0.041257724463831,-3.9277737490935,-1.5742714996446001,,,,,,7.028835063437099,0.1724960254372,-0.26672923510089,-0.62618781040967,0.23438324828436,0.13018860556835002,0.0625,-0.13692649626925002,-0.26923076923077
1998-12-31,,0.015638207945900002,0.032174289424325,1.7746011486917999,-1.4148461246201,-0.9992890995260699,-1.076782087482,-1.0,,,,,,-1.492673466456,0.07932203389830499,-0.5542471948462,0.29106827432609,0.10447255880257002,0.16812355319075,0.0,-0.29113400165548,0.035087719298246
1999-12-31,,0.014357053682896002,0.052837573385519004,-0.33193799162795,0.19198626216371,-4.2666666666667,-4.1729032258064995,,,,,,,-1.4357778101764,0.35448073701843,2.4366385911179,1.3713045030039999,0.35906619556975,0.39865124670946,0.0,0.16749918910152,0.22033898305085
2000-12-31,,0.0096410256410256,0.07793414763675,-0.70281622254355,-2.0105647330004,-254.77551020407998,-1.0953639690931,,,,,,,4.2499163599866,0.24439635183181,-0.47891717261739003,-0.75995886012442,0.18709861228172,0.09568168841330602,0.0,0.11185197532921999,0.041666666666667
2001-12-31,,0.0093457943925234,0.076979923635916,-0.64179796107507,-1.3078312107963999,-1.5681544028951002,-22.172707889126002,13.110139860139999,-0.12232563465062,-0.3692624100215,-0.40312169933105996,0.09952504317789301,-0.072061591103507,0.15390007647209,0.049565217391304,-0.63051843933725,-0.61417075974501,0.06913,0.036922304893701005,0.0,-0.018090954522739,0.04
2002-12-31,,0.0090579710144927,0.015210430009148998,1.5834411384217,-3.2587218277246,-0.6411889596603,-2.9351460221551,-3.6570437368356004,-0.0041839444625635,-0.12553727582628998,-0.15650806134487,0.11879049676026,0.05800361370257,-0.09841497763296,0.0048526452834655,-0.70273397945899,-0.37648970747562,0.020540065286728002,0.023024876918352,0.0,0.034201954397394,0.6025641025641
