Date,ODA/CMR_LE_Value,ODA/CMR_LP_Value,ODA/CMR_PPPGDP_Value,ODA/CMR_BCA_NGDPD_Value,ODA/CMR_TX_RPCH_Value,ODA/CMR_TXG_RPCH_Value,ODA/CMR_TM_RPCH_Value,ODA/CMR_TMG_RPCH_Value,ODA/CMR_GGXWDG_NGDP_Value,ODA/CMR_GGXWDN_NGDP_Value,ODA/CMR_GGXCNL_NGDP_Value,ODA/CMR_GGXONLB_NGDP_Value,ODA/CMR_GGR_NGDP_Value,ODA/CMR_GGX_NGDP_Value,ODA/CMR_NGSD_NGDP_Value,ODA/CMR_PPPEX_Value,ODA/CMR_PCPIPCH_Value,ODA/CMR_PCPIEPCH_Value,ODA/CMR_PCPI_Value,ODA/CMR_PCPIE_Value,ODA/CMR_PPPSH_Value,ODA/CMR_NID_NGDP_Value
1991-12-31,,0.030808729139922997,-0.0056093829678736,-0.49398823228447,12.462328767123001,-3.0476907630522,-1.0550190882551,-0.65950920245399,,,,,,,0.0012604159372592,0.0018597899798145,-1.4,-0.6849315068493199,-0.0060062365075557,-0.0023001016562786,-0.04938271604938299,-0.063431269674711
1992-12-31,,0.030469074304691004,-0.0083916083916084,0.1319514661274,-2.2289493767488997,-2.3084089237558,34.853061224490006,-6.6384771868643,,,,,,,-0.08364221274215,-0.035293052317026,-4.15,-4.2608695652174005,0.01889979633008,0.0075028560254418,-0.12987012987013,-0.19001736597389002
1993-12-31,,0.030212697389622997,-0.0085096379877763,1.1281822242072,-4.534050921134299,-4.0916245081506,-0.32661657559199,-1.0415936501392,,,,,,,-0.24689002518507,-0.0040127657577322,-2.968253968254,-6.4133333333333,-0.037193175251286,-0.040605973930454,-0.059701492537312995,0.2232519538004
1994-12-31,,0.029795886447172997,-0.0042202095879368,-0.19307450157398,-0.55368125109823,-0.33224242424241995,-1.4877430262046,2.7732342007435,,,,,,,0.001114714227807,0.087287656386212,-4.4032258064516,-9.3226600985222,0.12659523176983,0.3379047456797,-0.04761904761904799,-0.070786453327303
1995-12-31,,0.028022478736331003,0.054571428571429,-0.79531859557867,-1.7219160104987,-1.1490288618623998,-1.8131715771231,-2.8614121510672996,,,,,,,0.21419171980970003,0.14633974570807998,1.0379146919431,-0.5193844332642801,0.25799802614916,0.16240091681788002,0.0,-0.054396105871615
1996-12-31,,0.027997340621999,0.069177278063759,3.5451080050826,0.17851299763679002,3.5194884287453996,-5.3542199488491,-3.3346859562456,,,,,,,-0.16973739057941,0.035108031984272,-0.86046511627907,-0.7185960591133,0.03600463769725799,0.045701022881321,0.0,0.05894086609613299
1997-12-31,,0.027953434895085,0.069009206858687,-0.30416550181716995,1.2022211938917,0.85514081660154,0.63759177679883,0.47714048212801,,,,,,,0.18184556682398004,0.0094734583373282,0.13888888888889,0.5295404814004401,0.040999041702687006,0.069899759711392,0.016666666666667,0.053411921978489
1998-12-31,,0.028032156588605,0.061907395701643,-0.09602249899558099,-0.19878125656651002,-0.19154499891044002,-0.4440459110473499,-0.30766869596358,,,,,,,0.12429906542056,0.00046583570020085,-0.048780487804878,-0.6852646638054399,0.038998075202297006,0.022000012239227998,0.016393442622950997,0.082371942778034
1999-12-31,,0.027947776417789,0.05997246921388401,0.56,-0.29242066614215,-0.26702605570529997,-1.0215053763441,-0.93778171876155,,,,,,,-0.040731504571904,-0.026698491485505002,-0.25641025641026,-0.022727272727273,0.029002658009034,0.021496491102009997,0.016129032258065,0.067363035600085
2000-12-31,,0.028047893100482998,0.06517847741392,0.38091168091168004,-0.60625154435384,-1.0848247119392,-87.41,16.654394299287,,,,,,,0.089254766031196,0.011978356285270001,-0.72413793103448,-1.3255813953488,0.0079961464354526,-0.0069990738244017,-0.015873015873016,-0.11998202516477
2001-12-31,,0.027990476803294997,0.068966653486227,0.20094904064370003,-1.3200502039536002,6.218208092485501,-2.5159703737992998,-3.0067944836865004,-0.1468110999988,-0.1468110999988,-0.59098687963491,-0.29009433962264003,-0.039739805400678,0.018680853636418998,0.018803789686845002,-0.00098676359897916,4.5625,-8.0842857142857,0.044502054859983,0.049586776859504,0.032258064516129,-0.35903546099290995
2002-12-31,,0.027979469203805996,0.056071021238556,-0.12059783542347001,7.228431372549,1.2576576576576999,-2.4287568227795,-2.6013878180416,-0.091968308218114,-0.091968308218114,1.4323570432356998,0.12087912087911999,-0.0062048158478967,-0.06735905044510401,0.068360900120679,0.016869650708185,-0.36696629213483,-0.52369429320427,0.028165711605988998,0.023622047244094,0.0,0.78534124103744
2003-12-31,,0.028009498873531005,0.061033274956217,-0.6530572377417501,-2.0389610389610002,-1.8217611066773,-1.0057170335541998,-0.99935107073329,-0.062633175208026,-0.062633175208026,-0.62442660550459,-0.33059735522115996,-0.080421583228319,-0.020108176901049997,0.029966777408637995,-0.016038601072553,-0.77635782747604,-1.0232853513970999,0.0063076041672462,-0.0005494505494505201,0.0,-0.14338836828797
2004-12-31,,0.028016347805485,0.06555528045996,0.90315315315315,-0.89575688073394,-1.0769396784288001,-42.780373831776,287.83870967742,0.022466317116878,0.022466317116878,-1.8290076335878,-0.51532697547684,-0.038868817740126994,0.037275147736866,0.09734855815753801,-0.012084980554751998,-0.6031746031746,-19.327272727272998,0.0024983832365118,0.010076965365584998,-0.015625,0.18023962493488
