Date,ODA/CYP_LE_Value,ODA/CYP_LP_Value,ODA/CYP_PPPGDP_Value,ODA/CYP_BCA_NGDPD_Value,ODA/CYP_TX_RPCH_Value,ODA/CYP_TXG_RPCH_Value,ODA/CYP_TM_RPCH_Value,ODA/CYP_TMG_RPCH_Value,ODA/CYP_GGXWDG_NGDP_Value,ODA/CYP_GGXCNL_NGDP_Value,ODA/CYP_GGXONLB_NGDP_Value,ODA/CYP_GGR_NGDP_Value,ODA/CYP_GGSB_NPGDP_Value,ODA/CYP_GGX_NGDP_Value,ODA/CYP_NGSD_NGDP_Value,ODA/CYP_PPPEX_Value,ODA/CYP_PCPIPCH_Value,ODA/CYP_PCPIEPCH_Value,ODA/CYP_PCPI_Value,ODA/CYP_PCPIE_Value,ODA/CYP_NGAP_NPGDP_Value,ODA/CYP_PPPSH_Value,ODA/CYP_NID_NGDP_Value,ODA/CYP_LUR_Value
1991-12-31,-0.025454545454544997,0.027350427350427,0.040951122853367994,1.6385412942438,-1.9771170006463998,,-0.7922227926078,,,,,,,,-0.22689892647357002,0.0038610038610039,0.11925383077948,0.12746113989636998,0.050398357289528,0.06528294060401099,-1.6801883375588997,0.0,-0.079656562116699,0.6666666666666701
1992-12-31,0.044776119402985,0.026622296173045,0.11859713890171,0.26707317073171,-3.503175443239,,10.833230389129,,,,,,,,0.036522741563613,0.03846153846153799,0.28988095238095,-0.0056678921568627,0.06501102544453599,0.06490647417369301,-2.0159744408946003,-0.032258064516129,0.13224430736425,-0.39166666666667
1993-12-31,0.0,0.024311183144246004,0.030940594059406003,-1.1798738102877,-1.5749775358106002,,-2.3302536799248,,,,,,,,0.31944795510844,0.025925925925926,-0.24796185202276996,-0.5140964412263099,0.048898678414097,0.03154401113814399,-2.2316561844864,0.0,-0.15715486800067002,0.47945205479451997
1994-12-31,0.014285714285713997,0.020569620253165,0.081532613045218,-0.39892984542212,-1.6473616473616002,,-1.3424367274867999,,,,,,,,0.026283524904215,0.032490974729242,-0.046839844548988,0.65282181357007,0.046591068178635994,0.052133605998637006,-0.34510638297872,0.03333333333333299,0.05761710956827099,0.0
1995-12-31,0.045774647887324,0.010852713178295,0.12219036166866999,-3.2215628090999,-3.8720533939222004,,-2.9856766357282,,,,,,,,-0.25502127977302,0.017482517482518,-0.43948497854077007,-0.6859773642815999,0.026124294389898,0.016365615362687,-3.0727745289148998,0.064516129032258,-0.16237832943483999,-0.037037037037037
1996-12-31,0.010101010101010001,0.016871165644172,0.036679854929113,1.2564559216384998,-1.1512484548826,,-1.4542674130071003,,0.054779382745284,2.6823266219239,-1.7191780821918001,-0.011561219845243999,,0.059588170994712,-0.15710348283638,0.0051546391752577,-0.011485451761103,0.19364691508857998,0.025811161371901998,0.019544347693053,-0.8517241379310301,-0.03030303030303,-0.014187910999008999,0.19230769230769001
1997-12-31,0.0,0.015082956259427,0.040470700485012,-0.060576164167324004,0.1497221314155,,-0.8875762195121999,,0.091109780737858,0.5662211421628199,2.1107142857143,-0.025326947872536,,0.028941058383985,-0.11688466111772,0.0068376068376068,0.28388845855926,0.9646878198567,0.033154998665667006,0.038389396023509006,-4.1606765327696005,-0.03125,-0.10380591218532001,0.096774193548387
1998-12-31,0.01,0.013372956909361,0.061516124102094005,-1.6496534341525,-0.47398350867216,,1.1570621468926998,,0.09512705325606098,-0.17552366175329998,-0.58476846536548,0.0488204352893,,0.017504877520052,0.51689780530497,0.018675721561969,-0.29411764705882004,-0.8022922636103199,0.023407134071341,0.0075867052023121,-0.48294314381271003,0.032258064516129,-0.0089727249553912,0.0
1999-12-31,-0.03300330033003299,0.011730205278591997,0.064358217550932,-1.5706433882962,3.8275675675676,,0.73284442116291,,0.011805229372162,0.047282992237121,0.21198156682028,-0.0039640830054956,,0.0018375499334222,-0.31266642996627003,0.0083333333333333,-0.51410256410256,3.7088274044796004,0.011369782339579,0.035735628062627,-0.85899094437257,0.03125,-0.11250578733474001,0.058823529411765
2000-12-31,0.058020477815699995,0.011594202898551,0.074061548867095,2.014164305949,0.17075355503303,,2.7926239419589,,-0.059296855657341,-0.46091644204852,-1.1026615969581999,0.067838514185787,,0.0052632978016428,-0.13966552592497,0.014876033057851002,3.2779243623571004,0.042809177392278,0.048639912536097,0.037272097853681,-9.3577981651376,0.0,0.03419893345699,0.33333333333333
2001-12-31,0.029032258064516002,0.011461318051576,0.063979848866499,-0.38214285714286,-0.41382938026014,,-0.5789096126255401,,0.024213712330569997,-0.044583333333333,-4.6222222222222005,0.025100940226444997,0.0092787853226486,0.020678530819473,-0.022065445812067996,0.01628664495114,-0.59292763157895,-0.43895894821571996,0.019797828698352,0.020914450995661,0.34796926454446003,0.0,-0.08317453200313901,-0.18583333333332996
2002-12-31,0.021943573667711998,0.011331444759206997,0.036931818181818,0.14268329783998002,-1.7950726056453001,-0.73691487260517,-1.0293393904978,-0.5482080249318301,0.068466529615829,0.9716528565198399,3.3333333333332997,-0.0028920839530655,0.70915169243627,0.055001424907381,0.12870299309286,-0.0032051282051282,0.40909090909090995,0.48015303682448995,0.027903410416829,0.030946932548762997,-1.0464169381107,0.0,0.13363491869422,-0.09800409416581402
