Date,ODA/FIN_LE_Value,ODA/FIN_LP_Value,ODA/FIN_PPPGDP_Value,ODA/FIN_BCA_NGDPD_Value,ODA/FIN_TX_RPCH_Value,ODA/FIN_TXG_RPCH_Value,ODA/FIN_TM_RPCH_Value,ODA/FIN_TMG_RPCH_Value,ODA/FIN_GGXWDG_NGDP_Value,ODA/FIN_GGXWDN_NGDP_Value,ODA/FIN_GGXCNL_NGDP_Value,ODA/FIN_GGXONLB_NGDP_Value,ODA/FIN_GGR_NGDP_Value,ODA/FIN_GGSB_NPGDP_Value,ODA/FIN_GGX_NGDP_Value,ODA/FIN_NGSD_NGDP_Value,ODA/FIN_PPPEX_Value,ODA/FIN_PCPIPCH_Value,ODA/FIN_PCPIEPCH_Value,ODA/FIN_PCPI_Value,ODA/FIN_PCPIE_Value,ODA/FIN_NGAP_NPGDP_Value,ODA/FIN_PPPSH_Value,ODA/FIN_NID_NGDP_Value,ODA/FIN_LUR_Value
1991-12-31,-0.050020008003201,0.0062024809923969,-0.028846153846154,0.066763125258371,-5.358136721113099,2.0026086956522,37.964809384164,-10.943529411765,0.5825148084276801,-0.036937026703866,-1.0730663928816,-1.6032540675845,0.045347523975422,,0.18621893656917002,-0.30976711547739005,-0.017241379310345,-0.16017752672988,1.1940009675858998,0.041637006070176,0.045358923748182005,-1.3762315270936,-0.07909604519774,-0.21027548886976,1.064375
1992-12-31,-0.071187868576243,0.0051700139192682,-0.012880049066853999,-0.13757023832591,-2.3907551360354997,-2.3695337387779,-1.0431248588846,-1.033778987222,0.7973088221358899,-0.26963984563335003,11.990632318501,2.1124481327801,-0.00087895989745471,,0.09215618583861802,-0.16380734527894,-0.013415892672859,-0.31155416766755,-0.42601984564498,0.028653081510933997,0.026024521434516005,1.9099836333879,-0.1319018404908,-0.15464278761923,0.7749016046018801
1993-12-31,-0.061224489795918,0.0045499505440159,0.015577844842890001,-0.7211862502808399,0.6294041321489201,0.7645379572848399,1.2425828970332,-2.9054290718039,0.37762956714292994,-0.35190497439493,0.5693167477916,0.21837088388214998,-0.0078442872328726,,0.045417491557005,0.080775075987842,-0.00418410041841,-0.23272854152128,0.13714944295044,0.021996472833571,0.029601917768415004,0.25646794150731,-0.028268551236749002,-0.13475797909087,0.39505330490405
1994-12-31,-0.0082125603864734,0.0041354864119732,0.058220076038980995,-1.8444802578566,-0.17292496171516,-0.22865360417041,9.1151750972763,-17.358455882353002,0.042538127403892,0.020021857923496998,-0.18632969557725002,-0.3313272786957,0.0096796837477371,,-0.017473225226372,0.22400337481544,-0.0052521008403361,-0.51068667576171,-0.47972972972973,0.010755611237840999,0.01539257534601,-0.32572366457774,0.0036363636363636,0.055942939266514,0.015222840374152
1995-12-31,0.021919142717974,0.0035301039419494,0.06131466741,2.7614503816793996,-0.36816767886239,-0.3605220228385,-0.36990306200954,-0.61591190021351,-0.017932528174443,-0.7521964599494301,-0.06381476775377701,-0.039927998690885,-0.031614768194957996,,-0.03530878994509299,0.19920730656557,0.02428722280887,-0.070631970260223,-1.2623376623377,0.0099980120911632,-0.004041690793283001,-0.26930736888692003,0.0036231884057971,0.040326645831233,-0.072805010237264
1996-12-31,0.013346043851287,0.0029314051201875,0.054756809338521,-0.019533231861999,-0.30676356816317,-0.13483965014577,-0.11562881562882,0.5226740784084299,0.0036818988879543,0.66313559322034,-0.42180666566129,-0.57508096130902,0.022274702437180997,,-0.027165427041185,-0.045408823106768,-0.021649484536082,0.069,-5.2846534653465005,0.010697911360163,0.017313752165672002,-0.21502119927317,-0.0036101083032491,-0.010999127822463,-0.053192180294862994
1997-12-31,0.020225776105362,0.0029228371005457,0.08022761438360601,0.38783958602846,1.3566114305039,1.2622858747543002,0.63923788485434,0.36574118551254,-0.051469219023500004,0.11532562069413999,-0.58841940532081,-1.0533493782591,-0.021623020199966998,,-0.059127073158104,0.14862762807968,0.0021074815595364,0.14031805425631,-0.082033506643559,0.012188416422287,0.015887530003429,-1.2426697530864,0.021739130434781997,0.072313948361178,-0.13287145013033
1998-12-31,0.02397418165053,0.0025257431513503,0.06159073833754499,0.0083892617449664,-0.33787759202124,-0.38989572989076005,-0.27095089699318,-0.16699493528419002,-0.09906160430327099,0.9494883569147601,-1.9676806083649998,21.909774436089997,-0.0077258731747861,,-0.064456958379955,0.043510549997816,0.023133543638276,0.10828547990156001,-0.50409062303335,0.013512901765504999,0.0078757875787579,1.8012718600953999,0.024822695035461,0.059030474711015996,-0.10102048888536999
1999-12-31,0.03376857271499299,0.0021317829457365,0.054921104695115,0.09835459419485999,0.20275249241439,-0.29725330620549,-0.5100508317929799,-0.68662388110117,-0.041031116534472,-0.42064924971603007,0.0445317616241,-0.027239908106334,-0.019474585950885,,-0.021410505264396,0.16389668020262,-0.0051387461459404,-0.025906735751294995,1.8477157360406002,0.013165241083591999,0.022438044206296002,-0.39727582292848995,0.0034602076124568,-0.035721989732085,-0.10093277015136
2000-12-31,0.01698606271777,0.0019338619222587,0.080383621379726,0.40717051001515003,0.4508514280565801,1.9934858135495002,2.5043621787314,2.8132578819725,-0.034606557749551,-0.37747141618855,3.223197492163,1.5728744939271,0.042712641000252,5.468940316687,-0.05888481497064799,0.13380332350191002,-0.006198347107438,1.2401215805471002,0.27495543672014,0.029482106840951,0.028605742985042003,1.4312617702448,0.0068965517241379,0.066842646861438,-0.042478222570225994
