Date,ODA/MOZ_LE_Value,ODA/MOZ_LP_Value,ODA/MOZ_PPPGDP_Value,ODA/MOZ_BCA_NGDPD_Value,ODA/MOZ_TX_RPCH_Value,ODA/MOZ_TXG_RPCH_Value,ODA/MOZ_TM_RPCH_Value,ODA/MOZ_TMG_RPCH_Value,ODA/MOZ_GGXWDG_NGDP_Value,ODA/MOZ_GGXCNL_NGDP_Value,ODA/MOZ_GGXONLB_NGDP_Value,ODA/MOZ_GGR_NGDP_Value,ODA/MOZ_GGX_NGDP_Value,ODA/MOZ_NGSD_NGDP_Value,ODA/MOZ_PPPEX_Value,ODA/MOZ_PCPIPCH_Value,ODA/MOZ_PCPIEPCH_Value,ODA/MOZ_PCPI_Value,ODA/MOZ_PCPIE_Value,ODA/MOZ_PPPSH_Value,ODA/MOZ_NID_NGDP_Value
1991-12-31,,0.019016348587455004,0.10106382978722998,-0.053425570928488,0.58065,0.94045,1.3951851851852,-0.28777777777778,,-0.36254528985507006,-0.46090938828916994,0.29856788929845,0.15931314094920002,-0.75967025998732,0.08847736625514399,-0.23934771173067,-0.25234081403001996,0.33263859941642,0.3522829814113,0.0,-0.56504662593596
1992-12-31,,0.018661475464859,-0.030864197530863998,0.15092013736022,-0.69892132983266,-1.1334741941302,-1.4689191278799998,-3.0998439937597997,,-0.08383658969804599,-0.79672330097087,0.24583527221964002,0.20765274634849,0.31873350923483,0.32230623818526,0.3553430753502899,0.54767990003976,0.45073506412261,0.54490858134259,-0.15384615384615,0.2181443734488
1993-12-31,,0.021482701812191002,0.11354195513708001,0.26080636523601997,-0.63500735448624,-0.10270270270269999,-2.8730420445177,-3.090019811788,,0.3679720822024,2.1313432835821,-0.056101296081873,-0.018840283455983,-0.26800720288115,0.42387419585418,-0.062583192829887,-0.19930275229358,0.42259594652868004,0.43633379405667,0.09090909090909101,0.031558869429513
1994-12-31,,0.027675633830075,0.084307386222333,-0.10655339805825001,1.4513529073115,-5.8216437177281,-0.61584507042254,-0.7443568931808799,,0.5209750566893401,3.0381315538608,0.0050255233271338,0.06823153581721599,0.37925379253793,0.53363453815261,0.49385871494498,0.29607223062468,0.63117611397393,0.5656462380465501,0.0,0.042864346949067
1995-12-31,,0.025925925925926,0.043577981651376003,-0.21088019559901997,-0.5935885392202901,-1.1467582883405,-5.409945004583,-6.6996523754345,,-0.38837122623928005,-0.61779981114259,-0.14253090794551002,-0.18541151995839,0.88376932223543,0.4873977086743,-0.24483944045752,-0.0003713002581421,0.47670150987223997,0.5653426551936099,0.0,0.23424403610574
1996-12-31,,0.025882640886006003,0.16879120879120998,-0.25518547207160996,3.8789367234902996,-10.365156582548,-1.3874772668226,-1.3639098967228,,-0.21480804387569,-0.20568252007411997,-0.26889521535495003,-0.26181165203511997,-0.30708537162695004,0.51496478873239,0.017265251321641,-0.6578700673895,0.48489901214371,0.19342805958428,0.16666666666667002,-0.28737471024193
1997-12-31,,0.024692830728856002,0.12993606619030001,-0.42743240120176,-0.5338742153263101,-0.8835465229530601,-0.066648786375218,-0.35586592178771004,,-0.10205665502522002,-0.13763608087092,0.18395930159527998,0.14411589815666,0.18598648751233998,0.063335270191749,-0.84821925718175,-0.6796257043891801,0.073603254306235,0.061976928296764995,0.0,-0.057176891006552
1998-12-31,,0.020139697322468002,0.13030454318522,0.28799192734610995,1.2176343539576002,5.655143574017299,2.382183908046,1.9708586296618,,-0.40363007778737997,-0.5689810640216401,-0.055593867699326,-0.09359792109614899,0.1415221148307,0.032786885245901995,-0.79796195652174,-1.1542681942876,0.014859984607187,-0.0095653015780811,0.14285714285714002,0.17673356334126997
1999-12-31,,0.019685039370079,0.10026501766783999,1.1109370103416,-0.18052134059009,-0.17572888739946,0.8897196261682201,1.7146610614819,,-0.68478260869565,-1.2594142259413998,0.19030500477448,0.12729357798165,0.30122238420993996,0.025793650793651004,0.93275050437122,-7.502092050209201,0.028740325905183998,0.062168872553811,0.0,0.51461843409316
2000-12-31,,0.022662413966762,0.038404924394487,0.32660332541568,-0.9424636465324399,0.013874066168623,-1.0896726913047,-1.2942960381985,0.005313431470456,2.983908045977,-13.637096774194,0.034637346043132004,0.09400721353925802,-0.32465741618546995,0.09052224371373299,3.4234516353514,0.8400900900900901,0.12711704218963002,0.11437300988386,0.0,-0.08544631659305299
2001-12-31,,0.027905449770191,0.14819587628866,0.0071620411817368,59.764277035237,4.4977443609023,-3.3096014038606,-0.7163633706058601,0.049334971260446,2.5476053087132002,2.5628589661773997,0.032930444697832996,0.21708440762501002,-0.49642674834099004,0.11966418351661,-0.28726500432628,0.9177303724427299,0.090610273524627,0.21934098604344,0.125,-0.22814810398282998
2002-12-31,,0.028425423187480002,0.10909090909091,0.28505555555556,-0.5658581455338001,-0.85209700948213,1.955497666341,-13.465343983509,-0.3517704870646,-0.22495120364345997,-0.37578362887336997,-0.046098821035899,-0.084250737975343,-0.18170299036999,0.06315344809378,0.85067873303167,-0.584271711876,0.16770205437323,0.09118862174060302,0.055555555555556,0.14282955467151
2003-12-31,,0.028623188405797,0.08611617081562402,-0.24611992564091,-0.7589240477177501,-0.034582665515966005,-1.1522274046054,-1.023171689611,-0.006922922565829001,-0.21972717733473002,-0.27374461979914,0.043142156182012,-0.0043991050096704,-0.2192629296996,0.027118307340816,-0.19762657284274998,0.51496874657309,0.13455713871843,0.13816303983515,0.0,-0.24025820406231999
