Date,ODA/GTM_LE_Value,ODA/GTM_LP_Value,ODA/GTM_PPPGDP_Value,ODA/GTM_BCA_NGDPD_Value,ODA/GTM_TX_RPCH_Value,ODA/GTM_TXG_RPCH_Value,ODA/GTM_TM_RPCH_Value,ODA/GTM_TMG_RPCH_Value,ODA/GTM_GGXWDG_NGDP_Value,ODA/GTM_GGXCNL_NGDP_Value,ODA/GTM_GGXONLB_NGDP_Value,ODA/GTM_GGR_NGDP_Value,ODA/GTM_GGX_NGDP_Value,ODA/GTM_NGSD_NGDP_Value,ODA/GTM_PPPEX_Value,ODA/GTM_PCPIPCH_Value,ODA/GTM_PCPIEPCH_Value,ODA/GTM_PCPI_Value,ODA/GTM_PCPIE_Value,ODA/GTM_PPPSH_Value,ODA/GTM_NID_NGDP_Value
1991-12-31,,0.023980523432744996,0.065019955375381,-0.29880478087649,-0.13913385826772,-0.42673894785065003,-2.2861568967654,-2.8160224089635997,,,,,,0.0019531249999999,0.28642714570858,-0.075414066408616,-0.8327759197324399,0.35117310610482,0.09996659827265302,0.0083333333333333,0.0073130917401241
1992-12-31,,0.02567760342368,0.07028622012393,2.4829545454545,0.47425226378853,0.12613212573255,2.6254576989786003,1.1451135241856,,,,,,-0.06307992202729,0.064391000775795,-0.7083416398484901,0.42,0.10237138784501999,0.14202672219329998,-0.057851239669421,0.30751280222986
1993-12-31,,0.026541492814093997,0.059164093515659,-0.08809135399673701,-0.68631343839186,-0.076995860437611,-0.7763189368770799,-0.77861826967326,,,,,,0.026381491344873997,0.11880466472302999,0.30485304169515004,-0.1830985915493,0.13365463735747,0.11600698928816,0.0087719298245614,-0.03301769867631799
1994-12-31,,0.026871401151632005,0.057186735384455,-0.21258199165176,-2.3613528481012995,-1.1913121476166002,-0.31012357414449,-0.42354163959984004,,,,,,-0.06081245439065901,0.09381107491856698,-0.064057472124523,0.0,0.12505184570718,0.11599727705922,0.0086956521739131,-0.09987182773647801
1995-12-31,,0.027047828477185,0.065936230456728,-0.18667171525936999,-3.3802121168095,-13.675820495646,0.13933861522563,0.9700247915258101,,,,,,0.09747043080376401,0.06432400238237,-0.32749660190293,-0.25862068965517004,0.08411674347158199,0.08600707575942401,0.0086206896551724,-0.01913766588825
1996-12-31,,0.026870784712557997,0.046728108470192,-0.26000931098696,-0.8948300067142801,-0.63878467635403,-1.9653817082389,-1.6292186248713,,,,,,-0.059078036500944,0.069390039171796,0.31458803947212,0.26209302325580996,0.11057583314441001,0.10854302403954,-0.017094017094017,-0.12478950119040999
1997-12-31,,0.026793160967473,0.05929473033807,0.23843976093110997,2.2083575159605,1.0481275599766,-5.2803006576887,-6.9190909090909,,,,,,0.071482317531979,0.06436420722135,-0.16496337161979002,-0.34346784595541,0.09231946925236,0.07123856813518101,0.0,0.10436571125264998
1998-12-31,,0.026703218600872998,0.057204758035955997,0.5250190500381,3.6325976845152,0.81429897864438,0.09102217019097099,-0.055751804638304,,,,,,0.09339887640449401,0.083087512291052,-0.28376475685043,0.049256244737580994,0.066132498598393,0.074778290173821,0.026086956521739,0.19723640732953002
1999-12-31,,0.026799841772152,0.05276951269975799,0.036142571618920996,-0.34612831426452,-0.84682308479647,-0.9649252229897399,-1.0178594664932,,,,,,0.019910083493898997,0.034952337721289,-0.21155300166339003,-0.3425170522937,0.05214838186638599,0.049156159922547,0.0,0.026395022079486
2000-12-31,,0.08167196378696001,0.04860838152993799,-0.018325028130526,-0.48438339802926006,2.526856849139,7.2667304015296,-27.723132969035,,,,,,-0.033935068569828995,0.044736842105263,0.14652857690832,0.84682668836452,0.059768008496637,0.09079088106373599,-0.025423728813558998,-0.026596264789282995
2001-12-31,,0.024485798237022998,0.0473368556333,0.060586212542983006,-0.45193421357423996,-1.522626247905,0.29594078871285,-0.96973621430032,0.06163555088088401,0.067710965133906,-0.08566721581548599,0.004455966944827,0.013126658287948999,-0.04519446657492599,0.051637279596977004,0.21846771495483,-0.019495539156294997,0.072844819116115,0.08902134204960599,0.0,-0.012606730286288
2002-12-31,,0.024943507735095002,0.054621991955825,-0.06252894858730901,-1.0612848689771999,-0.9539877300613501,-0.431911475995,11.918918918919001,-0.090999157873879,-0.48461902508282,-1.554954954955,0.030972737538313,-0.044038594073053,0.09853599332473599,0.04830339321357299,0.1169686985173,-0.289934846102,0.08136127188805,0.063206214689266,0.0086956521739131,0.045526222086576
2003-12-31,,0.025269227507843998,0.045749099077261,-0.23386034255599,-10.668965517241,-9.1666666666667,-1.0906377631166,-1.2064156206416001,0.13852861035422,1.3875114784206,-5.2142857142857,-0.019636989516508,0.090764905197895,0.08051374119596699,0.024371667936024,-0.3114552605703,-0.072615092548647,0.05601477014804,0.05861839920292299,-0.0086206896551724,-0.012309039602997
2004-12-31,,0.025308080390372998,0.059880702188157005,0.044496990541702,1.9065620542083002,0.65751391465677,-14.653379549393001,-6.1925675675676,0.025512157763737,-0.58,-1.211093990755,-0.016838241161918004,-0.11354923992069,0.021664110429448002,0.032342007434943996,0.35290967511603005,0.5735243944046401,0.075787954126233,0.09223529411764698,-0.026086956521739,0.026895226836117
2005-12-31,,0.025248043881584,0.06582880137635401,-0.06174109899156201,-0.8284662576687098,-1.4128050145512,-1.1745366844376999,-1.3993168510085,-0.031178529754959,0.58424908424908,-2.1788321167883,-0.026785714285714003,0.022964509394572005,-0.05072871708262999,0.023406553835074,0.20160971104367004,-0.070468343451865,0.09106903235425699,0.08573890564411901,-0.0089285714285714,-0.053293039765914
