Date,ODA/YEM_LE_Value,ODA/YEM_LP_Value,ODA/YEM_PPPGDP_Value,ODA/YEM_BCA_NGDPD_Value,ODA/YEM_TX_RPCH_Value,ODA/YEM_TXG_RPCH_Value,ODA/YEM_TM_RPCH_Value,ODA/YEM_TMG_RPCH_Value,ODA/YEM_GGXWDG_NGDP_Value,ODA/YEM_GGXWDN_NGDP_Value,ODA/YEM_GGXCNL_NGDP_Value,ODA/YEM_GGXONLB_NGDP_Value,ODA/YEM_GGR_NGDP_Value,ODA/YEM_GGX_NGDP_Value,ODA/YEM_NGSD_NGDP_Value,ODA/YEM_PPPEX_Value,ODA/YEM_PCPIPCH_Value,ODA/YEM_PCPIEPCH_Value,ODA/YEM_PCPI_Value,ODA/YEM_PCPIE_Value,ODA/YEM_PPPSH_Value,ODA/YEM_NID_NGDP_Value
1991-12-31,,0.047492967069336,0.09831070657204598,-1.5845626072041001,,,,,,,,,,,-0.63847837985769,0.083756789907132,,,0.44896777927841003,,0.040816326530612,0.11061093247588001
1992-12-31,,0.049684044233807,0.10671770200512999,-0.32365023474178,-2.9350318471338,38.167539267016004,-0.039714625445897996,-1.8636473139003,,,,,,,1.0505677517033,0.10654810024252001,0.13998174247991002,,0.5121171770972001,,-0.029411764705882002,0.44383323682687
1993-12-31,,0.049589886372187995,0.06476075644117299,-0.06767895878525,-4.9447004608295,-2.2939446598048,0.44873699851411997,-3.4751743375174,,,,,,,-0.27783520378027005,0.13661601402688,0.2059765625,,0.61738288129623,,0.020202020202020003,-0.07349107679967899
1994-12-31,,0.046745053054201,0.089936525911136,-1.4536993950675,-2.6779873164218997,-2.9146694214876003,-4.7877777777778,-3.3961796359947996,,,,,,,1.6263163275738999,0.18279984573853,0.15435817704791,,0.71280013066913,,0.02970297029703,0.03527756736284
1995-12-31,,0.042397260273973,0.078742310321258,-0.69025641025641,-4.3886319558407,-5.6222617891443,-1.822009612564,-1.8193533215755,,,,,,,-0.11772033634382,0.42756222149766,-0.10360986012318,,0.63892685717919,0.5719971367215501,0.019230769230768996,0.13666771192641
1996-12-31,,0.037913134897168,0.065441642377392,1.9701986754966998,0.5221302574036599,0.59935332500671,0.33182354717395,0.3745946101082,,,-0.84004181913225,-1.3810293099469,0.61953447900805,0.27235047871679,0.060536533709848,0.34320517700798997,-0.39295999499155,-0.52402097902098,0.38784693264028003,0.27226694838075,0.009433962264150999,0.059359050990849996
1997-12-31,,0.03437579133958,0.07034279325356199,-0.6421404682274201,-0.84149786446332,-0.88867642228953,-0.62547148422203,-0.68397536277273,,,0.63616557734205,-0.49121744397335,0.09879113498992599,0.11486090299042,0.030495922782492996,0.1138128436207,-0.8804950367410099,-0.7410563432013499,0.046355302140981,0.070493915533286,0.0093457943925234,0.069053819444444
1998-12-31,,0.032070506150927006,0.071565097568565,-16.682242990654,-1.1773114355231,-1.231167639153,-0.15249573496229998,0.12354651162791001,,,4.1737683089213995,-6.645238095238099,-0.19017786198888,0.0013440860215056,-0.25669183253260003,-0.09322680779604099,1.4901833872708001,0.68936170212766,0.11540875883162,0.11910557145532001,0.037037037037037,-0.039827859201819
1999-12-31,,0.031251853169661004,0.053635873397768,-2.4292808899483997,-7.3005145797599,-9.7404991491775,-2.1218831168831,-2.0375749735388,,-0.21212730823714998,-1.0077210140265,-1.7334458034584999,0.068304464319408,-0.17572220601108998,0.40687632393678,0.31443964307760996,-0.31476347253509,-0.14492023509656,0.079088536053835,0.10182839388145,0.0,-0.20904862579280997
2000-12-31,,0.031454859114434,0.08598425196850401,0.9192494788047301,-1.0649569857345,-0.9738473019890301,-0.57087457313191,-0.71226976480589,-0.36656949505465997,-0.39972764218993,100.45,1.3887291546866,0.33441661662369004,0.12181393372982001,0.26387923712454997,0.20604559815558,0.38626880768744,-0.16948153967007,0.10964391526759,0.08458693506578001,0.017857142857143002,0.011867849887736998
2001-12-31,,0.031722138596198,0.06168430974478,-0.50691577956405,-2.2849958088852005,1.1761786600496003,-2.7035338548692,-3.6994287965334,-0.0044706694498775,-0.036244727234058,-0.54213898472154,-0.42356764564274996,-0.11912325285896001,-0.037868029915744,-0.19451996212237,0.0045666949872557,0.08682962422473499,1.642468668716,0.11915999999999999,0.2235,0.0087719298245614,0.033389687235841
2002-12-31,,0.031773478871717,0.055317477932765,-0.39110001468644,4.870189171559,2.8762827822121,0.097307996832937,0.08872674206494,-0.045270683022668,-0.081229196167497,-1.1991388589882,-0.7304238880768399,-0.09162759947108999,0.0096428220013776,-0.14179528992376997,0.07069105261303199,0.027106411547499,-0.80626398210291,0.12238643268165,0.043293829178586,0.0086956521739131,-0.055010224948875
2003-12-31,,0.031842463601131,0.05816116872401401,-0.6401350699469399,-1.668740971219,-2.3085747904104,-1.1339923515405,-0.83432745794518,-0.017362131876112998,0.044175340272218,6.569369369369401,-2.8931061192873995,0.029410791676316002,0.14728908813306,-0.018161732213875,0.08725274001908999,-0.11504207860119,2.1387990762125,0.10830885338301,0.13591388751792,0.0,0.12134819303181
2004-12-31,,0.031824180286265,0.06831177567807199,0.08579088471849902,0.49617813226985996,0.12970664268855,4.530963920301599,-4.9862459546926,-0.083680903859353,-0.1284528533364,-0.48774101404428005,-0.98076923076923,0.028731199382953997,-0.032703797038254,-0.014402088302804,0.11058303566022999,0.15317145231280999,-0.26561695239496996,0.12490482552544,0.099816546663356,-0.017241379310345,-0.021566073237806
