Date,ODA/BGD_LE_Value,ODA/BGD_LP_Value,ODA/BGD_PPPGDP_Value,ODA/BGD_BCA_NGDPD_Value,ODA/BGD_TX_RPCH_Value,ODA/BGD_TXG_RPCH_Value,ODA/BGD_TM_RPCH_Value,ODA/BGD_TMG_RPCH_Value,ODA/BGD_GGXWDG_NGDP_Value,ODA/BGD_GGXCNL_NGDP_Value,ODA/BGD_GGXONLB_NGDP_Value,ODA/BGD_GGR_NGDP_Value,ODA/BGD_GGX_NGDP_Value,ODA/BGD_NGSD_NGDP_Value,ODA/BGD_PPPEX_Value,ODA/BGD_PCPIPCH_Value,ODA/BGD_PCPIEPCH_Value,ODA/BGD_PCPI_Value,ODA/BGD_PCPIE_Value,ODA/BGD_PPPSH_Value,ODA/BGD_NID_NGDP_Value
1991-12-31,,0.023736799955301,0.07671663788647,-0.64494631617919,0.7232632249840699,0.75386960600375,-2.109318406322,-1.4520646319568997,,-3.879781420765,2.3664122137405,0.035577551592119,-0.030205655526992,0.041446747041502,0.013375413285241998,-0.21260216688842,-0.83576642335766,0.082835610190474,0.019338422391857,0.017492711370262,0.0081315184726888
1992-12-31,,0.022704325283122002,0.071904304656057,-0.63607924921794,0.14498113765811,0.11459517282878,2.2374591867022997,6.4741858617951,,-0.19544592030360997,-0.10733182161753999,-0.016321009918846,-0.0073842658335701,-0.047852760736195994,-0.0068960403381284,-0.56258298129149,-0.22222222222222002,0.036243656858616,0.015054341564576,-0.05730659025788,0.030685604068034004
1993-12-31,,0.021942346861631,0.068062477962128,-0.002865329512894,-0.00012920731313385,-0.055185651730550005,0.04199138168148899,0.2933049946865,,0.19811320754717,0.04826418289585099,0.1107342561188,0.10720076299475,-0.013446884805020001,-0.0030613006794594,-0.17798013245033,2.6172757475083,0.029788634252090003,0.054443645719042,0.021276595744681,0.031133038448452003
1994-12-31,,0.021506031436579,0.067374525987062,1.2528735632183998,0.057698520385088,0.17560789791123999,0.47804663440387,0.24026294165982,,-0.9251968503937,-0.41437802907915994,-0.0084179252290171,0.031699543457662,0.037255792821445,0.034451767525464,1.0644511581067,0.61223365172667,0.061500291336955,0.08778256189451,0.014880952380951998,0.032942858714183995
1995-12-31,,0.02130886349888,0.069550097804825,1.5561224489796002,-0.6656689065363499,-0.25490090187395004,-0.12168115251816,0.13402676560223,,-12.815789473684001,-0.58206896551724,0.00049937578027468,0.041162227602906,0.039695575996496,0.035331595713872004,0.6450406504065,-0.11963085336675,0.10117751217353,0.077268154305411,0.011730205278591997,0.04222127568949
1996-12-31,,0.021114540752482,0.069302674565832,0.043413173652695,1.371094463731,0.048561281437994,-1.0143012064524999,-0.7316702693229,,4.347438752784,-5.937293729372901,-0.22893270110640002,-0.064073777064956,0.060982674179788,0.017832167832167997,-0.7573391321538,-0.9051378283939399,0.024554181607679998,0.007318044030741999,0.011594202898551,0.040766283524904
1997-12-31,,0.020784143920393003,0.071067807883754,-0.3610712577714,0.8219927564152,0.5077071956867399,-17.663507109005,-0.023514043109078998,,-0.038317367763431996,-0.022058823529412002,0.020390549142301997,0.0082255162368263,0.041941728297017,0.024733768464445003,1.0199592668024,7.1268758526603,0.049579383514345,0.059562891361177005,0.008595988538682,0.040642026211162
1998-12-31,,0.020280923606387002,0.06184145875416299,-0.31511976047903995,-0.44150735916088996,-0.35673024023472993,4.386803185438,3.2929765886288,,0.12559549588566,0.08407382091592598,-0.046204271516177,-0.01249256395003,0.021103277439023998,0.038216560509554,0.7438999798346401,1.1277488668793,0.086489719626168,0.12675894714194,0.025568181818182004,0.034196500165086005
1999-12-31,,0.019516940045027,0.07034152109924299,-0.1672131147541,-0.32366527830367,-0.40096928230347,-0.7596092925026401,-0.78518749350784,,-0.39168911119661,-0.78499369482976,-0.051213834386432004,-0.12745266781411,0.028178213202706002,0.016402970616726003,-0.28549953746531,-0.75755424063116,0.061781747615574,0.030731235360016002,0.019390581717452,0.031834351910973
2000-12-31,,0.018589334215609,0.080021375860889,0.64698162729659,0.33904378009182,0.52849494348602,-0.9545354711179399,-1.1179883945841,,0.86590765338393,3.5923753665688998,0.0026872298165675,0.13739027517507,0.0017242161622578,-0.0054641336806659,-0.59815504126881,-0.49430523917995,0.024835381344947005,0.015537386063286002,0.0054347826086957,0.019138967468175
