Date,ODA/BRN_LE_Value,ODA/BRN_LP_Value,ODA/BRN_PPPGDP_Value,ODA/BRN_BCA_NGDPD_Value,ODA/BRN_TX_RPCH_Value,ODA/BRN_TXG_RPCH_Value,ODA/BRN_TM_RPCH_Value,ODA/BRN_TMG_RPCH_Value,ODA/BRN_GGXWDG_NGDP_Value,ODA/BRN_GGXCNL_NGDP_Value,ODA/BRN_GGXONLB_NGDP_Value,ODA/BRN_GGR_NGDP_Value,ODA/BRN_GGX_NGDP_Value,ODA/BRN_PPPEX_Value,ODA/BRN_PCPIPCH_Value,ODA/BRN_PCPIEPCH_Value,ODA/BRN_PCPI_Value,ODA/BRN_PCPIE_Value,ODA/BRN_PPPSH_Value,ODA/BRN_NID_NGDP_Value,ODA/BRN_LUR_Value
1991-12-31,,0.027667984189722997,0.06586452066567701,-0.036270582999555,5.861502347417799,5.5834797891037,-0.20269667929573998,0.21332007952285997,,-0.3377308707124,-0.3377308707124,-0.0097137737539491,-0.02640588985611,-0.060120240480962005,-0.25785278949836,,0.015832214335955,,0.020833333333333,,
1992-12-31,,0.026923076923077004,0.071470458876998,-0.35533075502192996,-0.31098186794389004,-0.51588360918313,0.6879804332634499,0.8662133377027701,,6.261620185923,6.261620185923,-0.18796723965525,0.035304663617349,-0.0063965884861406,-0.20467466835123002,,0.012589226140269,0.012589226140269,-0.061224489795918,,0.0
1993-12-31,,0.026217228464419,0.026818088527057003,-0.28410896962371,-1.461271102284,-1.3462917011304,-0.8579176154005401,0.06870363053689799,,0.5894294074615899,0.5894294074615899,0.0050429530594894,0.14690406944475,-0.051502145922747,2.405877680699,2.405877680699,0.042892842490022995,0.042892842490022995,-0.021739130434783,,0.0
1994-12-31,,0.025547445255474,0.053501232593777,0.21956786842188,-2.0222461428059,-3.9641719745222996,-3.1404428904429,-1.2004189944133998,,0.90495915314693,0.90495915314693,0.049738907202660006,0.33751451800232,-0.10633484162896,-0.42910447761194,-0.42910447761194,0.024474565764218997,0.024474565764218997,0.0,,0.0
1995-12-31,,0.02135231316726,0.066531748039464,-0.13606645642642998,4.9017199017199005,1.1582057480526,-3.1617206643071003,-2.0955113752818,,-0.096853104614641,-0.096853104614641,0.015006669630947,-0.038583999073752,0.0075949367088608,1.4395424836601,1.4395424836601,0.059718860547384005,0.059718860547384005,0.0,,0.042553191489362
1996-12-31,,0.02787456445993,0.047616223908917996,-0.1286799620133,-1.2048293089092,-1.8770379589297,0.33274559193955,2.8353601496726,,-0.59013542885805,-0.59013542885805,0.085395904063082,-0.21872647900045,0.025125628140703,-0.67096450100469,-0.67096450100469,0.019655641937893,0.019655641937893,0.0,0.12688887676613,-0.31734693877551
1997-12-31,,0.023728813559322003,0.0020943001075451,-0.083038147138965,0.47154471544715004,-0.7438626365829399,-1.7870912870913003,-2.4067317073171,,0.30398955698784,0.30398955698784,-0.070605150972429,0.017861271676301003,0.068627450980392,-0.1323155216285,-0.1323155216285,0.017047534945831,0.017047534945831,-0.044444444444444,-0.14077552403544,-0.47832585949178
1998-12-31,,0.026490066225166,0.0051965657478535,-0.24348116781814003,0.96369376479874,2.5645429362881003,-0.19294032897106,-0.15077328524863,,0.98435838077958,0.98435838077958,-0.23281945499945997,0.13546103318379,-0.12614678899082998,-1.2486803519062,-1.2486803519062,-0.0042354485869485,-0.0042354485869485,-0.046511627906977,-0.047411121753338,-0.5770773638968499
1999-12-31,,0.022580645161290002,0.046302539896605995,0.7340305395983701,-2.4029340836013,-2.6795150761579,-0.72976792621244,-0.6846876276031,,-0.27680035313406,-0.27680035313406,0.15085261444845002,-0.07528799826617501,0.09973753280839899,-0.9811320754717,-0.9811320754717,-8.5069278293463e-05,-8.5069278293463e-05,0.0,-0.36764749371581,5.1287262872629
2000-12-31,,0.025236593059936998,0.051933404940924,0.41464450547895,-0.14847443059734,0.17814177308902,0.7156619873382901,1.6127946127946002,,-1.3313859702664,-1.3313859702664,0.51072855825392,-0.25103214523951,0.26014319809069,-147.75,-147.75,0.011751193729861,0.011751193729861,-0.024390243902439,-0.38932797081794,0.043555162502764
2001-12-31,,0.024615384615384997,0.050850053606984004,-0.07005464262124499,-0.8904028934309,-1.1882805749745,-1.5106690197336998,-1.1180114988105,,-0.6230759110643299,-0.6230759110643299,-0.14184844538499,-0.053775605998604,-0.07575757575757598,-0.48637137989778995,-0.48637137989778995,0.006022829994324,0.006022829994324,0.0,0.10506968907949,0.52457627118644
2002-12-31,,0.021021021021021,0.054656755574989,-0.13540388713114002,3.4297774366846,-4.3083020442219,3.1922714420358,18.910541789164,,-2.7842931937173,-2.7842931937173,-0.032793493467384,0.16772240453839998,-0.012295081967213,-4.7943615257048,-4.7943615257048,-0.022870934375358996,-0.022870934375358996,0.025,0.47331947331947,-0.51876042245692
2003-12-31,,0.017647058823529,0.04956697991523901,0.10229026636794,-0.60776160776161,-0.67957124842371,-1.6050659472422,-1.4210137743371,,-2.7472613458529,-2.7472613458529,0.058004412846286,-0.2544115724805,0.039419087136929,-1.1311188811189,-1.402972027972,0.0029939479480764,0.009217082611578001,-0.024390243902439,-0.29186265286924,0.29021079988449
2004-12-31,,0.017341040462428,0.032654494382022003,-0.04607150116308,-1.315371024735,-2.1979535615899,-1.4656923458013,-1.1442958064031001,,0.062583967756381,0.062583967756381,0.071160441190101,0.073398784478728,0.12974051896208,1.99,0.83080260303688,0.0089763544487324,0.016877860654348,-0.025,-0.104217867818,-0.21665174574754
