Date,ODA/PRY_LE_Value,ODA/PRY_LP_Value,ODA/PRY_PPPGDP_Value,ODA/PRY_BCA_NGDPD_Value,ODA/PRY_TX_RPCH_Value,ODA/PRY_TXG_RPCH_Value,ODA/PRY_TM_RPCH_Value,ODA/PRY_TMG_RPCH_Value,ODA/PRY_GGXWDG_NGDP_Value,ODA/PRY_GGXCNL_NGDP_Value,ODA/PRY_GGXONLB_NGDP_Value,ODA/PRY_GGR_NGDP_Value,ODA/PRY_GGSB_NPGDP_Value,ODA/PRY_GGX_NGDP_Value,ODA/PRY_NGSD_NGDP_Value,ODA/PRY_PPPEX_Value,ODA/PRY_PCPIPCH_Value,ODA/PRY_PCPIEPCH_Value,ODA/PRY_PCPI_Value,ODA/PRY_PCPIE_Value,ODA/PRY_PPPSH_Value,ODA/PRY_NID_NGDP_Value,ODA/PRY_LUR_Value
1991-12-31,,0.064808021521154,0.059224002891915005,-0.68634781487689,-0.9315068493150699,-0.9315068493150699,-0.90255220417633,-0.90255220417633,-0.26283897735922,-0.94489148988052,-0.8099374565670601,-0.20001299207482998,,0.070486141857788,-0.29651884266214,0.4488756298867,-0.36389602222106004,-0.73129992737836,0.24273447820343,0.11837667905116,0.0,-0.16426853269189,-0.22727272727273
1992-12-31,,0.024575103353238,0.040156987657129994,-0.8483353884093701,-3.0485,-3.0485,-0.030714285714286,-0.030714285714286,-0.30373339812115,-5.3097345132743,-1.1307129798903,0.09370686155095401,,0.19472247497724998,-0.12440813294959,0.11540054172951,-0.37775489186406,0.50126689189189,0.15104969439277,0.17775733415108,-0.095238095238095,-0.03223611910618,0.039215686274510005
1993-12-31,,0.023985653440932002,0.07431508722043,4.8536585365854,-10.665120820112,-10.665120820112,6.7730287398674,6.7730287398674,-0.22692643210236,-1.7084188911703997,-11.041958041958,0.1323780533076,,0.0082392854670082,0.15730039232319,0.09612476499278,0.2099966898378,0.14599156118143,0.18275846146742,0.20369727477868,0.035087719298246,0.063591629265127,-0.037735849056603994
1994-12-31,,0.023423817863398,0.07558790593505,-1.9458333333333,-0.8367594322945601,-0.8367594322945601,-0.15623814941220998,-0.15623814941220998,-0.29696080643948,2.536231884058,1.1650417827298,0.14575137686860998,,0.032481801950282004,0.024783544825691003,0.10227262134474,0.1268807791213,-0.10181639666175998,0.2059730626586,0.18296200158627,0.016949152542373,0.24124256444151,-0.13725490196078
1995-12-31,,0.022887700534759,0.09053050021295699,0.17425354870289,1.6079826732673002,1.6079826732673002,-0.5725468164794,-0.5725468164794,-0.060670911133701,-0.7077868852459,-0.53843679639756,0.045894134477825,,0.16820751579647,-0.12284309342869999,0.08807299881182401,-0.35001942124684005,-0.4243003935286401,0.13385775792302002,0.10532410934691001,0.03333333333333299,-0.098017530924879,-0.25
1996-12-31,,0.022166457549142995,0.034238847422322,-0.7052938724468499,-0.18620239648831,-0.18620239648831,-1.3952510295276999,-1.3952510295276999,-0.043629321638092994,-1.0266479663394,-0.6285714285714301,-0.032062154620561,,0.0082555226599863,0.09173376821934599,0.09424361834145499,-0.26809591394637,-0.22377290420583,0.097984354479529,0.08177782679423198,-0.016129032258065,0.0049044094273648,1.4848484848485
1997-12-31,,0.0,0.06029454957412,6.7878359264498,-0.12034404840003,-0.12034404840003,-1.1995123032586998,-1.1995123032586998,0.06979929724257,7.6842105263158,-0.42776735459661996,0.11305183426601,,0.12123778869501001,-0.18719073849314,0.016702338729917,-0.29067156562564,-0.24180528375734,0.069504394404285,0.06198547215496401,0.0,0.03565457092503,-0.3902439024390201
1998-12-31,,0.0,0.011555203798971002,-1.265528514348,-1.8001325820351002,-1.8001325820351002,-15.625555555556,-15.625555555556,0.26465512442242,-2.3696969696970003,2.0131147540984,-0.00015235386724899997,,-0.019842868654311,0.19383184011026997,0.12080583018277001,0.66244604316547,1.3623165026617,0.11553329605407002,0.14644682842537,-0.032786885245901995,-0.15677633301335,0.16
1999-12-31,,0.0,0.0014083405054377,0.13064295485636,1.3160729080365001,1.3160729080365001,0.6528906784167701,0.6528906784167701,0.24959281595281002,-12.62389380531,-3.0544069640914,-0.033218203982121004,,0.11293803309012,-0.074373406455958,0.062347157784070996,-0.41570019041024997,-0.63097514340344,0.067497766057145,0.05403085683183701,-0.033898305084746,-0.08988357050452803,0.17241379310345
2000-12-31,,0.093698854337152,-0.0008985076959137301,-2.8239564428312005,-1.6164818458235999,-1.6164818458235999,-2.1588913912764,-2.1588913912764,0.093740092295769,-0.99695470118005,-1.5752118644068,-0.032993590417148,,-0.14990766389657997,-0.33693674964919,0.09257497244792501,0.33076581247222997,0.59955588452998,0.089832584728461,0.08643495531281,-0.07017543859649099,-0.10319536047305002,0.073529411764706
2001-12-31,,0.020576131687243,0.014232649071358999,-0.8616915422885602,-0.57641256255893,-0.57641256255893,-1.0137225350995,-1.0137225350995,0.079457614017006,-23.5,0.27163904235727,0.017005324350754997,,0.0068429913647967,0.20159899670795,0.08558933908064001,-0.19100623330365,-0.029962980101805,0.072686399400524,0.083854338049797,-0.037735849056603994,-0.0016483864832308,0.041095890410959
2002-12-31,,0.020344574780058997,0.015150931030495002,-24.498800959232998,-1.3857876712329,-1.3857876712329,13.754335260116001,13.754335260116001,0.25311054751604,-14.161111111111,-1.8001448225923002,-0.07922431753833001,,0.057500404552565006,0.6213307240704499,0.13206651144691,0.44647771051183,0.74669051878354,0.10513447432763001,0.14646899087520002,-0.019607843137255002,-0.043881374230011996,0.42105263157895
