Date,ODA/BHR_LE_Value,ODA/BHR_LP_Value,ODA/BHR_PPPGDP_Value,ODA/BHR_BCA_NGDPD_Value,ODA/BHR_TX_RPCH_Value,ODA/BHR_TXG_RPCH_Value,ODA/BHR_TM_RPCH_Value,ODA/BHR_TMG_RPCH_Value,ODA/BHR_GGXWDG_NGDP_Value,ODA/BHR_GGXWDN_NGDP_Value,ODA/BHR_GGXCNL_NGDP_Value,ODA/BHR_GGXONLB_NGDP_Value,ODA/BHR_GGR_NGDP_Value,ODA/BHR_GGX_NGDP_Value,ODA/BHR_NGSD_NGDP_Value,ODA/BHR_PPPEX_Value,ODA/BHR_PCPIPCH_Value,ODA/BHR_PCPIEPCH_Value,ODA/BHR_PCPI_Value,ODA/BHR_PCPIE_Value,ODA/BHR_PPPSH_Value,ODA/BHR_NID_NGDP_Value,ODA/BHR_LUR_Value
1991-12-31,,0.041666666666667,0.05693465727098,-9.2189054726368,,,,,-0.072895957587806,-0.32080983078163,-0.30136042707078003,-0.27948621788862,-0.022102693907069,-0.11826427174106,-0.08728461081402202,-0.0067114093959732,-1.9879120879121,-2.8159509202454003,0.0089858328200297,0.0029578328463732,0.0,0.56392634854772,
1992-12-31,,0.04,0.09561330403818499,0.31347284676582,,,,,-0.038598999285204,-0.46581640219486997,0.25043135321666,0.24072869225764001,-0.052368846776057,0.030254134731747002,-0.04153375431287001,-0.04729729729729701,-1.3359288097886999,2.8716216216216,-0.003016482924552,0.011460768446921999,-0.042553191489362,0.24023712793301003,
1993-12-31,,0.03846153846153799,0.10165272111196,-0.62834946342748,,,,,-0.07821561338289999,0.22334813992226998,-0.54376108811354,-0.58856843209229,0.13159691737391,-0.091979900809188,0.13217414929023,0.0,-9.605960264900698,1.8865619546248,0.025981822329479,0.033080086759668996,0.066666666666667,-0.25323394725407,
1994-12-31,,0.037037037037037,0.054108342225849,-0.29548272807795,,,,,-0.054524923374737994,0.29785544082605003,0.45711816807086,0.5375987764465999,-0.11629310344828,-0.020913435624708,0.24566560681504998,0.021276595744681,0.53866871873798,0.076481257557437,0.039986893379986996,0.035600376310778,0.0,0.10778389508079,
1995-12-31,,0.035714285714286004,0.040433513964152,-1.8798089011818,,,,,1.4226241255757999,-0.9822521419828599,-0.38354336545589,-0.44379973474801004,0.071944200565799,-0.040811832495321,0.19365247543826003,0.013888888888889,-0.21505376344086,-0.5925301881494001,0.031394171261392996,0.014512823353459,-0.020833333333333,-0.13988443977533999,
1996-12-31,,0.03448275862069,0.05139652014652,0.054587024864247005,,,,,-0.036904007324459,12.56157635468,-1.0841750841751001,-1.327868852459,0.09168676343450001,-0.095389324660417,0.031833770425661004,-0.013698630136986,-1.0589359668684,0.52033080634045,-0.0018546803403884,0.022058422058422,0.0,0.027998308826983998,
1997-12-31,,0.03333333333333299,0.040990745781165,-1.1149051490515,-1.3454146999326,-1.2676434676435,-4.3045401629802,-2.772257458304,0.12489945155393,-0.7239375227025101,-20.022857142857,-6.3427272727273,0.068981327109036,0.36642416039252007,-0.079416594979276,0.0,-25.875675675675996,-0.077515865820489,0.0460159580282,0.020353651370266002,-0.021276595744681,0.09527944066170098,
1998-12-31,,0.032258064516129,0.059875542540395996,25.245283018867998,2.8013665202537994,4.325729927007299,-0.19023462270133,-0.012989595069256002,0.35513228889033005,-7.2631578947368,-0.46485431060378,-0.54960013612387,-0.09439700549771901,-0.17074756229686,-0.45571932209148996,-0.09722222222222197,-1.0908300738809,-1.4117936117936,-0.0041797283176594,-0.0083769633507853,0.021739130434783,-0.0017106141522029996,
1999-12-31,,0.03125,0.07593250444049701,-0.97349029475198,-3.2240338939529996,-2.6554737022443,-1.1007569825111,-1.0635869200295,0.23366593111388,1.2195378151261,0.41790625877070003,0.5058556856819,-0.0025402566089726,0.053380118705438996,0.15709380365226,0.0076923076923077,2.011961722488,0.18973747016706002,-0.012591815320041999,-0.0099683210137276,0.021276595744681,-0.3599699084716,
2000-12-31,,0.015151515151515,0.094510936855138,-32.647457627119,0.15776713040466,0.26632515781848004,7.311744386873901,16.126715945089998,0.0010887739627485,0.19839091339328,-2.7141726049088994,-3.5208228800803,0.37069970216256,-0.18157978666855998,0.7348755648479101,0.091603053435114,-0.42017474185861997,-0.04513540621865599,-0.0073007438894793,-0.0095140577669695,0.020833333333333,0.082408253885334,
2001-12-31,,0.014925373134328,0.048265460030166,-0.73650385604113,-1.1355205424811001,-1.1705553058473,-1.7657142857143,-1.6346877119428,0.012856865410759,0.08190506279124901,-0.91397228637413,-0.77687101910828,-0.10524326877657,0.19800822688894,-0.21723749173891,-0.034965034965035,0.6095890410958901,-0.12079831932773,-0.011754252620084999,-0.0083778428669883,0.0,-0.07414333976834,
2002-12-31,,0.029411764705882002,0.04936051159072701,-1.2353658536585,-1.055923473142,-0.7165788212745601,-2.3761194029851,-1.9288906158928,0.08831876054609598,0.17936925098554998,-5.5758389261745,-2.0758251561106,0.0020413191144898,0.15223362729507,0.13354854730569,-0.0072463768115942,-0.57787234042553,-1.7037037037037,-0.0049612738991496,0.0058966618161285,0.0,0.52133967550661,
2003-12-31,,0.014285714285713997,0.08417444296324499,-4.0656303972366,34.960526315789,-5.3710904480135,-0.73378031946362,-0.59234469776197,0.14355685542126,0.24537294955122002,-0.47931944851862995,-0.75497512437811,-0.033788767517825,-0.081430363864492,0.1181650893796,0.065693430656934,-4.3850806451613,2.3378607809847005,0.016797848830247,0.019659070053655,0.020408163265306,0.016618125749529,
