Date,ODA/FJI_LE_Value,ODA/FJI_LP_Value,ODA/FJI_PPPGDP_Value,ODA/FJI_BCA_NGDPD_Value,ODA/FJI_GGXWDG_NGDP_Value,ODA/FJI_GGXWDN_NGDP_Value,ODA/FJI_GGXCNL_NGDP_Value,ODA/FJI_GGXONLB_NGDP_Value,ODA/FJI_GGR_NGDP_Value,ODA/FJI_GGX_NGDP_Value,ODA/FJI_PPPEX_Value,ODA/FJI_PCPIPCH_Value,ODA/FJI_PCPIEPCH_Value,ODA/FJI_PCPI_Value,ODA/FJI_PCPIE_Value,ODA/FJI_PPPSH_Value,ODA/FJI_NID_NGDP_Value,ODA/FJI_LUR_Value
1991-12-31,,0.0096153846153846,0.0050840829096597,-0.46292965627498,,,,,,,0.026007802340702005,-0.20681235502381,,0.064968775863366,,-0.1,-0.10101594988682,-0.07807146353401899
1992-12-31,,0.012244897959183997,0.085214007782101,-0.5086511627907,,,,,,,0.039290240811152996,-0.24842234877635996,,0.048836059203787,,0.0,-0.21325682164188,-0.084815503052827
1993-12-31,,0.014784946236558998,0.050555754750806994,1.1014767133661,0.0,-0.0050232923612281,0.32418659349275003,-1.8971962616821998,-0.0091865011578029,0.020246417941441004,0.042682926829268004,0.06635265205816099,,0.052068773891518,,0.0,0.29934504316760996,0.09267585206671498
1994-12-31,,0.014569536423841003,0.073378839590444,-0.63657657657658,0.0027924630608649,-0.015569031166266999,-0.5737122557726501,-3.96875,0.0072027891651662,-0.059364293225686,-0.012865497076023,-0.8463606683310899,,0.0080032012805122,0.011948180542949001,0.0,-0.13598350326498,-0.033979293867799
1995-12-31,,0.013054830287206,0.070906200317965,-0.21665840356966,-0.025846220395804,-0.015500100277913001,-0.73125,0.7578947368421101,-0.016508805964472,-0.053662230877420995,-0.022511848341232002,1.72875,0.8115577889447201,0.021818181818181997,0.021624618796784,0.0,-0.022341553964466,-0.052624347348173
1996-12-31,,0.01159793814433,0.06650831353919201,-1.5664556962024998,0.49028641207815,0.49580932425353996,12.144702842377,-1.9113772455090001,-0.026958035196287002,0.15258564841279,-0.0072727272727273,0.37883646358223,0.11234396671289999,0.030101477878444,0.024072152605953998,0.0,-0.13134874889808001,-0.46337926033358
1997-12-31,,0.010191082802548,-0.0058463251670378,-4.1888268156425,0.086129837237886,0.085021109360104,0.29447611558876,0.47700394218134,0.050043723666428,0.09115556290295901,0.039072039072039,0.12724252491694,0.21113881961762,0.033928733065805995,0.029133477779683,0.0,0.0070257611241218,0.13054054054053998
1998-12-31,,0.010088272383354,0.023242789134696,-0.8405746320953001,-0.31315261560619,-0.33712277430113,-1.5817767653759,-3.4101423487544,0.32316311466101,-0.056935943276164996,0.048178613396004995,0.69260241674035,1.7892930679478,0.05743050995841599,0.08127593832358901,-0.11111111111111001,0.33651162790697997,0.1063829787234
1999-12-31,,0.0074906367041199,0.10892172961138001,4.9648351648352005,-0.074265458448788,-0.11867020125514001,-1.1276429130775,-0.75083056478405,-0.21399553699147,-0.10156475918131,0.011210762331838998,-0.65471008183876,-0.9792076771653501,0.019828621103613997,0.0016809547823162,0.125,-0.067977495504901,0.095721694036301
2000-12-31,,0.0061957868649319,0.0044422507403753,1.0401621223286999,0.08623665192535801,0.17022190847426,5.5419222903884995,-1.243950617284,-0.068537526388586,0.029611615764250997,-0.029933481152992998,-0.44578920827029994,16.751479289941003,0.010986632029009,0.030010628181462003,-0.11111111111111001,0.20013690957745,0.086965095641885
2001-12-31,,0.003694581280788,0.042997542997543,0.22178074769731,0.11201032719329,0.12358695937261999,1.0490778368240001,6.7975708502024,-0.061818608104412004,0.061618617575547006,0.010285714285714,2.8798908098271,-0.23633333333332998,0.04263918629550299,0.022904390800228,0.0,-0.11314493129375,0.079644412191582
2002-12-31,,0.0012269938650307,0.047349823321555,-0.83636363636364,0.057530026342814004,0.06797544293751001,-0.15225019069413,-0.25752855659398,0.08209421466949901,0.031834838371941,0.016968325791855,-0.8306754221388399,-0.30685290266259,0.0072138217852283,0.015887763634674,0.0,-0.037595743436824,0.07343303646446
2003-12-31,,0.0012254901960784,0.030139451192082996,4.4823848238482,0.034831436955099,0.03311403029442,0.06316357746985801,0.14895104895105,-0.05600461893764401,-0.03500650030123301,0.056729699666296,4.844875346260401,1.6385390428211999,0.042208288729163,0.041887689775013996,0.0,0.034993924665857004,0.067939887288666
2004-12-31,,0.0024479804161567,0.083624454148472,1.2504531224253999,-0.0074253891189491,-0.0092667033385519,-0.48019634394042,-0.8542300669507,0.025076452599387997,-0.073012847895377,-0.0063157894736842,-0.33009478672986,-0.20835322195704,0.028258742968941,0.03316863964687,0.0,-0.24060812397276,0.06347112283787701
2005-12-31,,0.0036630036630037,0.05782792665726401,-0.44303704788402,0.0088784758616438,0.013795165285726002,0.092478020188863,0.5741127348643,-0.014280031821798,-0.0026585374499309,-0.0042372881355932,-0.1853555005306,-0.18601145613506,0.023034569692357,0.027006032358689,0.0,0.4273015382237,0.0062026188835286
2006-12-31,,0.0072992700729927,0.04990476190476201,1.0230051268568001,0.22002892705087,0.13327294940388,0.058718330849477994,0.06631299734748,0.062951454743554,0.062446687517770993,0.0063829787234043,0.096396005210595,0.92592592592593,0.025247593806668,0.052000850923015,0.0,-0.032710533441646004,0.054794520547944994
2007-12-31,,0.0084541062801932,0.0177793904209,-0.32464747546948997,-0.14197695775589003,-0.090277132395309,-0.42652027027027,-2.6007462686567004,-0.009111271401997,-0.05870939684876099,0.0031712473572939,0.9053465346534699,-0.17730769230769,0.048117913832199995,0.04276855326128501,-0.125,-0.11438329320867,0.11688311688312
