Date,ODA/ARG_LE_Value,ODA/ARG_LP_Value,ODA/ARG_PPPGDP_Value,ODA/ARG_BCA_NGDPD_Value,ODA/ARG_TX_RPCH_Value,ODA/ARG_TXG_RPCH_Value,ODA/ARG_TM_RPCH_Value,ODA/ARG_TMG_RPCH_Value,ODA/ARG_GGXWDG_NGDP_Value,ODA/ARG_GGXCNL_NGDP_Value,ODA/ARG_GGXONLB_NGDP_Value,ODA/ARG_GGR_NGDP_Value,ODA/ARG_GGSB_NPGDP_Value,ODA/ARG_GGX_NGDP_Value,ODA/ARG_NGSD_NGDP_Value,ODA/ARG_PPPEX_Value,ODA/ARG_PCPIPCH_Value,ODA/ARG_PCPIEPCH_Value,ODA/ARG_PCPI_Value,ODA/ARG_PCPIE_Value,ODA/ARG_PPPSH_Value,ODA/ARG_NID_NGDP_Value,ODA/ARG_LUR_Value
1991-12-31,,0.013540311086323,0.14176081494522,-1.0684782608696,-1.3032733321452,-1.0519131334023,-110.53043478261002,-5.2299036671254004,,,,,,,-0.16694317710494,1.3011363636364,-0.9258103954125502,-0.93750641774497,1.7167732336028,0.8398617231053901,0.081632653061224,0.04482477587612099,-0.14736842105263
1992-12-31,,0.013634557182598999,0.12813805182557,11.507936507937,-1.4123408423115,-21.617529880478,-0.12059383931407001,-0.2661142157238,,,,,,,-0.03717533814621201,0.10987654320988001,-0.8549559625331999,-0.79108671580126,0.24898605642559,0.17545252461098998,-0.0083857442348008,0.14648985959438,0.09753086419753099
1993-12-31,,0.014898814729921,0.08778774096595401,0.20304568527919,0.13301662707838,-0.53913043478261,-0.79803496734976,-0.82497978981407,,,,,,,0.12807032663966,-0.041156840934372,-0.25654618473896,-0.28376838025761,0.18512900129179,0.12566977351524,0.040169133192389,0.18988978092257,0.63188976377953
1994-12-31,,0.0093905084544292,0.08082194287387201,0.25421940928270004,6.285115303983201,6.285115303983201,0.98912314683752,0.98912314683752,0.056989461125472,,,-0.013859845353303998,,,-0.00068760027504014,0.0081206496519722,-0.77436257562662,-0.693323784515,0.04177,0.03854,0.026422764227642004,0.0054891646177597,0.15009477856281
1995-12-31,,0.0093620278505608,-0.0081911243538521,-0.5363050182226,0.47102158273381,0.47102158273381,-1.4301123595506,-1.4301123595506,0.08175934983821201,,,-0.041473518098432,,,0.27262996941896,0.010356731875719,-0.19176442422791,-0.5827711468604,0.033759851022779,0.01608026652801,-0.062376237623762,-0.053397782200739,0.41624213365297996
1996-12-31,,0.0093918623304653,0.074525255686263,0.25453446191052,-0.7497945929027,-0.7497945929027,-2.6965343086033,-2.6965343086033,0.05857187576084299,0.35463917525773,1.3638743455497,-0.04388537325719,,-0.0076721556886228,-0.065661420161,-0.018223234624146,-0.95379146919431,-0.96641791044776,0.0015599754860994,0.0005401614798529401,0.01583949313622,0.059053226000239996,-0.0076174354633939
1997-12-31,,0.0093622677492992,0.09962112888237,0.6674698795180699,1.3665363565285,1.3616888193901002,0.5420623107324299,0.53559513421958,-0.026876950878921998,-0.34779299847793,-1.265780730897,0.043908738699957005,,-0.004667169526683,-0.033948434385649,-0.022041763341067,2.3910256410256,5.074074074074099,0.0052845302330757,0.0032865761832147,0.037422037422037,0.048556356004311,-0.10405117270789
1998-12-31,,0.0093899401677594,0.049770302026349994,0.16965317919075001,-0.16076384300251,-0.15493610540952,-0.6712488350419399,-0.68203088441741,0.07799574568659899,-0.0040840140023337,1.0375,0.026701030927835,0.22304223042229998,0.024297825983991,-0.028019966722130002,-0.027283511269276004,0.74858223062382,1.0243902439024,0.0092500368894791,0.0066460237142211,0.014028056112223998,0.008980254260211,-0.12012137077582
1999-12-31,,0.0093593125159533,-0.019068851075347,-0.13194959229059,-1.1686481379418998,-1.1740186476533998,-2.6153690391819002,-2.6734994218438,0.13972499765089003,1.0269478617458,-2.2515337423312998,0.021739130434783,0.35601743211532005,0.10108203088875,-0.16091481785812,-0.032926829268293,-2.2616216216216003,-3.7259036144578,-0.011669027276465,-0.018109010428389,-0.067193675889328,-0.15462977856415,0.086009872202313
2000-12-31,,0.0093849223074546,0.014683704128038001,-0.24992883575292002,-1.8711484593838,-1.853669518235,-0.84913820119085,-0.8478015075376899,0.04921952291964401,-0.12745664739884,-1.609477124183,0.011547344110853997,-0.06847960444993799,-0.0086930959180246,0.063326260812796,-0.012610340479193002,-0.19537275064267,-0.5944751381215501,-0.0093844190905897,-0.0073351734940448,-0.054025423728813,-0.0064692078391578,0.066807795280493
