Date,ODA/CAF_LE_Value,ODA/CAF_LP_Value,ODA/CAF_PPPGDP_Value,ODA/CAF_BCA_NGDPD_Value,ODA/CAF_TX_RPCH_Value,ODA/CAF_TXG_RPCH_Value,ODA/CAF_TM_RPCH_Value,ODA/CAF_TMG_RPCH_Value,ODA/CAF_GGXWDG_NGDP_Value,ODA/CAF_GGXCNL_NGDP_Value,ODA/CAF_GGXONLB_NGDP_Value,ODA/CAF_GGR_NGDP_Value,ODA/CAF_GGX_NGDP_Value,ODA/CAF_NGSD_NGDP_Value,ODA/CAF_PPPEX_Value,ODA/CAF_PCPIPCH_Value,ODA/CAF_PCPIEPCH_Value,ODA/CAF_PCPI_Value,ODA/CAF_PCPIE_Value,ODA/CAF_PPPSH_Value,ODA/CAF_NID_NGDP_Value
1991-12-31,,0.019424210891433,0.012607160867373,-0.2160453808752,-0.62283594394064,-1.0402840842939,-3.6596500126807006,-3.9186673860264,,0.51909332244231,0.64185277088503,-0.14158357771261,0.0058777965097736,-0.072054638588503,-0.033954125647011,13.029556650246,-0.27814569536424,-0.028483696446849,-0.0076326629512962,0.0,-0.13686313686314
1992-12-31,,0.022796869683566,-0.0099601593625498,1.56357246227,1.8937158469945,-27.491329479769,-0.87837322399161,-0.91381302278294,,-0.37155531657481,-0.54458438287154,0.06647991254441099,-0.081174125747418,-1.0181550539745,-0.03641349169244999,-0.73419943820225,-1.0,-0.0075705126275549,0.0,-0.14285714285714002,-0.055246913580247005
1993-12-31,,0.025615435795077003,0.0090543259557343,-0.47040322580645,-3.2676801057502,-2.8564259218852,2.0333202665621,4.0203753351206,,-1.8545454545455,-3.2758112094395,-0.040745723620988,-0.45878524945770005,-32.459459459459,-0.039435882619101,2.8428005284016002,,-0.029087489952835,-0.047689537297033,0.0,-0.08395949036262701
1994-12-31,,0.029192345118391,0.061814556331007006,-0.5757575757575799,-0.35100137402673,-0.31593794076164,-9.3453088653399,-8.1912848446011,,-2.9224030037547006,-1.849967595593,-0.024577572964669996,1.029969028967,1.1144759450172,0.21767506796139002,-9.439326228944699,-10.38351855735,0.24549757110948,0.44749451148181996,0.0,0.12651569186876
1995-12-31,,0.032461393003467,0.07136150234741799,2.032304379038,-1.0842368640534,-0.8536082474226802,-1.1112332755203,-1.0848036594784,,-0.79192708333333,-1.1425848265345,0.087778158165012,-0.21543639219206,-0.28136109700356,0.10397654713410999,-0.21792260692464002,-0.8877765363128499,0.19200381248589002,0.050216986980780996,0.0,0.23601108033241
1996-12-31,,0.028693528693529,-0.06441717791411099,-0.59730113636364,4.7943640517898,-8.7840375586854,1.0,1.8873905429071998,,3.2484355444305004,-7.3034759358289,-0.30842827469,0.016700983756577,-0.61865724381625,-0.014252724102555,-0.80609375,-0.082437275985663,0.037233818702129,0.04608702985326401,-0.16666666666667002,-0.60940001280656
1997-12-31,,0.024925816023739,0.09367681498829,-0.08495002939447399,-3.0431125131441004,-2.2377110977081003,-2.4428511763887,-2.2050706617335,,-0.9428487258800999,-1.2212089077413,0.17320469645945002,-0.25303780378038,0.65715344699778,0.0019015722233405,-0.5710448562986801,-0.92230902777778,0.015975737166158,0.003587407795558,0.2,0.24327868852458998
1998-12-31,,0.021134916039375,0.050107066381155994,1.0019274012207,-1.3038471435924,-1.0868002680149,-0.72110189116171,-0.6193376283470899,,-0.43298969072165006,0.14477468839885,0.3705197827773499,0.34696490435307004,0.1845224781928,0.019975634257378996,-2.1715716969316996,-9.3351955307263,-0.018709690301711004,-0.029841754357779998,0.0,0.52004219409283
1999-12-31,,0.017578678763822,0.051386623164763,-0.7543324775353001,-1.5629896252381998,-6.289122807017501,-1.5608026293028998,-1.3614967605448,,-1.5090909090909,0.34673366834171004,-0.018566738367486,-0.03679060665362,1.0067975830815998,0.0017350633675316,-0.24371993586317003,0.41152815013405,-0.014152287156113002,-0.04212378389567399,0.0,0.05473629424011099
2000-12-31,,0.013652828085817999,0.04228083785880501,-0.066623122142391,6.9996239187665,1.336738755473,0.6832202344231999,0.8917337234820799,,-18.580357142857,-1.0845771144279,-0.14286538239705,-0.023045219713241003,-0.16070756492285,-0.021897565914435,-3.2628975265017996,-2.9112060778727002,0.032023695264043,0.080497028633171,0.0,-0.148860926063
2001-12-31,,0.018141836173722,0.026795682917752,0.30230930720784,-1.3212354849324999,-1.2377924142630001,1.3646692321789,0.72873163186388,0.11310979222093999,-0.5515490096495699,-5.0367647058824,-0.10544377901891,-0.15763517528223,-0.19764573991030998,0.019710164764658002,0.2001873828857,-0.6845962732919301,0.03843,0.02539,-0.16666666666667002,-0.12870808773795
2002-12-31,,0.017008639308855,0.018122508155129,-0.089736700698549,-1.5783696765696,-2.6511461318052003,-0.7310911345319301,-1.551504306006,-0.027211147667892004,0.34428086070215,-0.28597449908925,0.18760343011885003,0.19736192424349,0.12952354338410002,0.0023448380006377,-0.40202966432475,2.5781803859787003,0.022976994116117998,0.090853236329592,0.0,0.08439614062326699
2003-12-31,,0.016724183700558,-0.049839800640797,0.34533648170012,-7.674848178137701,-5.5984092552422,5.6484149855908,-6.0004055972419,0.021178179213751,1.7481044650378998,-6.469387755102,-0.37401824170256,-0.22562592047128,-0.46672439386442,0.011366156807767,0.89425587467363,-1.1399009356081002,0.043528603300417,-0.012712887220062,0.0,-0.32603804458990004
