Date,ODA/STP_LE_Value,ODA/STP_LP_Value,ODA/STP_PPPGDP_Value,ODA/STP_BCA_NGDPD_Value,ODA/STP_TX_RPCH_Value,ODA/STP_TXG_RPCH_Value,ODA/STP_TM_RPCH_Value,ODA/STP_TMG_RPCH_Value,ODA/STP_GGXWDG_NGDP_Value,ODA/STP_GGXCNL_NGDP_Value,ODA/STP_GGXONLB_NGDP_Value,ODA/STP_GGR_NGDP_Value,ODA/STP_GGX_NGDP_Value,ODA/STP_NGSD_NGDP_Value,ODA/STP_PPPEX_Value,ODA/STP_PCPIPCH_Value,ODA/STP_PCPIEPCH_Value,ODA/STP_PCPI_Value,ODA/STP_PCPIE_Value,ODA/STP_PPPSH_Value,ODA/STP_NID_NGDP_Value,ODA/STP_LUR_Value
1991-12-31,,0.027027027027027,0.047904191616766,0.26874723862313005,,,,,,,,,,,0.21306903755526002,0.10017042226851,0.30413366336634,0.46484291515281,0.5267265846736,0.0,,0.055800478649704
1992-12-31,,0.035087719298246,0.028571428571429,-0.10269722679499001,-1.1376655271979,-1.2450806871421,-2.2660731948566,-1.457549304882,,,,,,,0.36448178912714,-0.27502151462995,-0.48118131607417,0.336883571637,0.27327652982184003,0.0,,-0.07158196134574099
1993-12-31,,0.0084745762711864,0.038888888888889,-0.16811318092011998,-1.556412729026,-0.8761682242990699,-1.571484375,-2.7810910118711,,,,,,,0.7131250513660401,-0.24325607620856,0.19619535394183,0.25504747353487,0.32704708602020005,0.0,,-0.039835517861732
1994-12-31,,0.016806722689076,0.042780748663102004,-0.20200178124601997,2.803726169844,-10.157804459691,-1.6858054226475,-1.3124652860430002,,,,,,,0.70559652393223,1.0062745098038999,1.3062266805309,0.5115652173913,0.7541028697167,0.0,,-0.020008029978587
1995-12-31,,0.016528925619835,0.041025641025641,0.38945578231293,-2.5306982572047003,-1.8311481550852,-4.4388704318937,-0.26536312849162,,,,,,,0.46997994912945,-0.28068803752932003,-0.51065522682969,0.36800322153828,0.36901526238762,0.0,,-0.020006828269034
1996-12-31,,0.024390243902439,0.03448275862069,-0.32883261933905,-1.7571811281441,-0.7497464788732401,-1.6171384407303997,3.2741099204977995,,,,,,,0.95664920406911,0.14258152173913,0.40147963469825,0.42047939444912,0.51714263897373,0.0,,-0.019997212931996
1997-12-31,,0.015873015873016,0.023809523809523996,-0.16458653900951997,0.11626535626536001,-3.6461053579469,-0.7567313713212299,-0.7649818034775602,,,,,,,0.36772212908634,0.6421861250505401,0.55605615283471,0.6904881731253101,0.8047411732138801,0.0,,0.025168858869534
1998-12-31,,0.015625,0.037209302325581,0.17572822157037002,-1.171509068498,-2.2826271907436,15.052123552124,2.8589125946318,,,,,,,0.14754873646025,-0.39021564396298,-0.7409565941371601,0.42104617971034997,0.20846405912292,0.0,,0.0
1999-12-31,,0.023076923076922995,0.04035874439461899,-0.091964026689875,-4.452772073922,1.4335367471478,-2.614912808178,-4.0030319243802,,,,,,,0.06278282959550201,-0.73848711554447,-0.53947999616233,0.11011017178911998,0.09600184618935,0.0,,0.0
2000-12-31,,0.015037593984962001,0.030172413793102995,-0.037699680511182,-0.85860838537021,2.4745965983427998,-0.73480786416443,-0.61444352060815,,,,,,,0.075294230958478,0.0,0.0,0.11011201030184,0.095994104332263,,,0.0
2001-12-31,,0.022222222222222,0.05439330543933099,0.42888446215139003,5.7360672975815,-3.1987197590135,-0.63278105401105,-0.60027726432532,,-1.2513709018783998,,-0.40926113441664,3.6039292002595,0.5493512511584799,0.04796114039679,-0.16274634456453,-0.018541666666667,0.09219,0.09422398970250599,,,0.09119911228240499
2002-12-31,,0.014492753623188,0.031746031746032,-0.07867465960314099,3.0426162972214,-0.81520885958528,0.18047412694367002,0.07919075144508701,-0.10877665673011,-0.17552409685155002,-0.21258228121291,-0.13095173314469,-0.14254946559047,0.59952145954838,0.09711690573225999,0.09881765918212401,-0.04149862025047799,0.10130105567712999,0.090315331132804,,0.1812632544277,0.12018558535655001
2003-12-31,,0.021428571428571,0.09230769230769198,-0.23494401291234,-0.8440746032359,-0.8440746032359,-0.67695961995249,-0.53097661131941,-0.10226797613026,0.40917620566709995,0.6798684390845601,0.061050061050061,0.14814901758257001,0.57647718773373,0.13121561791972,-0.033267522211253994,0.10463957479792,0.097935701636973,0.099750402576489,0.0,0.18617627793008,-0.07154609929078
2004-12-31,,0.020979020979021,0.073943661971831,0.41633702531646005,-1.41431401684,-1.41431401684,3.4572192513369,2.0118005329273,0.06762852350632599,0.5780011984819201,0.70916952194485,-0.010887846330884,0.16994479656512,-0.15769185150042,0.077713823053584,0.35658123149188,0.528067361668,0.13284568728561,0.15245005088257,,0.020371014255619,0.013321926179418
2005-12-31,,0.020547945205479,0.049180327868853,-0.004235907461714,-1.7513448894202,-1.7513448894202,-0.033593281343731005,-0.18364509605662,-0.083987675787804,-2.1486497890294998,-2.4230824304329,1.1346280054889,-0.22521058334207003,1.0403083855523,0.13145315288358,0.2910801656003,0.12798478089739998,0.17152272286724998,0.17195004192819,,0.59051093427409,0.045410686286335
2006-12-31,,0.020134228187918997,0.159375,0.50846110695587,1.2688941925219,1.2688941925219,0.19847920546245001,0.18470351447593,-0.11437734366154,-1.4651948719832,-1.3156129465033999,-0.5265173218553,0.049825194541557996,-0.87271597908794,0.11377042151736,0.34532416044776,0.42843849956383007,0.23074377524705,0.24562687351948,0.0,-0.5003591727684,-0.05249495240842201
