Date,ODA/MEX_LE_Value,ODA/MEX_LP_Value,ODA/MEX_PPPGDP_Value,ODA/MEX_BCA_NGDPD_Value,ODA/MEX_TX_RPCH_Value,ODA/MEX_TXG_RPCH_Value,ODA/MEX_TM_RPCH_Value,ODA/MEX_TMG_RPCH_Value,ODA/MEX_GGXWDG_NGDP_Value,ODA/MEX_GGXWDN_NGDP_Value,ODA/MEX_GGXCNL_NGDP_Value,ODA/MEX_GGXONLB_NGDP_Value,ODA/MEX_GGR_NGDP_Value,ODA/MEX_GGSB_NPGDP_Value,ODA/MEX_GGX_NGDP_Value,ODA/MEX_NGSD_NGDP_Value,ODA/MEX_PPPEX_Value,ODA/MEX_PCPIPCH_Value,ODA/MEX_PCPIEPCH_Value,ODA/MEX_PCPI_Value,ODA/MEX_PCPIE_Value,ODA/MEX_PPPSH_Value,ODA/MEX_NID_NGDP_Value,ODA/MEX_LUR_Value
1991-12-31,,0.018828250787014,0.076616134893875,0.6396,-0.31430889910737997,0.76643512775986,-0.12229134266458999,0.12607924981417,,,-0.7193404328409498,-0.27884615384615,-0.060103769686395,,-0.13786958282706,-0.08159159494802701,0.19512195121951004,-0.15166979362101002,-0.37201376591266,0.22606197771588002,0.18791893998441,0.019570944674445,0.0066585067319461,-0.018234865061998003
1992-12-31,,0.018586439918389,0.059304514869279006,0.43888753354477006,-0.016962524654831997,-0.42728740959202,0.21126926938751,0.17903930131004003,,,-1.1468788249694,-0.037278911564626,-0.027161700048852,,-0.070093018885653,-0.11488377753437999,0.12244897959184001,-0.3136500353857,-0.36483107209364,0.15520056798012,0.11934912407322,-0.069029162052418,-0.0044258547736006,0.051263001485884
1993-12-31,,0.018351491854716,0.050107463755858,-0.21295354357409,0.6235955056179799,1.0049043648846998,-0.8506436512580501,-0.83720930232558,,,0.24166666666667003,-0.35754663651781,-0.089334136788189,,-0.09139133070627499,0.72638526055273,0.16614420062695998,-0.37081910163047,-0.32911710504271996,0.097596951631737,0.080128956623681,0.0047581284694687,-0.076502198339033,0.21201413427562
1994-12-31,,0.018100370648294,0.06956357976874901,0.21176217147780999,1.1994562530895,-0.46960616438355995,4.3235390140385,3.8738095238095,,,-5.1275167785235,-0.44786625604927005,-0.029721532947339,,0.012510425354462,-0.060927046830201,0.05967741935483901,-0.2844412578101,-0.11961543263828,0.06988073240383,0.070494383241982,0.016179952644041002,0.037240795598815005,0.078717201166181
1995-12-31,,0.017856744019833,-0.037933176745747005,-0.9184,0.6964827508708801,1.7327337714747,-1.9559058015454,-1.7182869239538,,,5.609756097561001,1.2223107569721001,0.033303023414412,,0.22169137836354003,0.097701636841659,0.28868594622019,4.0188949327226,6.370018437101099,0.35060449050086,0.51966947176316,-0.09126213592233,-0.13576091391269,0.68378378378378
1996-12-31,,0.015645400186516,0.07807149311370899,0.37472766884532,-0.39620454394913,-0.21003333192692,-2.3857060370822,-2.7364921030756,,,0.26838868388684,-0.082108282538544,0.016664833351666998,,0.06261518406976199,0.029861701305725,0.26968503937008,-0.020306884946666,-0.46686294885117,0.34348601100519,0.27704573506355,0.01965811965812,0.12008733624453999,-0.12520064205457
1997-12-31,,0.014637413444815001,0.087942300711098,1.5277337559428998,-0.41220997202566995,-0.13673022485713002,-0.011065327098476999,-0.042995778754515,-0.07774770358688,,0.074476338246703,-0.307421875,-0.0038409521233431,,0.013282571912014,0.010990659814696999,0.15813953488372,-0.40037845705968,-0.43262948926187,0.20597057975195002,0.15720181808682998,0.026404023470242996,0.03276961171698,-0.31559633027523
1998-12-31,,0.014106850073462001,0.058379991069194004,0.9974921630094,0.13699141470697998,-0.18740332858998998,-0.35383895131086,-0.32290482470101,0.018972569500611998,,0.016425992779783002,-0.94190637337845,-0.09172368849788198,-0.08092094125613701,-0.06675294314102,-0.14054615612942,0.13868808567604002,-0.22726610671457,0.18385393472867,0.15916863983162,0.18607223476298002,0.022049816251531,0.10595317043310001,-0.15281501340482997
1999-12-31,,0.013994603731193999,0.042381941913762,-0.24168236032642998,0.011818778726198,-0.10019795949443999,0.018982756122301003,-0.043317662860981,0.05043770127455001,0.028239599077241002,-0.024329603977978998,6.2912621359223,0.011300448430492998,0.080493645238534,0.0023708342652651,-0.03509756518736,0.15871149776628002,0.040776577029403994,-0.33800849051534004,0.1656625263071,0.12319433606760001,-0.0083899320815022,0.0125,-0.20886075949367003
2000-12-31,,0.014308788205086,0.07692300849451598,0.13534768211921,0.32073329007137996,0.11973261127094001,0.36056598407281,0.36581256581257,-0.096463577874692,-0.0870080973748,-0.45285766290499,0.3861517976032,0.058235781009814004,-0.31844527787249,-0.067118886112103,0.00080533309471615,0.083603896103896,-0.42734681557501003,-0.2727494114782,0.094857952031153,0.08958587501694501,0.0040290088638194,0.026741378524895998,-0.12
