Date,ODA/DEU_LE_Value,ODA/DEU_LP_Value,ODA/DEU_PPPGDP_Value,ODA/DEU_BCA_NGDPD_Value,ODA/DEU_TX_RPCH_Value,ODA/DEU_TXG_RPCH_Value,ODA/DEU_TM_RPCH_Value,ODA/DEU_TMG_RPCH_Value,ODA/DEU_GGXWDG_NGDP_Value,ODA/DEU_GGXWDN_NGDP_Value,ODA/DEU_GGXCNL_NGDP_Value,ODA/DEU_GGXONLB_NGDP_Value,ODA/DEU_GGR_NGDP_Value,ODA/DEU_GGSB_NPGDP_Value,ODA/DEU_GGX_NGDP_Value,ODA/DEU_NGSD_NGDP_Value,ODA/DEU_PPPEX_Value,ODA/DEU_PCPIPCH_Value,ODA/DEU_PCPIEPCH_Value,ODA/DEU_PCPI_Value,ODA/DEU_PCPIE_Value,ODA/DEU_NGAP_NPGDP_Value,ODA/DEU_PPPSH_Value,ODA/DEU_NID_NGDP_Value,ODA/DEU_LUR_Value
1991-12-31,0.017343578485180998,0.012983411485907,0.085066464993164,-1.4561283714578,-0.5288519637462199,-0.52839011356045,-0.37082208360487995,-0.41833859813882,,,,,,,,-0.09740388820419,0.10918114143921001,0.29289170078154,,0.034746313963573,,-1.3820346320346,0.027344405301124003,-0.062441497659905996,-0.11129163281885
1992-12-31,-0.014674147604661002,0.0076279833752271,0.038175692804207004,-0.17739520958083999,-1.0965052901571,-1.0580736543909,-0.58212488902042,-0.71319536180831,0.062776639603409,0.29286719116344,-0.14113181504485997,-6.848739495798299,0.031753752084491,-0.20526823000321,0.02087945479012,-0.01383077126371,0.034675615212527995,0.45250431778928996,,0.050447901933050994,0.033338849497817,-1.2379603399433001,-0.08736120182886999,-0.022921086567661,0.19744058500914
1993-12-31,-0.018834866403854,0.0044828650818154,0.013403545051863999,-0.13739763421292,8.8770764119601,30.658536585366,-3.306657223796,-5.5972364380757,0.08919774387777,0.11719190779399,0.22177581357975,-0.67241379310345,0.0095180371293241,-0.37631366208569,0.020750063780933997,-0.052436464335165,0.016216216216216002,-0.11296076099880999,0.26012601260126,0.044758627568322,0.041995170986498,34.916666666667,-0.030237967436035,-0.056411784741144,0.18580152671756
1994-12-31,-0.0016183035714288,0.0024711696869853,0.04716378624164799,0.49578059071729996,-2.3568785738311,-2.4340523882897003,-2.3007368744242997,-1.9717243682511,0.048091419581795,0.07614890700526598,-0.22657020716869,2.9605263157895,0.0079606857752775,-0.0071289695398574,-0.0068941098058819,-0.0082017440490219,0.0031914893617021,-0.39298480786415996,-0.4047619047619,0.027172486216855,0.025004433410179,-0.44613854822671994,-0.0055350553505536,0.013355592654424,0.08252864683919099
1995-12-31,-0.0041361578447263,0.0034094114472828,0.038949607880268,-0.17348377997179001,-0.19608329201785002,-0.3031051896422,-0.16794523781423001,-0.19246190858059,0.15904352901935,0.27305333020481004,3.0335884353741003,-8.249169435215899,0.00092655915638998,0.77349869451697,0.15052117195529,0.0059407822822109,-0.0021208907741251,-0.36216415163784005,-0.4,0.017333720592506,0.014994232987313,-0.2884500299222,-0.018552875695733002,-0.0053875951734271,-0.019743101807801998
1996-12-31,-0.009401133748667,0.0023833677597566,0.026558859707718,-0.50938566552901,-0.010175763182239,-0.10807893925378001,-0.37035460992908004,-0.40587317349978996,0.051621490368184995,0.041680928934411,-0.64688521134184,-0.93568591506263,0.0074276520244208,-0.33161575266838,-0.10572751467425,-0.021874704715108998,-0.011689691817216002,-0.3133294864397,-0.09066666666666699,0.011888040015073998,0.013636363636363998,0.43061396131203006,-0.028922495274102004,-0.047452771062763,0.084930842028634
1997-12-31,0.0067424006345789,0.00054870019021609,0.035344069537513,-0.19478260869564998,0.7867601246105899,0.9564390665514301,0.9477359765713,1.1349092645654,0.022012417261018994,0.041757241797685,-0.17820895522388,-1.3705463182898,-0.0051632099413669,-0.13215859030837,-0.017000285376493,0.0079698594406607,-0.01505376344086,0.29579831932773,-0.013929618768328999,0.015427500902853001,0.013452914798206,-0.33744855967078,-0.023359937706833,0.0024908356048501,0.081972713039589
1998-12-31,0.015533106339871,-0.00024373301485547998,0.027595414161145998,0.61771058315335,-0.33440850841252,-0.27875949814455,0.09264399722415,0.23140588301085,0.012333902332898002,0.03399330324647,-0.15183436251362,3.0448717948718,0.0043103448275862,0.17068527918782,-0.004603516921035,0.011069580218516001,-0.0021834061135371,-0.61543450064851,-0.91747211895911,0.0059238677410392,0.0011061946902654,-0.34338952972493,-0.0077735698624677,0.024190145797197003,-0.026666666666667005
1999-12-31,0.0,0.0015358923412605,0.032996078621495,0.9506008010680899,-0.24243614931238,-0.28433174078158,-0.08902297025510698,-0.24259763851044,0.012663040782926,0.015135515663499,-0.31134903640257,0.81933438985737,0.020714723657703,-0.16856368563685997,0.0045831423690679,-0.03616285131996799,-0.012035010940919,0.055649241146712006,10.945945945945999,0.0062646395898706,0.013259668508286998,-0.11486486486486001,-0.01727601446364,-0.002288643749714,-0.085908463417224
2000-12-31,0.006511679459115001,0.0011805800664534,0.05642420889317701,0.23545516769336,1.2861341632088998,1.3098254022595,0.21426911457123,0.26921693248591,-0.017532690141535003,-0.06165048543689299,-1.7070895522387999,2.3658536585366003,-0.0081520573218345,0.1864406779661,-0.064804446103438,0.0078186467348546,-0.031007751937985002,1.2651757188498,0.56259426847662,0.014186110348613997,0.020719738276990002,-2.1862595419847,-0.014717906786589999,0.023076570170207,-0.071561338289963
