Date,ODA/IRL_LE_Value,ODA/IRL_LP_Value,ODA/IRL_PPPGDP_Value,ODA/IRL_BCA_NGDPD_Value,ODA/IRL_TX_RPCH_Value,ODA/IRL_TXG_RPCH_Value,ODA/IRL_TM_RPCH_Value,ODA/IRL_TMG_RPCH_Value,ODA/IRL_GGXWDG_NGDP_Value,ODA/IRL_GGXWDN_NGDP_Value,ODA/IRL_GGXCNL_NGDP_Value,ODA/IRL_GGXONLB_NGDP_Value,ODA/IRL_GGR_NGDP_Value,ODA/IRL_GGSB_NPGDP_Value,ODA/IRL_GGX_NGDP_Value,ODA/IRL_NGSD_NGDP_Value,ODA/IRL_PPPEX_Value,ODA/IRL_PCPIPCH_Value,ODA/IRL_PCPIEPCH_Value,ODA/IRL_PCPI_Value,ODA/IRL_PCPIE_Value,ODA/IRL_NGAP_NPGDP_Value,ODA/IRL_PPPSH_Value,ODA/IRL_NID_NGDP_Value,ODA/IRL_LUR_Value
1991-12-31,-0.003448275862069,0.0057045065601825,0.050234960580994005,-1.0295902883156,-0.38842254442384994,-0.33806146572104,-0.59511952191235,-0.90882903643958,0.011937952786418998,0.011964378781355,0.039556377079482,-0.068453528731199,0.03400365630713,,0.034347130116625,-0.027792100649685004,-0.0097902097902098,-0.067024128686327,,0.031324454762049994,,-1.2574665293512,-0.0051546391752577,-0.09074933537602,0.1046511627907
1992-12-31,0.0077854671280278,0.0082246171298923,0.05942497919940799,20.230769230769,1.4704099821746999,1.6210714285714,2.3058630586306,6.7219589257504,-0.034082930876752,-0.034080476499698,0.014935988620199,-0.11405506106396,0.015888731730316002,,0.015807392996109,-0.11047467515247998,0.0056497175141243,0.0057471264367815,,0.031498511706428,,3.0586666666667,-0.06735751295336799,-0.14495267357153,-0.14210526315789002
1993-12-31,0.015450643776824,0.0053445850914204,0.047470287439571,3.9384057971015,-0.29201241070784,-0.30801199073443,-0.066228450948778,0.39075286415712,0.030935441950617995,0.030924728191576,-0.074982480728802,-0.097663551401869,-0.045806840859516,,-0.047598319803252,0.12807059384688999,0.028089887640449,-0.54984126984127,,0.01417004048583,,1.296320630749,0.0,-0.069143387040686,0.024539877300613
1994-12-31,0.032121724429417006,0.0033575825405708,0.081474199836718,-0.19173392027391,0.53903383611904,0.46135669981294,1.0560499402311,0.9268902618417201,-0.057290275715461,-0.057295765779946,-0.3,0.064992232004143,0.010724708171206,,-0.0080210237659963,0.012209302325581,-0.0068306010928962,0.66854724964739,,0.023654818023527,,0.16437768240342998,0.027777777777778,0.06873793661664901,-0.095808383233533
1995-12-31,0.049959049959050005,0.0041829336307864,0.11879708514998,-0.013313161875946,0.33375273160718,0.35444317186553004,0.02906976744186,0.11443621650508,-0.10801377934911,-0.096903847529995,0.13311688311688,-0.30123997082421994,-0.11527634080027001,,-0.10467875325392999,0.09367657041407801,0.03576341127923,0.064243448858833,,0.025182542316627997,,-0.20383339476594,0.05945945945946,0.10218467812409,-0.06622516556291401
1996-12-31,0.036661466458658,0.0069425159677867,0.11074084274305,0.093836246550138,-0.34064842857852007,-0.50800835654596,-0.18217200251098997,-0.31196054254007,-0.11044768534986998,-0.098453533365909,-0.8681948424068799,0.42449547668753995,0.032499320097906,,-0.016055576997298,0.09009310097875399,-0.010624169986719998,-0.14297061159651,,0.021582830858053,,-0.16095679012346,0.04591836734693901,0.08451820920767501,-0.16312056737589
1997-12-31,0.038374717832957,0.010479867622725,0.12675113436314,-0.04008971124194,0.4640813253012,0.51005965018704,0.52755603315935,0.47520908004778994,-0.11844848761818,-0.12159786716667,-4.7971014492754005,0.29164631167562,0.039562755169235,,0.0046285400486389,0.071610021023125,0.022818791946308998,-0.41890639481001,,0.01254406929608,0.022757697456492997,-0.46441052050763004,0.063414634146342,0.086022029437567,-0.14406779661017
1998-12-31,0.10579710144927999,0.010644104803493,0.09726470523513,-0.77132009345794,0.1866481510055,0.63638189608998,0.38214160092458005,0.22879125329014002,-0.13914269051322,-0.17371800216793,1.0229007633588,0.016641452344932,-0.08348747054501202,,-0.11364464573897999,0.021171373687007,0.05380577427821499,0.6985645933014398,-0.55931458699473,0.021308503840486003,0.010039267015707,-0.26339285714286,0.059633027522936,0.08611946326796201,-0.2690099009901
1999-12-31,0.064875491480996,0.010532001080205,0.11888574694663001,-0.6883780332056201,-0.32710644937587,-0.43316558242298,-0.5403548316730901,-0.54819574888779,-0.12077758331922,-0.10434326309841,0.18349056603774,-0.11290922619048,-0.0076302112130929,,-0.019528955714789,-0.0010006003602161,0.032378580323786,0.15915492957746,1.2392821535393999,0.024681742150491,0.022457786359453998,-1.2270396270396002,0.064935064935065,0.021196595322701,-0.24746038195855
2000-12-31,0.044923076923077,0.012827365045430002,0.12012690218853,-2.4426229508197,0.29262479871176,0.30092392088927,0.68369848928261,0.38451252127401003,-0.22377517604502997,-0.23511649916625,0.9055400557991201,0.41958481862026,-0.015461332739024,-0.23316777041943,-0.08467367538263401,-0.022716346153846,0.039806996381182,1.1279870392872,0.44835262689225003,0.05254828660436099,0.032534854245881,5.2956878850103,0.044715447154472,0.0011733764920089,-0.23470122390209
2001-12-31,0.030624263839812,0.015039577836411999,0.076720592706383,0.76988636363636,-0.5403129360175399,-0.75253842312601,-0.64297458542773,-0.6814470102730699,-0.078006948657144,-0.26134221069998,-0.81614724952939,-0.64771048744461,-0.062109164992502,-1.532205829435,0.055857329842932,-0.024433239043988,0.04524361948955901,-0.24133993148077998,0.6981248078696599,0.039849882202517,0.055237089864608,-0.27495107632094,0.031128404669261003,-0.013094083414161,-0.075729068673565
2002-12-31,0.015428571428571002,0.018195996880686002,0.074634961917147,0.57624398073836,-0.47208672086721004,0.14663677130045,-0.695,-1.077177508269,-0.08095821993599901,-0.08088381924779599,-1.4368600682594,-0.5861635220125799,-0.031738369637362006,0.15415821501014002,0.0065391886447454,-0.024708996932386002,0.037735849056603994,0.18539889613648,-0.30503258508327,0.047248756162263,0.038386822850629,0.16824111560954,0.026415094339623,-0.0093775593775595,0.13180661577608
2003-12-31,0.018570624648284,0.016083737554251003,0.050104066547273,-0.7708757637474499,-0.85728952772074,-1.7784513101291002,-1.4253666954271,24.735714285714003,-0.021412300683371,-0.095205033629855,-2.0338541666667,0.66464032421479,0.018850875553063,-0.50497949619215,-0.005419052897346,0.076478952130639,0.020320855614973,-0.15449735449735,0.18676738734045004,0.039953034799909,0.045548747017375,-0.67539468617636,-0.011029411764706001,0.042081765946013,0.029676258992805998
2004-12-31,0.033701657458564,0.016331658291457,0.074539887399993,1.6933333333333,9.8532374100719,-3.2185380557649,-9.5111561866126,-2.4171523730225,-0.05769486565575901,-0.12728406311448,2.4433249370277004,0.51247717589775,0.03553625493134299,1.5159763313608998,0.0059439044022042,0.04951168747998699,-0.0010482180293501,-0.42428035043804996,-0.2945566286216,0.022998599176232006,0.032142971939185,0.6073546856465,-0.0074349442379182,0.06418342655400901,-0.019868995633188
2005-12-31,0.04917156600748301,0.022002472187886,0.090743634525232,4.6666666666667,-0.38843961288612,-0.6891983695652201,0.012273593898951,0.028789659224442002,-0.07520203267812402,-0.20261581579381,0.14996342355523,-0.020523138832998,0.01216739021293,0.7079021636876801,0.0063704068443405,-0.0098013042980817,-0.0031479538300105,-0.052173913043478,-0.21406347230864997,0.021807108258906003,0.025266523413576,1.6738007380074,0.0074906367041199,0.09583628434040302,-0.022276676319892996
2006-12-31,0.04635761589404,0.023947750362845004,0.0871045490553,0.03407105416424,0.13223498807717,-0.55701275045537,-0.16397881106533,-0.57129259470779,-0.092726856445089,-0.23184011026878,0.7805343511450401,0.45686113393590994,0.053307268111925,0.42329936656567996,0.018348062750375,0.020066245570790002,0.0,0.23853211009174,-0.1049089469517,0.027002160172814,0.022608766085837995,0.7753243168644799,0.0,0.021702156609292998,0.025062656641604
